end_of_interval	Met
2013-06-14 00:00:00	71.600             
2013-06-14 01:00:00	76.800             
2013-06-14 02:00:00	78.300             
2013-06-14 03:00:00	81.500             
2013-06-14 04:00:00	83.900             
2013-06-14 05:00:00	85.500             
2013-06-14 06:00:00	86.200             
2013-06-14 07:00:00	80.800             
2013-06-14 08:00:00	72.300             
2013-06-14 09:00:00	61.680             
2013-06-14 10:00:00	52.780             
2013-06-14 11:00:00	44.520             
2013-06-14 12:00:00	40.860             
2013-06-14 13:00:00	33.370             
2013-06-14 14:00:00	29.710             
2013-06-14 15:00:00	27.720             
2013-06-14 16:00:00	24.290             
2013-06-14 17:00:00	23.380             
2013-06-14 18:00:00	22.410             
2013-06-14 19:00:00	30.900             
2013-06-14 20:00:00	34.340             
2013-06-14 21:00:00	39.580             
2013-06-14 22:00:00	64.090             
2013-06-14 23:00:00	62.890             
2013-06-15 00:00:00	61.480             
2013-06-15 01:00:00	71.200             
2013-06-15 02:00:00	77.100             
2013-06-15 03:00:00	68.680             
2013-06-15 04:00:00	71.900             
2013-06-15 05:00:00	78.200             
2013-06-15 06:00:00	85.000             
2013-06-15 07:00:00	75.200             
2013-06-15 08:00:00	66.940             
2013-06-15 09:00:00	58.010             
2013-06-15 10:00:00	48.180             
2013-06-15 11:00:00	39.140             
2013-06-15 12:00:00	33.800             
2013-06-15 13:00:00	27.630             
2013-06-15 14:00:00	23.780             
2013-06-15 15:00:00	22.140             
2013-06-15 16:00:00	22.070             
2013-06-15 17:00:00	20.350             
2013-06-15 18:00:00	20.560             
2013-06-15 19:00:00	25.240             
2013-06-15 20:00:00	27.930             
2013-06-15 21:00:00	32.450             
2013-06-15 22:00:00	43.820             
2013-06-15 23:00:00	57.990             
2013-06-16 00:00:00	59.740             
2013-06-16 01:00:00	63.010             
2013-06-16 02:00:00	66.690             
2013-06-16 03:00:00	71.400             
2013-06-16 04:00:00	69.960             
2013-06-16 05:00:00	70.600             
2013-06-16 06:00:00	70.600             
2013-06-16 07:00:00	67.450             
2013-06-16 08:00:00	65.180             
2013-06-16 09:00:00	57.840             
2013-06-16 10:00:00	50.370             
2013-06-16 11:00:00	44.220             
2013-06-16 12:00:00	35.920             
2013-06-16 13:00:00	29.840             
2013-06-16 14:00:00	28.490             
2013-06-16 15:00:00	25.540             
2013-06-16 16:00:00	23.510             
2013-06-16 17:00:00	22.860             
2013-06-16 18:00:00	25.530             
2013-06-16 19:00:00	30.010             
2013-06-16 20:00:00	34.820             
2013-06-16 21:00:00	44.780             
2013-06-16 22:00:00	52.070             
2013-06-16 23:00:00	60.810             
2013-06-17 00:00:00	66.670             
2013-06-17 01:00:00	72.700             
2013-06-17 02:00:00	74.800             
2013-06-17 03:00:00	79.600             
2013-06-17 04:00:00	84.700             
2013-06-17 05:00:00	87.700             
2013-06-17 06:00:00	87.800             
2013-06-17 07:00:00	85.900             
2013-06-17 08:00:00	81.900             
2013-06-17 09:00:00	74.600             
2013-06-17 10:00:00	64.770             
2013-06-17 11:00:00	57.080             
2013-06-17 12:00:00	50.180             
2013-06-17 13:00:00	44.190             
2013-06-17 14:00:00	35.340             
2013-06-17 15:00:00	29.380             
2013-06-17 16:00:00	26.670             
2013-06-17 17:00:00	27.500             
2013-06-17 18:00:00	30.220             
2013-06-17 19:00:00	34.030             
2013-06-17 20:00:00	42.910             
2013-06-17 21:00:00	50.000             
2013-06-17 22:00:00	59.790             
2013-06-17 23:00:00	65.960             
2013-06-18 00:00:00	71.000             
2013-06-18 01:00:00	77.100             
2013-06-18 02:00:00	76.300             
2013-06-18 03:00:00	73.600             
2013-06-18 04:00:00	71.700             
2013-06-18 05:00:00	70.300             
2013-06-18 06:00:00	71.500             
2013-06-18 07:00:00	70.600             
2013-06-18 08:00:00	64.860             
2013-06-18 09:00:00	60.640             
2013-06-18 10:00:00	57.080             
2013-06-18 11:00:00	52.080             
2013-06-18 12:00:00	46.630             
2013-06-18 13:00:00	41.250             
2013-06-18 14:00:00	34.230             
2013-06-18 15:00:00	30.160             
2013-06-18 16:00:00	24.660             
2013-06-18 17:00:00	20.410             
2013-06-18 18:00:00	19.790             
2013-06-18 19:00:00	24.030             
2013-06-18 20:00:00	29.590             
2013-06-18 21:00:00	38.180             
2013-06-18 22:00:00	46.080             
2013-06-18 23:00:00	52.820             
2013-06-19 00:00:00	58.530             
2013-06-19 01:00:00	69.450             
2013-06-19 02:00:00	69.990             
2013-06-19 03:00:00	73.400             
2013-06-19 04:00:00	80.600             
2013-06-19 05:00:00	85.700             
2013-06-19 06:00:00	86.800             
2013-06-19 07:00:00	70.900             
2013-06-19 08:00:00	63.400             
2013-06-19 09:00:00	56.960             
2013-06-19 10:00:00	48.800             
