end_of_interval	HS
2014-04-07 13:00:00	  0.00000000       
2014-04-07 14:00:00	  0.00000000       
2014-04-07 15:00:00	686.06666667       
2014-04-07 16:00:00	515.05000000       
2014-04-07 17:00:00	265.06666667       
2014-04-07 18:00:00	 29.68333333       
2014-04-07 19:00:00	  2.65000000       
2014-04-07 20:00:00	  0.00000000       
2014-04-07 21:00:00	  0.00000000       
2014-04-07 22:00:00	  0.00000000       
2014-04-07 23:00:00	  0.00000000       
2014-04-08 00:00:00	  0.00000000       
2014-04-08 01:00:00	  0.00000000       
2014-04-08 02:00:00	  0.18333333       
2014-04-08 03:00:00	  0.53333333       
2014-04-08 04:00:00	  0.06666667       
2014-04-08 05:00:00	  0.01666667       
2014-04-08 06:00:00	  4.50000000       
2014-04-08 07:00:00	 70.03333333       
2014-04-08 08:00:00	361.86666667       
2014-04-08 09:00:00	428.03333333       
2014-04-08 10:00:00	696.13333333       
2014-04-08 11:00:00	334.16666667       
2014-04-08 12:00:00	519.61666667       
2014-04-08 13:00:00	856.45000000       
2014-04-08 14:00:00	805.71666667       
2014-04-08 15:00:00	678.91666667       
2014-04-08 16:00:00	500.18333333       
2014-04-08 17:00:00	262.78333333       
2014-04-08 18:00:00	 38.31666667       
2014-04-08 19:00:00	  2.58333333       
2014-04-08 20:00:00	  0.28333333       
2014-04-08 21:00:00	  0.15000000       
2014-04-08 22:00:00	  0.00000000       
2014-04-08 23:00:00	  0.00000000       
2014-04-09 00:00:00	  1.88333333       
2014-04-09 01:00:00	  0.01666667       
2014-04-09 02:00:00	  0.05000000       
2014-04-09 03:00:00	  0.01666667       
2014-04-09 04:00:00	  0.13333333       
2014-04-09 05:00:00	  0.20000000       
2014-04-09 06:00:00	  9.68333333       
2014-04-09 07:00:00	 62.73333333       
2014-04-09 08:00:00	184.85000000       
2014-04-09 09:00:00	214.41666667       
2014-04-09 10:00:00	351.48333333       
2014-04-09 11:00:00	236.31666667       
2014-04-09 12:00:00	297.61666667       
2014-04-09 13:00:00	114.28333333       
2014-04-09 14:00:00	203.63333333       
2014-04-09 15:00:00	128.88333333       
2014-04-09 16:00:00	409.51666667       
2014-04-09 17:00:00	 74.65000000       
2014-04-09 18:00:00	 45.36666667       
2014-04-09 19:00:00	  2.40000000       
2014-04-09 20:00:00	  0.61666667       
2014-04-09 21:00:00	  0.06666667       
2014-04-09 22:00:00	  0.31666667       
2014-04-09 23:00:00	  0.96666667       
2014-04-10 00:00:00	  0.15000000       
2014-04-10 01:00:00	  0.00000000       
2014-04-10 02:00:00	  0.00000000       
2014-04-10 03:00:00	  0.06666667       
2014-04-10 04:00:00	  0.11666667       
2014-04-10 05:00:00	  0.06666667       
2014-04-10 06:00:00	  7.33333333       
2014-04-10 07:00:00	 75.66666667       
2014-04-10 08:00:00	353.85000000       
2014-04-10 09:00:00	537.90000000       
2014-04-10 10:00:00	702.20000000       
2014-04-10 11:00:00	442.43333333       
2014-04-10 12:00:00	659.81666667       
2014-04-10 13:00:00	886.10000000       
2014-04-10 14:00:00	822.71666667       
2014-04-10 15:00:00	701.61666667       
2014-04-10 16:00:00	533.58333333       
2014-04-10 17:00:00	281.90000000       
2014-04-10 18:00:00	 40.18333333       
2014-04-10 19:00:00	  3.90000000       
2014-04-10 20:00:00	  0.00000000       
2014-04-10 21:00:00	  0.00000000       
2014-04-10 22:00:00	  0.00000000       
2014-04-10 23:00:00	  0.00000000       
2014-04-11 00:00:00	  0.00000000       
2014-04-11 01:00:00	  0.00000000       
2014-04-11 02:00:00	  0.08333333       
2014-04-11 03:00:00	  0.43333333       
2014-04-11 04:00:00	  0.08333333       
2014-04-11 05:00:00	  0.05000000       
2014-04-11 06:00:00	  6.48333333       
2014-04-11 07:00:00	 75.20000000       
2014-04-11 08:00:00	187.70000000       
2014-04-11 09:00:00	279.55000000       
2014-04-11 10:00:00	507.98333333       
2014-04-11 11:00:00	336.30000000       
2014-04-11 12:00:00	529.70000000       
2014-04-11 13:00:00	873.91666667       
2014-04-11 14:00:00	832.25000000       
2014-04-11 15:00:00	709.81666667       
2014-04-11 16:00:00	525.96666667       
2014-04-11 17:00:00	267.58333333       
2014-04-11 18:00:00	 54.83333333       
2014-04-11 19:00:00	  3.96666667       
2014-04-11 20:00:00	  0.00000000       
2014-04-11 21:00:00	  0.00000000       
2014-04-11 22:00:00	  0.15000000       
2014-04-11 23:00:00	  0.40000000       
2014-04-12 00:00:00	  0.00000000       
2014-04-12 01:00:00	  0.25000000       
2014-04-12 02:00:00	  0.03333333       
2014-04-12 03:00:00	  0.01666667       
2014-04-12 04:00:00	  0.01666667       
2014-04-12 05:00:00	  0.00000000       
2014-04-12 06:00:00	  3.21666667       
2014-04-12 07:00:00	 22.96666667       
2014-04-12 08:00:00	 58.70000000       
2014-04-12 09:00:00	 83.43333333       
2014-04-12 10:00:00	110.46666667       
2014-04-12 11:00:00	152.28333333       
2014-04-12 12:00:00	216.41666667       
2014-04-12 13:00:00	449.43333333       
2014-04-12 14:00:00	724.96666667       
2014-04-12 15:00:00	692.30000000       
2014-04-12 16:00:00	512.81666667       
2014-04-12 17:00:00	267.28333333       
2014-04-12 18:00:00	 63.16666667       
2014-04-12 19:00:00	  5.28333333       
2014-04-12 20:00:00	  0.00000000       
2014-04-12 21:00:00	  0.00000000       
2014-04-12 22:00:00	  0.00000000       
2014-04-12 23:00:00	  0.00000000       
2014-04-13 00:00:00	  0.31666667       
2014-04-13 01:00:00	  0.21666667       
2014-04-13 02:00:00	  0.03333333       
2014-04-13 03:00:00	  0.00000000       
2014-04-13 04:00:00	  0.00000000       
2014-04-13 05:00:00	  0.00000000       
2014-04-13 06:00:00	  3.95000000       
2014-04-13 07:00:00	 41.23333333       
2014-04-13 08:00:00	112.30000000       
2014-04-13 09:00:00	196.51666667       
2014-04-13 10:00:00	241.45000000       
2014-04-13 11:00:00	547.36666667       
2014-04-13 12:00:00	686.23333333       
2014-04-13 13:00:00	758.41666667       
2014-04-13 14:00:00	773.98333333       
2014-04-13 15:00:00	655.06666667       
2014-04-13 16:00:00	521.11666667       
2014-04-13 17:00:00	282.36666667       
2014-04-13 18:00:00	 53.31666667       
2014-04-13 19:00:00	  3.13333333       
2014-04-13 20:00:00	  0.00000000       
2014-04-13 21:00:00	  0.31666667       
2014-04-13 22:00:00	  0.00000000       
2014-04-13 23:00:00	  0.08333333       
2014-04-14 00:00:00	  0.51666667       
2014-04-14 01:00:00	  0.31666667       
2014-04-14 02:00:00	  0.16666667       
2014-04-14 03:00:00	  0.03333333       
2014-04-14 04:00:00	  0.73333333       
2014-04-14 05:00:00	  0.20000000       
2014-04-14 06:00:00	  4.96666667       
2014-04-14 07:00:00	 31.18333333       
2014-04-14 08:00:00	 60.95000000       
2014-04-14 09:00:00	  0.00000000       
2014-04-14 10:00:00	117.38333333       
2014-04-14 11:00:00	183.36666667       
2014-04-14 12:00:00	135.65000000       
2014-04-14 13:00:00	207.70000000       
2014-04-14 14:00:00	  0.00000000       
2014-04-14 15:00:00	158.51666667       
2014-04-14 16:00:00	203.11666667       
2014-04-14 17:00:00	133.66666667       
2014-04-14 18:00:00	 40.61666667       
2014-04-14 19:00:00	  4.21666667       
2014-04-14 20:00:00	  0.68333333       
2014-04-14 21:00:00	  0.00000000       
2014-04-14 22:00:00	  0.35000000       
2014-04-14 23:00:00	  0.58333333       
2014-04-15 00:00:00	  0.25000000       
2014-04-15 01:00:00	  0.48333333       
2014-04-15 02:00:00	  0.80000000       
2014-04-15 03:00:00	  0.43333333       
2014-04-15 04:00:00	  0.00000000       
2014-04-15 05:00:00	  0.06666667       
2014-04-15 06:00:00	 10.28333333       
2014-04-15 07:00:00	 71.23333333       
2014-04-15 08:00:00	283.11666667       
2014-04-15 09:00:00	258.40000000       
2014-04-15 10:00:00	485.63333333       
2014-04-15 11:00:00	523.05000000       
2014-04-15 12:00:00	597.21666667       
2014-04-15 13:00:00	497.71666667       
2014-04-15 14:00:00	684.76666667       
2014-04-15 15:00:00	631.50000000       
2014-04-15 16:00:00	570.01666667       
2014-04-15 17:00:00	253.73333333       
2014-04-15 18:00:00	 52.90000000       
2014-04-15 19:00:00	  4.76666667       
2014-04-15 20:00:00	  0.00000000       
2014-04-15 21:00:00	  0.00000000       
2014-04-15 22:00:00	  0.00000000       
2014-04-15 23:00:00	  0.00000000       
2014-04-16 00:00:00	  0.00000000       
2014-04-16 01:00:00	  0.00000000       
2014-04-16 02:00:00	  0.00000000       
2014-04-16 03:00:00	  0.00000000       
2014-04-16 04:00:00	  0.00000000       
2014-04-16 05:00:00	  0.00000000       
2014-04-16 06:00:00	  0.00000000       
2014-04-16 07:00:00	  0.00000000       
2014-04-16 08:00:00	  0.00000000       
2014-04-16 09:00:00	  0.00000000       
2014-04-16 10:00:00	  0.00000000       
2014-04-16 11:00:00	  0.00000000       
2014-04-16 12:00:00	  0.00000000       
2014-04-16 13:00:00	  0.00000000       
2014-04-16 14:00:00	  0.00000000       
2014-04-16 15:00:00	  0.00000000       
2014-04-16 16:00:00	  0.00000000       
2014-04-16 17:00:00	  0.00000000       
2014-04-16 18:00:00	  0.00000000       
2014-04-16 19:00:00	  0.00000000       
2014-04-16 20:00:00	  0.00000000       
2014-04-16 21:00:00	  0.00000000       
2014-04-16 22:00:00	  0.00000000       
2014-04-16 23:00:00	  0.00000000       
2014-04-17 00:00:00	  0.00000000       
2014-04-17 01:00:00	  0.00000000       
2014-04-17 02:00:00	  0.00000000       
2014-04-17 03:00:00	  0.00000000       
2014-04-17 04:00:00	  0.00000000       
2014-04-17 05:00:00	  0.00000000       
2014-04-17 06:00:00	  0.00000000       
2014-04-17 07:00:00	  0.00000000       
2014-04-17 08:00:00	  0.00000000       
2014-04-17 09:00:00	  0.00000000       
2014-04-17 10:00:00	  0.00000000       
2014-04-17 11:00:00	  0.00000000       
2014-04-17 12:00:00	  0.00000000       
2014-04-17 13:00:00	  0.00000000       
2014-04-17 14:00:00	  0.00000000       
2014-04-17 15:00:00	  0.00000000       
2014-04-17 16:00:00	  0.00000000       
2014-04-17 17:00:00	  0.00000000       
2014-04-17 18:00:00	  0.00000000       
2014-04-17 19:00:00	  0.00000000       
2014-04-17 20:00:00	  0.00000000       
2014-04-17 21:00:00	  0.00000000       
2014-04-17 22:00:00	  0.00000000       
2014-04-17 23:00:00	  0.00000000       
2014-04-18 00:00:00	  0.00000000       
2014-04-18 01:00:00	  0.00000000       
2014-04-18 02:00:00	188.50000000       
2014-04-18 03:00:00	181.91666667       
2014-04-18 04:00:00	187.01666667       
2014-04-18 05:00:00	131.11666667       
2014-04-18 06:00:00	 55.46666667       
2014-04-18 07:00:00	  8.35000000       
2014-04-18 08:00:00	  0.00000000       
2014-04-18 09:00:00	  0.00000000       
2014-04-18 10:00:00	 77.00000000       
2014-04-18 11:00:00	171.25000000       
2014-04-18 12:00:00	161.90000000       
2014-04-18 13:00:00	  0.00000000       
2014-04-18 14:00:00	188.50000000       
2014-04-18 15:00:00	181.91666667       
2014-04-18 16:00:00	187.01666667       
2014-04-18 17:00:00	131.11666667       
2014-04-18 18:00:00	 55.46666667       
2014-04-18 19:00:00	  8.35000000       
2014-04-18 20:00:00	  0.00000000       
2014-04-18 21:00:00	  0.00000000       
2014-04-18 22:00:00	  0.00000000       
2014-04-18 23:00:00	  0.00000000       
2014-04-19 00:00:00	  0.00000000       
2014-04-19 01:00:00	  0.00000000       
2014-04-19 02:00:00	  0.00000000       
2014-04-19 03:00:00	  0.00000000       
2014-04-19 04:00:00	  0.01666667       
2014-04-19 05:00:00	  0.00000000       
2014-04-19 06:00:00	 14.13333333       
2014-04-19 07:00:00	 71.56666667       
2014-04-19 08:00:00	223.66666667       
2014-04-19 09:00:00	200.00000000       
2014-04-19 10:00:00	185.85000000       
2014-04-19 11:00:00	176.41666667       
2014-04-19 12:00:00	285.16666667       
2014-04-19 13:00:00	377.38333333       
2014-04-19 14:00:00	369.95000000       
2014-04-19 15:00:00	526.00000000       
2014-04-19 16:00:00	475.13333333       
2014-04-19 17:00:00	386.21666667       
2014-04-19 18:00:00	 40.38333333       
2014-04-19 19:00:00	  7.65000000       
2014-04-19 20:00:00	  0.00000000       
2014-04-19 21:00:00	  0.00000000       
2014-04-19 22:00:00	  0.43333333       
2014-04-19 23:00:00	  0.01666667       
2014-04-20 00:00:00	  0.00000000       
2014-04-20 01:00:00	  0.31666667       
2014-04-20 02:00:00	  0.65000000       
2014-04-20 03:00:00	  0.20000000       
2014-04-20 04:00:00	  0.15000000       
2014-04-20 05:00:00	  0.11666667       
2014-04-20 06:00:00	 21.93333333       
2014-04-20 07:00:00	 43.71666667       
2014-04-20 08:00:00	 96.53333333       
2014-04-20 09:00:00	135.56666667       
2014-04-20 10:00:00	494.15000000       
2014-04-20 11:00:00	310.51666667       
2014-04-20 12:00:00	347.35000000       
2014-04-20 13:00:00	371.58333333       
2014-04-20 14:00:00	273.90000000       
2014-04-20 15:00:00	370.53333333       
2014-04-20 16:00:00	139.03333333       
2014-04-20 17:00:00	 25.01666667       
2014-04-20 18:00:00	  8.86666667       
2014-04-20 19:00:00	  3.48333333       
2014-04-20 20:00:00	  0.00000000       
2014-04-20 21:00:00	  0.00000000       
2014-04-20 22:00:00	  0.00000000       
2014-04-20 23:00:00	  0.00000000       
