end_of_interval	HS
2014-04-08 12:00:00	 -0.2500000        
2014-04-09 12:00:00	 -1.8833333        
2014-04-10 12:00:00	 -4.2500000        
2014-04-11 12:00:00	-11.3166667        
2014-04-12 12:00:00	-12.1166667        
2014-04-13 12:00:00	-10.6666667        
2014-04-14 12:00:00	 -0.2500000        
2014-04-15 12:00:00	-12.6000000        
2014-04-16 12:00:00	  0.0000000        
2014-04-17 12:00:00	  0.0000000        
2014-04-18 12:00:00	 -9.1833333        
2014-04-19 12:00:00	-11.9333333        
2014-04-20 12:00:00	-13.3000000        
2014-04-21 12:00:00	-17.2166667        
2014-04-22 12:00:00	-15.2000000        
2014-04-23 12:00:00	-18.4333333        
2014-04-24 12:00:00	  0.0000000        
2014-04-25 12:00:00	  0.0000000        
2014-04-26 12:00:00	  0.0000000        
2014-04-27 12:00:00	  0.0000000        
2014-04-28 12:00:00	  0.0000000        
2014-04-29 12:00:00	  0.0000000        
2014-04-30 12:00:00	-15.1833333        
2014-05-01 12:00:00	-18.6000000        
2014-05-02 12:00:00	-12.9833333        
2014-05-03 12:00:00	-20.8666667        
2014-05-04 12:00:00	-13.3500000        
2014-05-05 12:00:00	  0.0000000        
2014-05-06 12:00:00	  0.0000000        
2014-05-07 12:00:00	  0.0000000        
2014-05-08 12:00:00	  0.0000000        
2014-05-09 12:00:00	-31.1666667        
2014-05-10 12:00:00	  0.0000000        
2014-05-11 12:00:00	  0.0000000        
2014-05-12 12:00:00	  0.0000000        
2014-05-13 12:00:00	  0.0000000        
2014-05-14 12:00:00	-41.5833333        
2014-05-15 12:00:00	-44.2000000        
2014-05-16 12:00:00	-23.7000000        
2014-05-17 12:00:00	-27.7000000        
2014-05-18 12:00:00	-39.0166667        
2014-05-19 12:00:00	-38.7666667        
2014-05-20 12:00:00	-13.9500000        
2014-05-21 12:00:00	  0.0000000        
2014-05-22 12:00:00	  0.0000000        
2014-05-23 12:00:00	-19.5166667        
2014-05-24 12:00:00	-42.2000000        
2014-05-25 12:00:00	-33.2000000        
2014-05-26 12:00:00	  0.0000000        
2014-05-27 12:00:00	  0.0000000        
2014-05-28 12:00:00	  0.0000000        
2014-05-29 12:00:00	  0.0000000        
2014-05-30 12:00:00	  0.0000000        
2014-05-31 12:00:00	  0.0000000        
2014-06-01 12:00:00	  0.0000000        
2014-06-02 12:00:00	  0.0000000        
2014-06-03 12:00:00	-59.9833333        
2014-06-04 12:00:00	-65.5000000        
2014-06-05 12:00:00	-59.1666667        
2014-06-06 12:00:00	-21.2666667        
2014-06-07 12:00:00	-53.2333333        
2014-06-08 12:00:00	-24.5166667        
2014-06-09 12:00:00	-32.9666667        
2014-06-10 12:00:00	  0.0000000        
2014-06-11 12:00:00	  0.0000000        
2014-06-12 12:00:00	-52.5666667        
2014-06-13 12:00:00	-52.7833333        
2014-06-14 12:00:00	  0.0000000        
2014-06-15 12:00:00	  0.0000000        
