end_of_interval	tower
2014-04-08 12:00:00	48.44000           
2014-04-09 12:00:00	62.01000           
2014-04-10 12:00:00	65.10000           
2014-04-11 12:00:00	77.10000           
2014-04-12 12:00:00	95.00000           
2014-04-13 12:00:00	91.20000           
2014-04-14 12:00:00	49.99000           
2014-04-15 12:00:00	74.00000           
2014-04-16 12:00:00	69.33000           
2014-04-17 12:00:00	68.23000           
2014-04-18 12:00:00	87.90000           
2014-04-19 12:00:00	75.10000           
2014-04-20 12:00:00	80.10000           
2014-04-21 12:00:00	68.02000           
2014-04-22 12:00:00	71.30000           
2014-04-23 12:00:00	70.80000           
2014-04-24 12:00:00	81.90000           
2014-04-25 12:00:00	57.20000           
2014-04-26 12:00:00	86.90000           
2014-04-27 12:00:00	62.42000           
2014-04-28 12:00:00	66.57000           
2014-04-29 12:00:00	56.40000           
2014-04-30 12:00:00	55.82000           
2014-05-01 12:00:00	62.76000           
2014-05-02 12:00:00	40.47000           
2014-05-03 12:00:00	31.77000           
2014-05-04 12:00:00	31.30000           
2014-05-05 12:00:00	38.85000           
2014-05-06 12:00:00	59.60000           
2014-05-07 12:00:00	56.79000           
2014-05-08 12:00:00	50.72000           
2014-05-09 12:00:00	59.19000           
2014-05-10 12:00:00	60.57000           
2014-05-11 12:00:00	50.15000           
2014-05-12 12:00:00	33.50000           
2014-05-13 12:00:00	39.48000           
2014-05-14 12:00:00	42.63000           
2014-05-15 12:00:00	38.90000           
2014-05-16 12:00:00	52.21000           
2014-05-17 12:00:00	32.96000           
2014-05-18 12:00:00	50.65000           
2014-05-19 12:00:00	57.63000           
2014-05-20 12:00:00	83.20000           
2014-05-21 12:00:00	89.30000           
2014-05-22 12:00:00	73.76089           
2014-05-23 12:00:00	66.81000           
2014-05-24 12:00:00	45.38000           
2014-05-25 12:00:00	49.30000           
2014-05-26 12:00:00	44.11000           
2014-05-27 12:00:00	54.31000           
2014-05-28 12:00:00	76.30000           
2014-05-29 12:00:00	82.70000           
2014-05-30 12:00:00	61.36000           
2014-05-31 12:00:00	47.37000           
2014-06-01 12:00:00	35.91000           
2014-06-02 12:00:00	57.12000           
2014-06-03 12:00:00	58.21000           
2014-06-04 12:00:00	57.39000           
2014-06-05 12:00:00	58.88000           
2014-06-06 12:00:00	71.60000           
2014-06-07 12:00:00	52.18000           
2014-06-08 12:00:00	69.38000           
2014-06-09 12:00:00	57.25000           
2014-06-10 12:00:00	57.45000           
2014-06-11 12:00:00	35.65000           
2014-06-12 12:00:00	73.76089           
2014-06-13 12:00:00	35.79000           
2014-06-14 12:00:00	25.57000           
2014-06-15 12:00:00	27.01000           
2014-06-16 12:00:00	28.39000           
2014-06-17 12:00:00	64.41000           
2014-06-18 12:00:00	76.10000           
2014-06-19 12:00:00	49.30000           
2014-06-20 12:00:00	49.50000           
2014-06-21 12:00:00	62.07000           
2014-06-22 12:00:00	51.96000           
2014-06-23 12:00:00	62.04000           
