end_of_interval	HS
2014-04-08 12:00:00	21.7191261         
2014-04-09 12:00:00	11.8856635         
2014-04-10 12:00:00	21.2915842         
2014-04-11 12:00:00	17.1016741         
2014-04-12 12:00:00	 8.0246317         
2014-04-13 12:00:00	16.3123660         
2014-04-14 12:00:00	 1.1525204         
2014-04-15 12:00:00	15.3915067         
2014-04-16 12:00:00	 1.1525204         
2014-04-17 12:00:00	 1.1525204         
2014-04-18 12:00:00	 5.5251562         
2014-04-19 12:00:00	 8.1561830         
2014-04-20 12:00:00	11.4449665         
2014-04-21 12:00:00	14.3390960         
2014-04-22 12:00:00	14.2075446         
2014-04-23 12:00:00	18.5487388         
2014-04-24 12:00:00	 1.1525204         
2014-04-25 12:00:00	 1.1525204         
2014-04-26 12:00:00	 1.1525204         
2014-04-27 12:00:00	 1.1525204         
2014-04-28 12:00:00	 1.1525204         
2014-04-29 12:00:00	26.4418192         
2014-04-30 12:00:00	28.8097433         
2014-05-01 12:00:00	27.8888839         
2014-05-02 12:00:00	29.7306026         
2014-05-03 12:00:00	27.2311272         
2014-05-04 12:00:00	29.0728459         
2014-05-05 12:00:00	 1.1525204         
2014-05-06 12:00:00	 1.1525204         
2014-05-07 12:00:00	 1.1525204         
2014-05-08 12:00:00	 1.1525204         
2014-05-09 12:00:00	35.2557589         
2014-05-10 12:00:00	 1.1525204         
2014-05-11 12:00:00	 1.1525204         
2014-05-12 12:00:00	 1.1525204         
2014-05-13 12:00:00	 1.1525204         
2014-05-14 12:00:00	35.7819642         
2014-05-15 12:00:00	35.3873102         
2014-05-16 12:00:00	24.6001004         
2014-05-17 12:00:00	33.9402455         
2014-05-18 12:00:00	36.7028236         
2014-05-19 12:00:00	15.1284040         
2014-05-20 12:00:00	 0.2631027         
2014-05-21 12:00:00	 1.1525204         
2014-05-22 12:00:00	 1.1525204         
2014-05-23 12:00:00	16.1808147         
2014-05-24 12:00:00	35.6504129         
2014-05-25 12:00:00	25.2578571         
2014-05-26 12:00:00	 1.1525204         
2014-05-27 12:00:00	 1.1525204         
2014-05-28 12:00:00	 1.1525204         
2014-05-29 12:00:00	 1.1525204         
2014-05-30 12:00:00	 1.1525204         
2014-05-31 12:00:00	 1.1525204         
2014-06-01 12:00:00	 1.1525204         
2014-06-02 12:00:00	 1.1525204         
2014-06-03 12:00:00	39.8600558         
2014-06-04 12:00:00	37.7552343         
2014-06-05 12:00:00	36.1766183         
2014-06-06 12:00:00	 4.2096429         
2014-06-07 12:00:00	33.2824888         
2014-06-08 12:00:00	16.1808147         
2014-06-09 12:00:00	21.1797656         
2014-06-10 12:00:00	 1.1525204         
2014-06-11 12:00:00	 1.1525204         
2014-06-12 12:00:00	45.7798660         
2014-06-13 12:00:00	45.5167633         
2014-06-14 12:00:00	 1.1525204         
2014-06-15 12:00:00	 1.1525204         
2014-06-16 12:00:00	 1.1525204         
2014-06-17 12:00:00	35.9135156         
2014-06-18 12:00:00	 8.0246317         
2014-06-19 12:00:00	29.8621540         
2014-06-20 12:00:00	28.4150892         
2014-06-21 12:00:00	17.7594308         
2014-06-22 12:00:00	 1.1525204         
2014-06-23 12:00:00	 1.1525204         
2014-06-24 12:00:00	 1.1525204         
2014-06-25 12:00:00	 1.1525204         
2014-06-26 12:00:00	43.5434932         
2014-06-27 12:00:00	43.0172879         
2014-06-28 12:00:00	21.9690736         
2014-06-29 12:00:00	41.4386718         
2014-06-30 12:00:00	41.4386718         
2014-07-01 12:00:00	22.2321763         
2014-07-02 12:00:00	 1.1525204         
2014-07-03 12:00:00	 1.1525204         
2014-07-04 12:00:00	 1.1525204         
2014-07-05 12:00:00	 1.1525204         
2014-07-06 12:00:00	 1.1525204         
2014-07-07 12:00:00	 1.1525204         
2014-07-08 12:00:00	 1.1525204         
2014-07-09 12:00:00	 1.1525204         
2014-07-10 12:00:00	 1.1525204         
2014-07-11 12:00:00	 1.1525204         
2014-07-12 12:00:00	 1.1525204         
2014-07-13 12:00:00	 1.1525204         
2014-07-14 12:00:00	 1.1525204         
2014-07-15 12:00:00	37.0974776         
2014-07-16 12:00:00	37.6236830         
2014-07-17 12:00:00	32.7562834         
2014-07-18 12:00:00	10.5241071         
2014-07-19 12:00:00	13.9444419         
2014-07-20 12:00:00	20.9166629         
2014-07-21 12:00:00	37.3605803         
2014-07-22 12:00:00	38.1498883         
2014-07-23 12:00:00	32.7562834         
2014-07-24 12:00:00	25.1263058         
2014-07-25 12:00:00	 2.4994754         
2014-07-26 12:00:00	23.8107924         
2014-07-27 12:00:00	22.6268303         
2014-07-28 12:00:00	24.4685491         
2014-07-29 12:00:00	31.7038727         
2014-07-30 12:00:00	31.0461160         
2014-07-31 12:00:00	14.2075446         
2014-08-01 12:00:00	24.2054464         
2014-08-02 12:00:00	 9.2085937         
2014-08-03 12:00:00	13.0235826         
2014-08-04 12:00:00	24.7316518         
2014-08-05 12:00:00	25.9156138         
2014-08-06 12:00:00	24.3369977         
2014-08-07 12:00:00	23.1530357         
2014-08-08 12:00:00	14.0759933         
2014-08-09 12:00:00	18.0225335         
2014-08-10 12:00:00	18.2856361         
2014-08-11 12:00:00	18.1540848         
2014-08-12 12:00:00	18.1540848         
2014-08-13 12:00:00	13.5497879         
2014-08-14 12:00:00	14.9968527         
2014-08-15 12:00:00	15.6546094         
2014-08-16 12:00:00	16.5754687         
2014-08-17 12:00:00	16.4439174         
2014-08-18 12:00:00	11.3134152         
2014-08-19 12:00:00	 7.3668750         
2014-08-20 12:00:00	 8.1561830         
2014-08-21 12:00:00	 8.9454911         
2014-08-22 12:00:00	 8.0246317         
2014-08-23 12:00:00	 7.3668750         
2014-08-24 12:00:00	 6.8406696         
2014-08-25 12:00:00	 8.9981116         
2014-08-26 12:00:00	11.3134152         
2014-08-27 12:00:00	11.7080692         
2014-08-28 12:00:00	12.1027232         
2014-08-29 12:00:00	 7.6299777         
2014-08-30 12:00:00	10.7872098         
2014-08-31 12:00:00	 9.7347991         
2014-09-01 12:00:00	16.0492634         
2014-09-02 12:00:00	12.7604799         
2014-09-03 12:00:00	 6.3144643         
2014-09-04 12:00:00	12.2342745         
2014-09-05 12:00:00	 8.8139397         
2014-09-06 12:00:00	-3.4203348         
2014-09-07 12:00:00	 6.4460156         
2014-09-08 12:00:00	 5.7882589         
2014-09-09 12:00:00	 5.3936049         
2014-09-10 12:00:00	 0.2631027         
2014-09-11 12:00:00	 5.2620536         
2014-09-12 12:00:00	 4.8673995         
2014-09-13 12:00:00	 6.4460156         
2014-09-14 12:00:00	 5.5251562         
2014-09-15 12:00:00	 2.6310268         
2014-09-16 12:00:00	-3.4203348         
2014-09-17 12:00:00	 3.6834375         
2014-09-18 12:00:00	 4.0780915         
2014-09-19 12:00:00	 2.2363728         
2014-09-20 12:00:00	 6.8406696         
2014-09-21 12:00:00	 6.7091183         
2014-09-22 12:00:00	 5.2094330         
2014-09-23 12:00:00	 7.2353237         
2014-09-24 12:00:00	 5.6567076         
2014-09-25 12:00:00	 3.5518862         
2014-09-26 12:00:00	 4.6042969         
2014-09-27 12:00:00	 7.4984263         
2014-09-28 12:00:00	11.8396205         
2014-09-29 12:00:00	 5.1305022         
2014-09-30 12:00:00	 6.5775670         
2014-10-01 12:00:00	 6.3144643         
2014-10-02 12:00:00	 7.2353237         
2014-10-03 12:00:00	 6.7091183         
2014-10-04 12:00:00	 5.6567076         
2014-10-05 12:00:00	 2.7625781         
2014-10-06 12:00:00	 7.2353237         
2014-10-07 12:00:00	 7.8930803         
2014-10-08 12:00:00	 7.3668750         
2014-10-09 12:00:00	 6.5775670         
2014-10-10 12:00:00	 3.4203348         
2014-10-11 12:00:00	 2.1048214         
2014-10-12 12:00:00	-2.3679241         
2014-10-13 12:00:00	-2.3679241         
2014-10-14 12:00:00	 3.2887835         
2014-10-15 12:00:00	10.7872098         
2014-10-16 12:00:00	 7.8930803         
2014-10-17 12:00:00	 5.1305022         
2014-10-18 12:00:00	 7.3668750         
2014-10-19 12:00:00	 5.9198103         
2014-10-20 12:00:00	 5.7882589         
2014-10-21 12:00:00	 8.9454911         
2014-10-22 12:00:00	 8.8139397         
2014-10-23 12:00:00	 2.3679241         
2014-10-24 12:00:00	 7.1037723         
2014-10-25 12:00:00	 5.5251562         
2014-10-26 12:00:00	 0.2631027         
2014-10-27 12:00:00	 3.2887835         
2014-10-28 12:00:00	 2.8941295         
2014-10-29 12:00:00	 1.1839621         
2014-10-30 12:00:00	 1.0524107         
2014-10-31 12:00:00	 1.9732701         
2014-11-01 12:00:00	 6.4460156         
2014-11-02 12:00:00	-0.2631027         
2014-11-03 12:00:00	 3.0256808         
2014-11-04 12:00:00	-4.4727455         
2014-11-05 12:00:00	-6.0513616         
2014-11-06 12:00:00	 1.1839621         
2014-11-07 12:00:00	 4.9989509         
2014-11-08 12:00:00	-0.5262054         
2014-11-09 12:00:00	-4.9989509         
2014-11-10 12:00:00	-2.1048214         
2014-11-11 12:00:00	 2.2363728         
2014-11-12 12:00:00	 4.9989509         
2014-11-13 12:00:00	 4.3411942         
