end_of_interval	HS
2014-04-07 13:00:00	0.06680211         
2014-04-07 14:00:00	0.06666643         
2014-04-07 15:00:00	0.06669356         
2014-04-07 16:00:00	0.06669356         
2014-04-07 17:00:00	0.06658501         
2014-04-07 18:00:00	0.06658501         
2014-04-07 19:00:00	0.06655788         
2014-04-07 20:00:00	0.06647646         
2014-04-07 21:00:00	0.06647646         
2014-04-07 22:00:00	0.06647646         
2014-04-07 23:00:00	0.06647646         
2014-04-08 00:00:00	0.06644933         
2014-04-08 01:00:00	0.06636792         
2014-04-08 02:00:00	0.06653074         
2014-04-08 03:00:00	0.06658501         
2014-04-08 04:00:00	0.06658501         
2014-04-08 05:00:00	0.06658501         
2014-04-08 06:00:00	0.06658501         
2014-04-08 07:00:00	0.06658501         
2014-04-08 08:00:00	0.06658501         
2014-04-08 09:00:00	0.06685639         
2014-04-08 10:00:00	0.06682925         
2014-04-08 11:00:00	0.06693780         
2014-04-08 12:00:00	0.06701921         
2014-04-08 13:00:00	0.06696494         
2014-04-08 14:00:00	0.06704635         
2014-04-08 15:00:00	0.06685639         
2014-04-08 16:00:00	0.06672070         
2014-04-08 17:00:00	0.06669356         
2014-04-08 18:00:00	0.06661215         
2014-04-08 19:00:00	0.06658501         
2014-04-08 20:00:00	0.06653074         
2014-04-08 21:00:00	0.06647646         
2014-04-08 22:00:00	0.06647646         
2014-04-08 23:00:00	0.06647646         
2014-04-09 00:00:00	0.06647646         
2014-04-09 01:00:00	0.06647646         
2014-04-09 02:00:00	0.06653074         
2014-04-09 03:00:00	0.06658501         
2014-04-09 04:00:00	0.06658501         
2014-04-09 05:00:00	0.06658501         
2014-04-09 06:00:00	0.06650360         
2014-04-09 07:00:00	0.06650360         
2014-04-09 08:00:00	0.06666643         
2014-04-09 09:00:00	0.06642219         
2014-04-09 10:00:00	0.06604227         
2014-04-09 11:00:00	0.06471254         
2014-04-09 12:00:00	0.06354563         
2014-04-09 13:00:00	0.06332853         
2014-04-09 14:00:00	0.06351849         
2014-04-09 15:00:00	0.06319284         
2014-04-09 16:00:00	0.06319284         
2014-04-09 17:00:00	0.06311143         
2014-04-09 18:00:00	0.06292147         
2014-04-09 19:00:00	0.06265010         
2014-04-09 20:00:00	0.06265010         
2014-04-09 21:00:00	0.06240586         
2014-04-09 22:00:00	0.06197166         
2014-04-09 23:00:00	0.06153746         
2014-04-10 00:00:00	0.06110327         
2014-04-10 01:00:00	0.06080476         
2014-04-10 02:00:00	0.06056052         
2014-04-10 03:00:00	0.06045197         
2014-04-10 04:00:00	0.06047911         
2014-04-10 05:00:00	0.06050624         
2014-04-10 06:00:00	0.06028915         
2014-04-10 07:00:00	0.06020773         
2014-04-10 08:00:00	0.06045197         
2014-04-10 09:00:00	0.06113040         
2014-04-10 10:00:00	0.06218876         
2014-04-10 11:00:00	0.06376273         
2014-04-10 12:00:00	0.06563521         
2014-04-10 13:00:00	0.06739914         
2014-04-10 14:00:00	0.06875600         
2014-04-10 15:00:00	0.06986864         
2014-04-10 16:00:00	0.06967867         
2014-04-10 17:00:00	0.06867459         
2014-04-10 18:00:00	0.06813184         
2014-04-10 19:00:00	0.06726345         
2014-04-10 20:00:00	0.06606940         
2014-04-10 21:00:00	0.06520101         
2014-04-10 22:00:00	0.06487536         
2014-04-10 23:00:00	0.06506532         
2014-04-11 00:00:00	0.06498391         
2014-04-11 01:00:00	0.06487536         
2014-04-11 02:00:00	0.06479395         
2014-04-11 03:00:00	0.06471254         
2014-04-11 04:00:00	0.06463112         
2014-04-11 05:00:00	0.06454971         
2014-04-11 06:00:00	0.06452257         
2014-04-11 07:00:00	0.06441402         
2014-04-11 08:00:00	0.06433261         
2014-04-11 09:00:00	0.06430548         
2014-04-11 10:00:00	0.06425120         
2014-04-11 11:00:00	0.06430548         
2014-04-11 12:00:00	0.06430548         
2014-04-11 13:00:00	0.06430548         
2014-04-11 14:00:00	0.06430548         
2014-04-11 15:00:00	0.06433261         
2014-04-11 16:00:00	0.06438689         
2014-04-11 17:00:00	0.06441402         
2014-04-11 18:00:00	0.06452257         
2014-04-11 19:00:00	0.06452257         
2014-04-11 20:00:00	0.06452257         
2014-04-11 21:00:00	0.06452257         
2014-04-11 22:00:00	0.06454971         
2014-04-11 23:00:00	0.06454971         
2014-04-12 00:00:00	0.06452257         
2014-04-12 01:00:00	0.06446830         
2014-04-12 02:00:00	0.06441402         
2014-04-12 03:00:00	0.06435975         
2014-04-12 04:00:00	0.06430548         
2014-04-12 05:00:00	0.06422406         
2014-04-12 06:00:00	0.06419693         
2014-04-12 07:00:00	0.06408838         
2014-04-12 08:00:00	0.06406124         
2014-04-12 09:00:00	0.06397983         
2014-04-12 10:00:00	0.06389841         
2014-04-12 11:00:00	0.06387128         
2014-04-12 12:00:00	0.06381700         
2014-04-12 13:00:00	0.06384414         
2014-04-12 14:00:00	0.06384414         
2014-04-12 15:00:00	0.06389841         
2014-04-12 16:00:00	0.06397983         
2014-04-12 17:00:00	0.06403410         
2014-04-12 18:00:00	0.06425120         
2014-04-12 19:00:00	0.06441402         
2014-04-12 20:00:00	0.06460399         
2014-04-12 21:00:00	0.06463112         
2014-04-12 22:00:00	0.06463112         
2014-04-12 23:00:00	0.06463112         
2014-04-13 00:00:00	0.06460399         
