end_of_interval	HS
2014-04-07 13:00:00	0.06680211         
2014-04-07 14:00:00	0.06669356         
2014-04-07 15:00:00	0.06669356         
2014-04-07 16:00:00	0.06669356         
2014-04-07 17:00:00	0.06658501         
2014-04-07 18:00:00	0.06658501         
2014-04-07 19:00:00	0.06647646         
2014-04-07 20:00:00	0.06647646         
2014-04-07 21:00:00	0.06647646         
2014-04-07 22:00:00	0.06647646         
2014-04-07 23:00:00	0.06647646         
2014-04-08 00:00:00	0.06636792         
2014-04-08 01:00:00	0.06636792         
2014-04-08 02:00:00	0.06658501         
2014-04-08 03:00:00	0.06658501         
2014-04-08 04:00:00	0.06658501         
2014-04-08 05:00:00	0.06658501         
2014-04-08 06:00:00	0.06658501         
2014-04-08 07:00:00	0.06658501         
2014-04-08 08:00:00	0.06658501         
2014-04-08 09:00:00	0.06691066         
2014-04-08 10:00:00	0.06680211         
2014-04-08 11:00:00	0.06701921         
2014-04-08 12:00:00	0.06701921         
2014-04-08 13:00:00	0.06712776         
2014-04-08 14:00:00	0.06691066         
2014-04-08 15:00:00	0.06680211         
2014-04-08 16:00:00	0.06669356         
2014-04-08 17:00:00	0.06669356         
2014-04-08 18:00:00	0.06658501         
2014-04-08 19:00:00	0.06658501         
2014-04-08 20:00:00	0.06647646         
2014-04-08 21:00:00	0.06647646         
2014-04-08 22:00:00	0.06647646         
2014-04-08 23:00:00	0.06647646         
2014-04-09 00:00:00	0.06647646         
2014-04-09 01:00:00	0.06647646         
2014-04-09 02:00:00	0.06658501         
2014-04-09 03:00:00	0.06658501         
2014-04-09 04:00:00	0.06658501         
2014-04-09 05:00:00	0.06658501         
2014-04-09 06:00:00	0.06647646         
2014-04-09 07:00:00	0.06658501         
2014-04-09 08:00:00	0.06658501         
2014-04-09 09:00:00	0.06625937         
2014-04-09 10:00:00	0.06560807         
2014-04-09 11:00:00	0.06419693         
2014-04-09 12:00:00	0.06332853         
2014-04-09 13:00:00	0.06332853         
2014-04-09 14:00:00	0.06343708         
2014-04-09 15:00:00	0.06321998         
2014-04-09 16:00:00	0.06321998         
2014-04-09 17:00:00	0.06300288         
2014-04-09 18:00:00	0.06289433         
2014-04-09 19:00:00	0.06267723         
2014-04-09 20:00:00	0.06256868         
2014-04-09 21:00:00	0.06224304         
2014-04-09 22:00:00	0.06180884         
2014-04-09 23:00:00	0.06137464         
2014-04-10 00:00:00	0.06094044         
2014-04-10 01:00:00	0.06072334         
2014-04-10 02:00:00	0.06050624         
2014-04-10 03:00:00	0.06039769         
2014-04-10 04:00:00	0.06050624         
2014-04-10 05:00:00	0.06050624         
2014-04-10 06:00:00	0.06018060         
2014-04-10 07:00:00	0.06028915         
2014-04-10 08:00:00	0.06061479         
2014-04-10 09:00:00	0.06148319         
2014-04-10 10:00:00	0.06267723         
2014-04-10 11:00:00	0.06441402         
2014-04-10 12:00:00	0.06636792         
2014-04-10 13:00:00	0.06788761         
2014-04-10 14:00:00	0.06929875         
2014-04-10 15:00:00	0.07005860         
2014-04-10 16:00:00	0.06929875         
2014-04-10 17:00:00	0.06843036         
2014-04-10 18:00:00	0.06788761         
2014-04-10 19:00:00	0.06680211         
2014-04-10 20:00:00	0.06571662         
2014-04-10 21:00:00	0.06495677         
2014-04-10 22:00:00	0.06506532         
2014-04-10 23:00:00	0.06506532         
2014-04-11 00:00:00	0.06495677         
2014-04-11 01:00:00	0.06484822         
2014-04-11 02:00:00	0.06473967         
2014-04-11 03:00:00	0.06463112         
2014-04-11 04:00:00	0.06463112         
2014-04-11 05:00:00	0.06452257         
2014-04-11 06:00:00	0.06452257         
2014-04-11 07:00:00	0.06441402         
2014-04-11 08:00:00	0.06430548         
2014-04-11 09:00:00	0.06430548         
2014-04-11 10:00:00	0.06430548         
2014-04-11 11:00:00	0.06430548         
2014-04-11 12:00:00	0.06430548         
2014-04-11 13:00:00	0.06430548         
2014-04-11 14:00:00	0.06430548         
2014-04-11 15:00:00	0.06441402         
2014-04-11 16:00:00	0.06441402         
2014-04-11 17:00:00	0.06441402         
2014-04-11 18:00:00	0.06452257         
2014-04-11 19:00:00	0.06452257         
2014-04-11 20:00:00	0.06452257         
2014-04-11 21:00:00	0.06452257         
2014-04-11 22:00:00	0.06452257         
2014-04-11 23:00:00	0.06452257         
2014-04-12 00:00:00	0.06452257         
2014-04-12 01:00:00	0.06441402         
2014-04-12 02:00:00	0.06441402         
2014-04-12 03:00:00	0.06430548         
2014-04-12 04:00:00	0.06430548         
2014-04-12 05:00:00	0.06419693         
2014-04-12 06:00:00	0.06419693         
2014-04-12 07:00:00	0.06408838         
2014-04-12 08:00:00	0.06397983         
2014-04-12 09:00:00	0.06397983         
2014-04-12 10:00:00	0.06387128         
2014-04-12 11:00:00	0.06387128         
2014-04-12 12:00:00	0.06376273         
2014-04-12 13:00:00	0.06387128         
2014-04-12 14:00:00	0.06387128         
2014-04-12 15:00:00	0.06397983         
2014-04-12 16:00:00	0.06397983         
2014-04-12 17:00:00	0.06408838         
2014-04-12 18:00:00	0.06430548         
2014-04-12 19:00:00	0.06452257         
2014-04-12 20:00:00	0.06463112         
2014-04-12 21:00:00	0.06463112         
2014-04-12 22:00:00	0.06463112         
2014-04-12 23:00:00	0.06463112         
2014-04-13 00:00:00	0.06452257         
2014-04-13 01:00:00	0.06452257         
2014-04-13 02:00:00	0.06441402         
2014-04-13 03:00:00	0.06441402         
2014-04-13 04:00:00	0.06430548         
2014-04-13 05:00:00	0.06430548         
2014-04-13 06:00:00	0.06430548         
2014-04-13 07:00:00	0.06419693         
2014-04-13 08:00:00	0.06419693         
2014-04-13 09:00:00	0.06419693         
2014-04-13 10:00:00	0.06408838         
2014-04-13 11:00:00	0.06408838         
2014-04-13 12:00:00	0.06408838         
2014-04-13 13:00:00	0.06408838         
2014-04-13 14:00:00	0.06419693         
2014-04-13 15:00:00	0.06419693         
2014-04-13 16:00:00	0.06441402         
2014-04-13 17:00:00	0.06463112         
2014-04-13 18:00:00	0.06473967         
2014-04-13 19:00:00	0.06495677         
2014-04-13 20:00:00	0.06506532         
2014-04-13 21:00:00	0.06517387         
2014-04-13 22:00:00	0.06517387         
2014-04-13 23:00:00	0.06517387         
2014-04-14 00:00:00	0.06506532         
2014-04-14 01:00:00	0.06506532         
2014-04-14 02:00:00	0.06495677         
2014-04-14 03:00:00	0.06484822         
2014-04-14 04:00:00	0.06484822         
2014-04-14 05:00:00	0.06473967         
2014-04-14 06:00:00	0.06473967         
2014-04-14 07:00:00	0.06463112         
2014-04-14 08:00:00	0.06463112         
2014-04-14 09:00:00	0.06452257         
2014-04-14 10:00:00	0.06452257         
2014-04-14 11:00:00	0.06441402         
2014-04-14 12:00:00	0.06452257         
2014-04-14 13:00:00	0.06452257         
2014-04-14 14:00:00	0.06473967         
2014-04-14 15:00:00	0.06506532         
2014-04-14 16:00:00	0.06539097         
2014-04-14 17:00:00	0.06560807         
2014-04-14 18:00:00	0.06582517         
2014-04-14 19:00:00	0.06604227         
2014-04-14 20:00:00	0.06615082         
2014-04-14 21:00:00	0.06615082         
2014-04-14 22:00:00	0.06615082         
2014-04-14 23:00:00	0.06615082         
2014-04-15 00:00:00	0.06615082         
2014-04-15 01:00:00	0.06604227         
2014-04-15 02:00:00	0.06604227         
2014-04-15 03:00:00	0.06604227         
2014-04-15 04:00:00	0.06604227         
2014-04-15 05:00:00	0.06582517         
2014-04-15 06:00:00	0.06571662         
2014-04-15 07:00:00	0.06560807         
2014-04-15 08:00:00	0.06549952         
2014-04-15 09:00:00	0.06539097         
2014-04-15 10:00:00	0.06539097         
2014-04-15 11:00:00	0.06549952         
2014-04-15 12:00:00	0.06560807         
2014-04-15 13:00:00	0.06571662         
2014-04-15 14:00:00	0.06582517         
2014-04-15 15:00:00	0.06593372         
2014-04-15 16:00:00	0.06604227         
2014-04-15 17:00:00	0.06647646         
2014-04-15 18:00:00	0.06636792         
2014-04-15 19:00:00	0.06647646         
2014-04-15 20:00:00	0.06593372         
2014-04-15 21:00:00	0.06701921         
2014-04-15 22:00:00	0.06691066         
2014-04-15 23:00:00	0.06691066         
2014-04-16 00:00:00	0.06691066         
2014-04-16 01:00:00	0.06680211         
2014-04-16 02:00:00	0.06691066         
2014-04-16 03:00:00	0.06691066         
2014-04-16 04:00:00	0.06680211         
