end_of_interval	tower
2014-04-07 21:00:00	 76.8000000        
2014-04-07 22:00:00	 87.4000000        
2014-04-07 23:00:00	 93.1000000        
2014-04-08 00:00:00	 46.3849383        
2014-04-08 01:00:00	 97.7000000        
2014-04-08 02:00:00	 98.4000000        
2014-04-08 03:00:00	 98.6000000        
2014-04-08 04:00:00	 99.3000000        
2014-04-08 05:00:00	 99.7000000        
2014-04-08 06:00:00	 99.7000000        
2014-04-08 07:00:00	 99.7000000        
2014-04-08 08:00:00	 99.5000000        
2014-04-08 09:00:00	 88.0000000        
2014-04-08 10:00:00	 75.1000000        
2014-04-08 11:00:00	 63.7000000        
2014-04-08 12:00:00	 48.4400000        
2014-04-08 13:00:00	 44.8700000        
2014-04-08 14:00:00	 46.9300000        
2014-04-08 15:00:00	 44.2200000        
2014-04-08 16:00:00	 39.4200000        
2014-04-08 17:00:00	 38.2200000        
2014-04-08 18:00:00	 38.7000000        
2014-04-08 19:00:00	 45.1800000        
2014-04-08 20:00:00	 52.1200000        
2014-04-08 21:00:00	 55.8300000        
2014-04-08 22:00:00	 72.3000000        
2014-04-08 23:00:00	 79.1000000        
2014-04-09 00:00:00	 42.7809498        
2014-04-09 01:00:00	 68.0200000        
2014-04-09 02:00:00	 69.9900000        
2014-04-09 03:00:00	 75.1000000        
2014-04-09 04:00:00	 77.1000000        
2014-04-09 05:00:00	 78.7000000        
2014-04-09 06:00:00	 77.4000000        
2014-04-09 07:00:00	 77.2000000        
2014-04-09 08:00:00	 74.5000000        
2014-04-09 09:00:00	 71.4000000        
2014-04-09 10:00:00	 66.3500000        
2014-04-09 11:00:00	 57.8800000        
2014-04-09 12:00:00	 62.0100000        
2014-04-09 13:00:00	 56.2600000        
2014-04-09 14:00:00	 57.5500000        
2014-04-09 15:00:00	 59.5500000        
2014-04-09 16:00:00	 55.4700000        
2014-04-09 17:00:00	 46.0000000        
2014-04-09 18:00:00	 50.0000000        
2014-04-09 19:00:00	 55.2400000        
2014-04-09 20:00:00	 56.1500000        
2014-04-09 21:00:00	 57.9800000        
2014-04-09 22:00:00	 62.2800000        
2014-04-09 23:00:00	 62.4500000        
2014-04-10 00:00:00	 32.3072415        
2014-04-10 01:00:00	 64.7400000        
2014-04-10 02:00:00	 79.3000000        
2014-04-10 03:00:00	 79.9000000        
2014-04-10 04:00:00	 84.4000000        
2014-04-10 05:00:00	 88.6000000        
2014-04-10 06:00:00	 91.8000000        
2014-04-10 07:00:00	 78.7000000        
2014-04-10 08:00:00	 85.5000000        
