end_of_interval	NSA
2014-04-07 21:00:00	 1.376667e+01      
2014-04-07 22:00:00	 1.300000e+01      
2014-04-07 23:00:00	 1.240000e+01      
2014-04-08 00:00:00	 1.203333e+01      
2014-04-08 01:00:00	 1.205000e+01      
2014-04-08 02:00:00	 1.213333e+01      
2014-04-08 03:00:00	 1.225000e+01      
2014-04-08 04:00:00	 1.218333e+01      
2014-04-08 05:00:00	 1.201667e+01      
2014-04-08 06:00:00	 1.221667e+01      
2014-04-08 07:00:00	 1.458333e+01      
2014-04-08 08:00:00	 1.776667e+01      
2014-04-08 09:00:00	 2.041667e+01      
2014-04-08 10:00:00	 2.276667e+01      
2014-04-08 11:00:00	 2.458333e+01      
2014-04-08 12:00:00	 2.573333e+01      
2014-04-08 13:00:00	 2.613333e+01      
2014-04-08 14:00:00	 2.648333e+01      
2014-04-08 15:00:00	 2.665000e+01      
2014-04-08 16:00:00	 2.618333e+01      
2014-04-08 17:00:00	 2.416667e+01      
2014-04-08 18:00:00	 2.115000e+01      
2014-04-08 19:00:00	 1.998333e+01      
2014-04-08 20:00:00	 1.876667e+01      
2014-04-08 21:00:00	 1.746667e+01      
2014-04-08 22:00:00	 1.636667e+01      
2014-04-08 23:00:00	 1.878333e+01      
2014-04-09 00:00:00	 1.813333e+01      
2014-04-09 01:00:00	 1.695000e+01      
2014-04-09 02:00:00	 1.635000e+01      
2014-04-09 03:00:00	 1.601667e+01      
2014-04-09 04:00:00	 1.626667e+01      
2014-04-09 05:00:00	 1.658333e+01      
2014-04-09 06:00:00	 1.731667e+01      
2014-04-09 07:00:00	 1.888333e+01      
2014-04-09 08:00:00	 2.013333e+01      
2014-04-09 09:00:00	 2.250000e+01      
2014-04-09 10:00:00	 2.228333e+01      
2014-04-09 11:00:00	 2.268333e+01      
2014-04-09 12:00:00	 2.190000e+01      
2014-04-09 13:00:00	 2.258333e+01      
2014-04-09 14:00:00	 2.158333e+01      
2014-04-09 15:00:00	 2.381667e+01      
2014-04-09 16:00:00	 2.241667e+01      
2014-04-09 17:00:00	 2.143333e+01      
2014-04-09 18:00:00	 2.038333e+01      
2014-04-09 19:00:00	 1.951667e+01      
2014-04-09 20:00:00	 1.798333e+01      
2014-04-09 21:00:00	 1.781667e+01      
2014-04-09 22:00:00	 1.746667e+01      
2014-04-09 23:00:00	 1.640000e+01      
2014-04-10 00:00:00	 1.421667e+01      
2014-04-10 01:00:00	 1.256667e+01      
2014-04-10 02:00:00	 1.238333e+01      
