end_of_interval	tower
2014-04-07 15:00:00	-102.800           
2014-04-07 16:00:00	-101.800           
2014-04-07 17:00:00	-101.000           
2014-04-07 18:00:00	 -93.900           
2014-04-07 19:00:00	 -90.500           
2014-04-07 20:00:00	 -82.000           
2014-04-07 21:00:00	 -79.100           
2014-04-07 22:00:00	 -77.800           
2014-04-07 23:00:00	 -78.300           
2014-04-08 00:00:00	 -77.300           
2014-04-08 01:00:00	 -49.150           
2014-04-08 02:00:00	 -28.320           
2014-04-08 03:00:00	 -22.330           
2014-04-08 04:00:00	  -3.871           
2014-04-08 05:00:00	  -4.609           
2014-04-08 06:00:00	  -7.870           
2014-04-08 07:00:00	  -5.245           
2014-04-08 08:00:00	  -8.820           
2014-04-08 09:00:00	 -51.990           
2014-04-08 10:00:00	 -85.300           
2014-04-08 11:00:00	 -94.100           
2014-04-08 12:00:00	-105.900           
2014-04-08 13:00:00	-110.700           
2014-04-08 14:00:00	-116.100           
2014-04-08 15:00:00	-113.000           
2014-04-08 16:00:00	-111.100           
2014-04-08 17:00:00	-107.300           
2014-04-08 18:00:00	-102.900           
2014-04-08 19:00:00	 -92.200           
2014-04-08 20:00:00	 -80.100           
2014-04-08 21:00:00	 -76.800           
2014-04-08 22:00:00	 -76.400           
2014-04-08 23:00:00	 -72.800           
2014-04-09 00:00:00	 -62.610           
2014-04-09 01:00:00	 -46.860           
2014-04-09 02:00:00	 -57.210           
2014-04-09 03:00:00	 -60.660           
2014-04-09 04:00:00	 -68.490           
2014-04-09 05:00:00	 -68.680           
2014-04-09 06:00:00	 -42.190           
2014-04-09 07:00:00	 -38.170           
2014-04-09 08:00:00	 -54.350           
2014-04-09 09:00:00	 -53.600           
2014-04-09 10:00:00	 -48.650           
2014-04-09 11:00:00	 -68.600           
2014-04-09 12:00:00	 -49.270           
2014-04-09 13:00:00	 -62.260           
2014-04-09 14:00:00	 -39.600           
2014-04-09 15:00:00	 -50.070           
2014-04-09 16:00:00	 -52.450           
2014-04-09 17:00:00	 -58.370           
2014-04-09 18:00:00	 -55.040           
2014-04-09 19:00:00	 -38.200           
2014-04-09 20:00:00	 -31.480           
2014-04-09 21:00:00	 -40.240           
2014-04-09 22:00:00	 -44.460           
2014-04-09 23:00:00	 -67.640           
2014-04-10 00:00:00	 -38.700           
2014-04-10 01:00:00	 -68.550           
2014-04-10 02:00:00	 -68.510           
