end_of_interval	tower
2014-04-07 15:00:00	22.32000           
2014-04-07 16:00:00	22.65000           
2014-04-07 17:00:00	22.56000           
2014-04-07 18:00:00	21.95000           
2014-04-07 19:00:00	20.54000           
2014-04-07 20:00:00	17.58000           
2014-04-07 21:00:00	16.04000           
2014-04-07 22:00:00	14.68000           
2014-04-07 23:00:00	13.64000           
2014-04-08 00:00:00	15.56008           
2014-04-08 01:00:00	12.23000           
2014-04-08 02:00:00	11.89000           
2014-04-08 03:00:00	11.65000           
2014-04-08 04:00:00	11.56000           
2014-04-08 05:00:00	11.60000           
2014-04-08 06:00:00	11.51000           
2014-04-08 07:00:00	11.28000           
2014-04-08 08:00:00	11.47000           
2014-04-08 09:00:00	14.20000           
2014-04-08 10:00:00	16.86000           
2014-04-08 11:00:00	19.58000           
2014-04-08 12:00:00	22.23000           
2014-04-08 13:00:00	24.00000           
2014-04-08 14:00:00	24.45000           
2014-04-08 15:00:00	25.52000           
2014-04-08 16:00:00	26.63000           
2014-04-08 17:00:00	27.31000           
2014-04-08 18:00:00	26.52000           
2014-04-08 19:00:00	25.36000           
2014-04-08 20:00:00	22.73000           
2014-04-08 21:00:00	21.00000           
2014-04-08 22:00:00	19.25000           
2014-04-08 23:00:00	18.23000           
2014-04-09 00:00:00	15.56008           
2014-04-09 01:00:00	19.17000           
2014-04-09 02:00:00	18.43000           
2014-04-09 03:00:00	17.19000           
2014-04-09 04:00:00	16.59000           
2014-04-09 05:00:00	16.24000           
2014-04-09 06:00:00	16.49000           
2014-04-09 07:00:00	16.40000           
2014-04-09 08:00:00	17.21000           
2014-04-09 09:00:00	18.20000           
2014-04-09 10:00:00	19.54000           
2014-04-09 11:00:00	21.84000           
2014-04-09 12:00:00	21.50000           
2014-04-09 13:00:00	22.11000           
2014-04-09 14:00:00	21.68000           
2014-04-09 15:00:00	22.11000           
2014-04-09 16:00:00	21.17000           
2014-04-09 17:00:00	23.80000           
2014-04-09 18:00:00	22.29000           
2014-04-09 19:00:00	21.73000           
2014-04-09 20:00:00	21.06000           
2014-04-09 21:00:00	20.66000           
2014-04-09 22:00:00	19.59000           
2014-04-09 23:00:00	19.03000           
2014-04-10 00:00:00	15.56008           
2014-04-10 01:00:00	17.94000           
2014-04-10 02:00:00	15.15000           
2014-04-10 03:00:00	15.36000           
2014-04-10 04:00:00	14.34000           
2014-04-10 05:00:00	13.67000           
2014-04-10 06:00:00	12.89000           
2014-04-10 07:00:00	15.18000           
2014-04-10 08:00:00	14.43000           
2014-04-10 09:00:00	16.41000           
2014-04-10 10:00:00	17.56000           
2014-04-10 11:00:00	19.25000           
2014-04-10 12:00:00	19.79000           
2014-04-10 13:00:00	20.63000           
2014-04-10 14:00:00	21.68000           
2014-04-10 15:00:00	22.25000           
2014-04-10 16:00:00	22.26000           
