end_of_interval	intercept	slope	r2
2000-01-01 00:00:00	28.3498	-0.00542465	0.86
2000-01-02 00:00:00	0	0	0.64
2000-01-03 00:00:00	29.3539	-0.00706832	0.87
2000-01-04 00:00:00	0	0	0.58
2000-01-05 00:00:00	27.2628	-0.0063906	0.98
2000-01-06 00:00:00	24.8894	-0.00142355	0.94
2000-01-07 00:00:00	0	0	0.63
2000-01-08 00:00:00	27.2341	-0.00531893	0.79
2000-01-09 00:00:00	25.9608	-0.00585223	0.99
2000-01-10 00:00:00	27.8724	-0.00686471	0.73
2000-01-11 00:00:00	28.3447	-0.00704553	0.97
2000-01-12 00:00:00	27.9349	-0.00475416	0.99
2000-01-13 00:00:00	27.7806	-0.00606837	1
2000-01-14 00:00:00	28.32	-0.00931714	0.84
2000-01-15 00:00:00	0	0	0.34
2000-01-16 00:00:00	0	0	0.68
2000-01-17 00:00:00	27.2559	-0.00564007	0.93
2000-01-18 00:00:00	27.1534	-0.00323357	0.84
2000-01-19 00:00:00	0	0	0.5
2000-01-20 00:00:00	27.2764	-0.00367454	0.77
2000-01-21 00:00:00	27.3997	-0.00414937	0.95
2000-01-22 00:00:00	26.544	-0.00126009	0.88
2000-01-23 00:00:00	0	0	0.68
2000-01-24 00:00:00	27.12	-0.00431682	0.99
2000-01-25 00:00:00	26.8609	-0.00278574	0.98
2000-01-26 00:00:00	26.6449	-0.00169562	0.99
2000-01-27 00:00:00	28.6898	-0.00537486	0.76
2000-01-28 00:00:00	0	0	0.68
2000-01-29 00:00:00	29.1527	-0.00603197	0.78
2000-01-30 00:00:00	0	0	0.6
2000-01-31 00:00:00	29.2845	-0.00559498	0.75
2000-02-01 00:00:00	0	0	0.62
2000-02-02 00:00:00	29.9064	-0.0076496	0.99
2000-02-03 00:00:00	29.6087	-0.00712208	0.88
2000-02-04 00:00:00	29.4488	-0.00793903	0.94
2000-02-05 00:00:00	29.3845	-0.00657829	0.82
2000-02-06 00:00:00	30.3254	-0.00861386	0.72
2000-02-07 00:00:00	30.8626	-0.00945709	1
2000-02-08 00:00:00	27.9094	-0.00574036	1
2000-02-09 00:00:00	26.1045	-0.00559498	0.75
2000-02-10 00:00:00	26.8581	-0.00416203	0.92
2000-02-11 00:00:00	28.701	-0.00656961	0.94
2000-02-12 00:00:00	28.3557	-0.00530627	0.99
2000-02-13 00:00:00	28.8642	-0.00801088	0.71
2000-02-14 00:00:00	0	0	0.57
2000-02-15 00:00:00	27.9868	-0.00888413	0.77
2000-02-16 00:00:00	27.8884	-0.00745479	0.83
2000-02-17 00:00:00	28.1019	-0.00940514	1
2000-02-18 00:00:00	27.7	-0.00753375	0.94
2000-02-19 00:00:00	27.6845	-0.00701166	0.89
2000-02-20 00:00:00	0	0	0.54
2000-02-21 00:00:00	27.725	-0.00646281	0.91
2000-02-22 00:00:00	26.2749	-0.00443736	0.89
2000-02-23 00:00:00	26.5845	-0.0052114	0.74
2000-02-24 00:00:00	27.4097	-0.00677454	0.99
2000-02-25 00:00:00	27.8133	-0.00778353	0.83
2000-02-26 00:00:00	25.6996	-0.00246568	0.87
2000-02-27 00:00:00	28.2515	-0.0077124	0.99
2000-02-28 00:00:00	28.5168	-0.00897574	0.96
2000-02-29 00:00:00	28.0557	-0.00788961	0.87
2000-03-01 00:00:00	27.4408	-0.00548565	0.74
2000-03-02 00:00:00	25.9248	-0.00377881	0.92
2000-03-03 00:00:00	27.5255	-0.0087643	0.9
2000-03-04 00:00:00	28.1273	-0.00778534	0.8
2000-03-05 00:00:00	29.95	-0.0114422	0.94
2000-03-06 00:00:00	28.8121	-0.00946396	0.99
2000-03-07 00:00:00	27.22	-0.00525034	1
2000-03-08 00:00:00	28.1403	-0.00651766	0.91
2000-03-09 00:00:00	27.6259	-0.00689835	0.94
2000-03-10 00:00:00	0	0	0.16
2000-03-11 00:00:00	0	0	0.58
2000-03-12 00:00:00	0	0	0.49
2000-03-13 00:00:00	28.8551	-0.00842147	1
2000-03-14 00:00:00	27.6132	-0.00764996	0.99
2000-03-15 00:00:00	28.5904	-0.0085431	0.92
2000-03-16 00:00:00	29.2945	-0.0100702	0.97
2000-03-17 00:00:00	0	0	0.64
2000-03-18 00:00:00	0	0	0.45
2000-03-19 00:00:00	27.7492	-0.00743997	0.99
2000-03-20 00:00:00	27.5445	-0.00564477	0.85
2000-03-21 00:00:00	26.8242	-0.00449402	0.84
2000-03-22 00:00:00	26.1253	-0.00311339	0.98
2000-03-23 00:00:00	29.2992	-0.0111152	0.93
2000-03-24 00:00:00	28.7438	-0.00919333	0.97
2000-03-25 00:00:00	27.7794	-0.00639892	1
2000-03-26 00:00:00	26.8717	-0.00521285	0.71
2000-03-27 00:00:00	28.3933	-0.00878371	0.88
2000-03-28 00:00:00	26.8406	-0.00551844	0.99
