end_of_interval	out
2000-01-01 00:00:00	2.11589935
2000-01-02 00:00:00	2.62373358
2000-01-03 00:00:00	1.5457
2000-01-04 00:00:00	1.0879
2000-01-05 00:00:00	2.15273423
2000-01-06 00:00:00	2.58746577
2000-01-07 00:00:00	1.63853358
2000-01-08 00:00:00	2.66406577
2000-01-09 00:00:00	1.39439935
2000-01-10 00:00:00	2.00493358
2000-01-11 00:00:00	1.99506642
2000-01-12 00:00:00	2.01813293
2000-01-13 00:00:00	1.88903423
2000-01-14 00:00:00	2.48229935
2000-01-15 00:00:00	1.40426577
2000-01-16 00:00:00	1.69596707
2000-01-17 00:00:00	2.47983293
2000-01-18 00:00:00	1.8242
2000-01-19 00:00:00	2.32710065
2000-01-20 00:00:00	2.20873293
2000-01-21 00:00:00	1.39686577
2000-01-22 00:00:00	1.82173358
2000-01-23 00:00:00	1.39686577
2000-01-24 00:00:00	1.70583423
2000-01-25 00:00:00	2.11589935
2000-01-26 00:00:00	1.41500065
2000-01-27 00:00:00	1.329567292
2000-01-28 00:00:00	2.14390065
2000-01-29 00:00:00	2.09036642
2000-01-30 00:00:00	2.41993423
2000-01-31 00:00:00	2.9121
2000-02-01 00:00:00	2.23180065
2000-02-02 00:00:00	1.61300065
2000-02-03 00:00:00	2.58253293
2000-02-04 00:00:00	2.16013423
2000-02-05 00:00:00	1.94399935
2000-02-06 00:00:00	2.08543358
2000-02-07 00:00:00	2.03189935
2000-02-08 00:00:00	1.76573293
2000-02-09 00:00:00	1.60560065
2000-02-10 00:00:00	2.20379935
2000-02-11 00:00:00	2.2785
2000-02-12 00:00:00	2.10849935
2000-02-13 00:00:00	1.75689935
2000-02-14 00:00:00	2.22686707
2000-02-15 00:00:00	1.97446707
2000-02-16 00:00:00	2.22933423
2000-02-17 00:00:00	1.60806707
2000-02-18 00:00:00	2.02059935
2000-02-19 00:00:00	2.21366577
2000-02-20 00:00:00	1.30403293
2000-02-21 00:00:00	1.10849935
2000-02-22 00:00:00	2.40426577
2000-02-23 00:00:00	1.79373423
2000-02-24 00:00:00	2
2000-02-25 00:00:00	3.44053358
2000-02-26 00:00:00	1.74949935
2000-02-27 00:00:00	2.94009935
2000-02-28 00:00:00	1.92776577
2000-02-29 00:00:00	2.93269935
2000-03-01 00:00:00	2.32216707
2000-03-02 00:00:00	1.5457
2000-03-03 00:00:00	1.208732708
2000-03-04 00:00:00	2.043667292
2000-03-05 00:00:00	2.30403293
2000-03-06 00:00:00	2.12329935
2000-03-07 00:00:00	2.00246642
2000-03-08 00:00:00	2.33696707
2000-03-09 00:00:00	2.01813293
2000-03-10 00:00:00	3.67480065
2000-03-11 00:00:00	2.02799935
2000-03-12 00:00:00	2.43806642
2000-03-13 00:00:00	2.69596707
2000-03-14 00:00:00	2.11343293
2000-03-15 00:00:00	3
2000-03-16 00:00:00	2.81926642
2000-03-17 00:00:00	2.23426707
2000-03-18 00:00:00	1.79126707
2000-03-19 00:00:00	2.84726577
2000-03-20 00:00:00	1.58253293
2000-03-21 00:00:00	1.94009935
2000-03-22 00:00:00	1.61053423
2000-03-23 00:00:00	2.51030065
2000-03-24 00:00:00	2.49463293
2000-03-25 00:00:00	1.67783293
2000-03-26 00:00:00	1.30156577
2000-03-27 00:00:00	1.28096642
2000-03-28 00:00:00	1.88410065
2000-03-29 00:00:00	1.69350065
2000-03-30 00:00:00	1.206265992
2000-03-31 00:00:00	2.21366577
2000-04-01 00:00:00	2.27356642
2000-04-02 00:00:00	1.70090065
2000-04-03 00:00:00	2.07223423
2000-04-04 00:00:00	2.26863358
2000-04-05 00:00:00	2.32216707
2000-04-06 00:00:00	1.9047
2000-04-07 00:00:00	2.59573423
2000-04-08 00:00:00	2.03293293
2000-04-09 00:00:00	2.21366577
2000-04-10 00:00:00	1.66796577
2000-04-11 00:00:00	1.57513293
2000-04-12 00:00:00	1.42980065
2000-04-13 00:00:00	2.17826642
2000-04-14 00:00:00	0.8168
2000-04-15 00:00:00	2.46663358
2000-04-16 00:00:00	1.40426577
2000-04-17 00:00:00	1.329567292
2000-04-18 00:00:00	1.412534008
2000-04-19 00:00:00	2.61300065
2000-04-20 00:00:00	1.540766642
2000-04-21 00:00:00	1.125765992
2000-04-22 00:00:00	2.0074
2000-04-23 00:00:00	2.00826577
2000-04-24 00:00:00	3.41426707
2000-04-25 00:00:00	3.84219716
2000-04-26 00:00:00	4.49179716
2000-04-27 00:00:00	3.74266423
2000-04-28 00:00:00	4.01413065
2000-04-29 00:00:00	2.72026707
2000-04-30 00:00:00	4.61599846
2000-05-01 00:00:00	2.50953577
2000-05-02 00:00:00	3.97400219
2000-05-03 00:00:00	4.19953423
2000-05-04 00:00:00	4.22753358
2000-05-05 00:00:00	3.82313065
2000-05-06 00:00:00	2.37859846
2000-05-07 00:00:00	3.46360065
2000-05-08 00:00:00	4.48353065
2000-05-09 00:00:00	2.61579935
2000-05-10 00:00:00	4.25640065
2000-05-11 00:00:00	4.41693065
2000-05-12 00:00:00	5.35599716
2000-05-13 00:00:00	3.67730065
2000-05-14 00:00:00	4.91147
2000-05-15 00:00:00	4.01840219
2000-05-16 00:00:00	3.2734687
2000-05-17 00:00:00	3.68906642
2000-05-18 00:00:00	3.06453642
2000-05-19 00:00:00	3.20193512
2000-05-20 00:00:00	2.10040065
2000-05-21 00:00:00	3.81079935
2000-05-22 00:00:00	4.42926423
2000-05-23 00:00:00	5.21606577
2000-05-24 00:00:00	4.71553065
2000-05-25 00:00:00	4.22506642
2000-05-26 00:00:00	4.75680219
2000-05-27 00:00:00	3.253065992
2000-05-28 00:00:00	3.04640154
2000-05-29 00:00:00	2.44046935
2000-05-30 00:00:00	4.00940154
2000-05-31 00:00:00	2.66106707
2000-06-01 00:00:00	1.8
2000-06-02 00:00:00	1.8
2000-06-03 00:00:00	2.99753358
2000-06-04 00:00:00	3.2
2000-06-05 00:00:00	2.7
2000-06-06 00:00:00	2.60246642
2000-06-07 00:00:00	3.39753358
2000-06-08 00:00:00	2.59753358
2000-06-09 00:00:00	3.29753358
2000-06-10 00:00:00	2.80246642
2000-06-11 00:00:00	2.6
2000-06-12 00:00:00	2.20246642
2000-06-13 00:00:00	2.60246642
2000-06-14 00:00:00	4.49753358
2000-06-15 00:00:00	2.6
2000-06-16 00:00:00	2.09753358
2000-06-17 00:00:00	1.90246642
2000-06-18 00:00:00	2.79753358
2000-06-19 00:00:00	2.59753358
2000-06-20 00:00:00	2.50246642
2000-06-21 00:00:00	1.1
2000-06-22 00:00:00	1.49753358
2000-06-23 00:00:00	4
2000-06-24 00:00:00	3.9
2000-06-25 00:00:00	4.90246642
2000-06-26 00:00:00	3.20246642
2000-06-27 00:00:00	3.70246642
2000-06-28 00:00:00	3.7
2000-06-29 00:00:00	3.10246642
2000-06-30 00:00:00	2.6
2000-07-01 00:00:00	2.9
2000-07-02 00:00:00	2.29753358
2000-07-03 00:00:00	4.49753358
2000-07-04 00:00:00	3.70246642
2000-07-05 00:00:00	4.3
2000-07-06 00:00:00	3.09753358
2000-07-07 00:00:00	2.2
2000-07-08 00:00:00	4.1
2000-07-09 00:00:00	3.39753358
2000-07-10 00:00:00	2.69753358
2000-07-11 00:00:00	2.8
2000-07-12 00:00:00	4
2000-07-13 00:00:00	2.49753358
2000-07-14 00:00:00	3.49753358
2000-07-15 00:00:00	3.10246642
2000-07-16 00:00:00	1.50246642
2000-07-17 00:00:00	1.6
2000-07-18 00:00:00	1.30246642
2000-07-19 00:00:00	2.3
2000-07-20 00:00:00	1.60246642
2000-07-21 00:00:00	3.29753358
2000-07-22 00:00:00	4
2000-07-23 00:00:00	3.6
2000-07-24 00:00:00	2.19753358
2000-07-25 00:00:00	3.29753358
2000-07-26 00:00:00	3.7
2000-07-27 00:00:00	4.70246642
2000-07-28 00:00:00	3.9
2000-07-29 00:00:00	4.39753358
2000-07-30 00:00:00	4.00246642
2000-07-31 00:00:00	5.49753358
2000-08-01 00:00:00	4.4
2000-08-02 00:00:00	1.6
2000-08-03 00:00:00	2.90246642
2000-08-04 00:00:00	0.7
2000-08-05 00:00:00	4.79753358
2000-08-06 00:00:00	3.59753358
2000-08-07 00:00:00	3.8
2000-08-08 00:00:00	3.09753358
2000-08-09 00:00:00	1.99753358
2000-08-10 00:00:00	4.00246642
2000-08-11 00:00:00	3.4
2000-08-12 00:00:00	1.79753358
2000-08-13 00:00:00	3.8
2000-08-14 00:00:00	5.4
2000-08-15 00:00:00	5.9
2000-08-16 00:00:00	3.8
2000-08-17 00:00:00	3.4
2000-08-18 00:00:00	3.50246642
2000-08-19 00:00:00	2.79753358
2000-08-20 00:00:00	4.39753358
2000-08-21 00:00:00	5.59753358
2000-08-22 00:00:00	3.79753358
2000-08-23 00:00:00	3.6
2000-08-24 00:00:00	3.70246642
2000-08-25 00:00:00	3.6
2000-08-26 00:00:00	3.2
2000-08-27 00:00:00	3.60246642
2000-08-28 00:00:00	1.80246642
2000-08-29 00:00:00	2.4
2000-08-30 00:00:00	2.5
2000-08-31 00:00:00	3.99753358
2000-09-01 00:00:00	3.70246642
2000-09-02 00:00:00	1.09753358
2000-09-03 00:00:00	1.79753358
2000-09-04 00:00:00	1.29753358
2000-09-05 00:00:00	3.2
2000-09-06 00:00:00	1.70246642
2000-09-07 00:00:00	3.30246642
2000-09-08 00:00:00	2.59753358
2000-09-09 00:00:00	2.69753358
2000-09-10 00:00:00	4.20246642
2000-09-11 00:00:00	2.10246642
2000-09-12 00:00:00	2.3
2000-09-13 00:00:00	3.90246642
2000-09-14 00:00:00	5.30246642
2000-09-15 00:00:00	3.49753358
2000-09-16 00:00:00	5.39753358
2000-09-17 00:00:00	2.70246642
2000-09-18 00:00:00	4.10246642
2000-09-19 00:00:00	2.89753358
