UTC	event
2017-06-17 10:20:10	Logging started.
2017-06-17 10:20:10	Range checks in data access functions: DISABLED
2017-06-17 10:20:10	Reading configuration data
2017-06-17 10:20:10	Querying frequently used control data
2017-06-17 10:20:10	Setting number of threads
2017-06-17 10:20:10	Number of threads (if >=1 parallel objects): 1
2017-06-17 10:20:10	Instantiating object groups
2017-06-17 10:20:10	Instantiating objects
2017-06-17 10:20:10	Initializing object outputs
2017-06-17 10:20:10	Switching on debug mode for selected objects
2017-06-17 10:20:10	Setting times of state output
2017-06-17 10:20:10	Assigning simulated inputs to objects (object linkage)
2017-06-17 10:20:10	Setting object levels
2017-06-17 10:20:10	Setting up processing tree for selected objects
2017-06-17 10:20:10	Levels for (optional) parallel processing: 2
2017-06-17 10:20:10	Reading tables of individual parameter functions
2017-06-17 10:20:10	Initializing individual parameter functions
2017-06-17 10:20:10	Clearing tables of individual parameter functions
2017-06-17 10:20:10	Reading tables of individual scalar parameters
2017-06-17 10:20:10	Initializing individual scalar parameters
2017-06-17 10:20:10	Clearing tables of individual scalar parameters
2017-06-17 10:20:10	Setting shared parameter functions
2017-06-17 10:20:10	Setting shared scalar parameters
2017-06-17 10:20:10	Initializing time series of external variables
2017-06-17 10:20:10	Assigning external time series to objects
2017-06-17 10:20:10	Setting initial values of scalar state variables
2017-06-17 10:20:10	Setting initial values of vector state variables
2017-06-17 10:20:10	Initializing simulation time
2017-06-17 10:20:10	Simulation started
2017-06-17 10:20:10	01% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 10:20:10	02% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 10:20:10	05% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 10:20:10	10% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 10:20:10	20% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 10:20:10	50% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 10:20:10	Simulation finished
2017-06-17 10:20:10	Closing output files
2017-06-17 10:20:10	Final clean-up
2017-06-17 10:20:10	Finished successfully after 00h 00m 00s (0s)
