end_of_interval Met
2013-12-20 17:00:00 100.000            
2013-12-20 18:00:00  10.370            
2013-12-20 19:00:00   0.000            
2013-12-20 20:00:00   0.000            
2013-12-20 21:00:00   0.000            
2013-12-20 22:00:00   0.000            
2013-12-20 23:00:00   0.000            
2013-12-21 00:00:00   0.000            
2013-12-21 01:00:00   0.000            
2013-12-21 02:00:00   0.000            
2013-12-21 03:00:00   0.000            
2013-12-21 04:00:00   0.000            
2013-12-21 05:00:00   0.000            
2013-12-21 06:00:00   0.000            
2013-12-21 07:00:00   0.000            
2013-12-21 08:00:00   0.000            
2013-12-21 09:00:00   7.970            
2013-12-21 10:00:00  91.200            
2013-12-21 11:00:00 235.700            
2013-12-21 12:00:00 312.400            
2013-12-21 13:00:00 352.600            
2013-12-21 14:00:00 350.800            
2013-12-21 15:00:00 323.100            
2013-12-21 16:00:00 236.700            
2013-12-21 17:00:00  81.800            
2013-12-21 18:00:00   8.960            
2013-12-21 19:00:00   0.000            
2013-12-21 20:00:00   0.000            
2013-12-21 21:00:00   0.000            
2013-12-21 22:00:00   0.000            
2013-12-21 23:00:00   0.000            
2013-12-22 00:00:00   0.000            
2013-12-22 01:00:00   0.000            
2013-12-22 02:00:00   0.000            
2013-12-22 03:00:00   0.000            
2013-12-22 04:00:00   0.000            
2013-12-22 05:00:00   0.000            
2013-12-22 06:00:00   0.000            
2013-12-22 07:00:00   0.000            
2013-12-22 08:00:00   0.000            
2013-12-22 09:00:00   6.095            
2013-12-22 10:00:00  98.800            
2013-12-22 11:00:00 214.100            
2013-12-22 12:00:00 306.200            
2013-12-22 13:00:00 355.200            
2013-12-22 14:00:00 359.300            
2013-12-22 15:00:00 208.800            
2013-12-22 16:00:00 241.400            
2013-12-22 17:00:00  72.600            
2013-12-22 18:00:00   9.150            
2013-12-22 19:00:00   0.000            
2013-12-22 20:00:00   0.000            
2013-12-22 21:00:00   0.000            
2013-12-22 22:00:00   0.000            
2013-12-22 23:00:00   0.000            
2013-12-23 00:00:00   0.000            
2013-12-23 01:00:00   0.000            
2013-12-23 02:00:00   0.000            
2013-12-23 03:00:00   0.000            
2013-12-23 04:00:00   0.000            
2013-12-23 05:00:00   0.000            
2013-12-23 06:00:00   0.000            
2013-12-23 07:00:00   0.000            
2013-12-23 08:00:00   0.000            
2013-12-23 09:00:00   0.000            
2013-12-23 10:00:00  49.570            
2013-12-23 11:00:00 107.300            
2013-12-23 12:00:00 196.700            
2013-12-23 13:00:00 113.200            
2013-12-23 14:00:00  90.300            
2013-12-23 15:00:00  75.700            
2013-12-23 16:00:00  71.900            
2013-12-23 17:00:00  33.910            
2013-12-23 18:00:00   5.308            
2013-12-23 19:00:00   0.000            
2013-12-23 20:00:00   0.000            
2013-12-23 21:00:00   0.000            
2013-12-23 22:00:00   0.000            
2013-12-23 23:00:00   0.000            
2013-12-24 00:00:00   0.000            
2013-12-24 01:00:00   0.000            
2013-12-24 02:00:00   0.000            
2013-12-24 03:00:00   0.000            
2013-12-24 04:00:00   0.000            
2013-12-24 05:00:00   0.000            
2013-12-24 06:00:00   0.000            
2013-12-24 07:00:00   0.000            
2013-12-24 08:00:00   0.000            
2013-12-24 09:00:00   0.000            
2013-12-24 10:00:00   7.940            
2013-12-24 11:00:00  23.200            
2013-12-24 12:00:00  51.860            
2013-12-24 13:00:00  47.080            
2013-12-24 14:00:00  22.160            
2013-12-24 15:00:00  32.910            
2013-12-24 16:00:00  24.640            
2013-12-24 17:00:00  11.410            
2013-12-24 18:00:00   0.000            
2013-12-24 19:00:00   0.000            
2013-12-24 20:00:00   0.000            
2013-12-24 21:00:00   0.000            
2013-12-24 22:00:00   0.000            
2013-12-24 23:00:00   0.000            
2013-12-25 00:00:00   0.000            
2013-12-25 01:00:00   0.000            
2013-12-25 02:00:00   0.000            
2013-12-25 03:00:00   0.000            
2013-12-25 04:00:00   0.000            
2013-12-25 05:00:00   0.000            
2013-12-25 06:00:00   0.000            
2013-12-25 07:00:00   0.000            
2013-12-25 08:00:00   0.000            
2013-12-25 09:00:00   0.000            
2013-12-25 10:00:00  19.330            
2013-12-25 11:00:00  29.390            
2013-12-25 12:00:00 169.600            
2013-12-25 13:00:00  66.120            
2013-12-25 14:00:00 258.300            
2013-12-25 15:00:00 106.500            
2013-12-25 16:00:00 212.000            
2013-12-25 17:00:00  47.370            
2013-12-25 18:00:00  20.320            
2013-12-25 19:00:00   0.000            
2013-12-25 20:00:00   0.000            
2013-12-25 21:00:00   0.000            
2013-12-25 22:00:00   0.000            
2013-12-25 23:00:00   0.000            
2013-12-26 00:00:00   0.000            
2013-12-26 01:00:00   0.000            
2013-12-26 02:00:00   0.000            
2013-12-26 03:00:00   0.000            
2013-12-26 04:00:00   0.000            
2013-12-26 05:00:00   0.000            
2013-12-26 06:00:00   0.000            
2013-12-26 07:00:00   0.000            
2013-12-26 08:00:00   0.000            
2013-12-26 09:00:00   0.000            
2013-12-26 10:00:00  56.460            
2013-12-26 11:00:00 208.800            
2013-12-26 12:00:00 226.300            
2013-12-26 13:00:00 228.700            
2013-12-26 14:00:00 230.000            
2013-12-26 15:00:00 142.200            
2013-12-26 16:00:00  76.800            
2013-12-26 17:00:00  58.830            
2013-12-26 18:00:00  10.640            
2013-12-26 19:00:00   0.000            
2013-12-26 20:00:00   0.000            
2013-12-26 21:00:00   0.000            
2013-12-26 22:00:00   0.000            
2013-12-26 23:00:00   0.000            
2013-12-27 00:00:00   0.000            
2013-12-27 01:00:00   0.000            
2013-12-27 02:00:00   0.000            
2013-12-27 03:00:00   0.000            
2013-12-27 04:00:00   0.000            
2013-12-27 05:00:00   0.000            
2013-12-27 06:00:00   0.000            
2013-12-27 07:00:00   0.000            
2013-12-27 08:00:00   0.000            
2013-12-27 09:00:00   0.000            
2013-12-27 10:00:00  30.230            
2013-12-27 11:00:00 192.400            
2013-12-27 12:00:00  63.640            
2013-12-27 13:00:00 247.300            
2013-12-27 14:00:00  99.100            
2013-12-27 15:00:00  73.800            
2013-12-27 16:00:00 159.900            
2013-12-27 17:00:00  38.810            
2013-12-27 18:00:00  14.600            
2013-12-27 19:00:00   0.000            
2013-12-27 20:00:00   0.000            
2013-12-27 21:00:00   0.000            
2013-12-27 22:00:00   0.000            
2013-12-27 23:00:00   0.000            
2013-12-28 00:00:00   0.000            
2013-12-28 01:00:00   0.000            
2013-12-28 02:00:00   0.000            
2013-12-28 03:00:00   0.000            
2013-12-28 04:00:00   0.000            
2013-12-28 05:00:00   0.000            
2013-12-28 06:00:00   0.000            
2013-12-28 07:00:00   0.000            
2013-12-28 08:00:00   0.000            
2013-12-28 09:00:00   0.000            
2013-12-28 10:00:00 101.100            
2013-12-28 11:00:00 221.400            
2013-12-28 12:00:00 312.100            
2013-12-28 13:00:00 328.900            
2013-12-28 14:00:00 119.700            
2013-12-28 15:00:00 315.700            
2013-12-28 16:00:00 227.500            
2013-12-28 17:00:00  88.400            
2013-12-28 18:00:00  10.920            
2013-12-28 19:00:00   0.000            
2013-12-28 20:00:00   0.000            
2013-12-28 21:00:00   0.000            
2013-12-28 22:00:00   0.000            
2013-12-28 23:00:00   0.000            
2013-12-29 00:00:00   0.000            
2013-12-29 01:00:00   0.000            
2013-12-29 02:00:00   0.000            
2013-12-29 03:00:00   0.000            
2013-12-29 04:00:00   0.000            
2013-12-29 05:00:00   0.000            
2013-12-29 06:00:00   0.000            
2013-12-29 07:00:00   0.000            
2013-12-29 08:00:00   0.000            
2013-12-29 09:00:00   0.000            
2013-12-29 10:00:00  90.400            
2013-12-29 11:00:00 223.100            
2013-12-29 12:00:00 304.800            
2013-12-29 13:00:00 353.200            
2013-12-29 14:00:00 348.700            
2013-12-29 15:00:00 209.100            
2013-12-29 16:00:00 162.100            
2013-12-29 17:00:00  87.100            
2013-12-29 18:00:00   8.780            
2013-12-29 19:00:00   0.000            
2013-12-29 20:00:00   0.000            
2013-12-29 21:00:00   0.000            
2013-12-29 22:00:00   0.000            
2013-12-29 23:00:00   0.000            
2013-12-30 00:00:00   0.000            
2013-12-30 01:00:00   0.000            
2013-12-30 02:00:00   0.000            
2013-12-30 03:00:00   0.000            
2013-12-30 04:00:00   0.000            
2013-12-30 05:00:00   0.000            
2013-12-30 06:00:00   0.000            
2013-12-30 07:00:00   0.000            
2013-12-30 08:00:00   0.000            
