end_of_interval	out
2000-01-01 00:00:00	7.4609
2000-01-02 00:00:00	9.2349
2000-01-03 00:00:00	7.5182
2000-01-04 00:00:00	1.2945
2000-01-05 00:00:00	6.2366
2000-01-06 00:00:00	4.7124
2000-01-07 00:00:00	5.3485
2000-01-08 00:00:00	2.8942
2000-01-09 00:00:00	2.7717
2000-01-10 00:00:00	7.1551
2000-01-11 00:00:00	10.0812
2000-01-12 00:00:00	9.2421
2000-01-13 00:00:00	2.2185
2000-01-14 00:00:00	1.8521
2000-01-15 00:00:00	1.462
2000-01-16 00:00:00	7.7553
2000-01-17 00:00:00	6.2877
2000-01-18 00:00:00	6.1048
2000-01-19 00:00:00	6.5587
2000-01-20 00:00:00	7.9738
2000-01-21 00:00:00	5.28
2000-01-22 00:00:00	7.6014
2000-01-23 00:00:00	1.3822
2000-01-24 00:00:00	3.3392
2000-01-25 00:00:00	9.3586
2000-01-26 00:00:00	9.389
2000-01-27 00:00:00	7.4352
2000-01-28 00:00:00	7.2209
2000-01-29 00:00:00	9.4424
2000-01-30 00:00:00	9.7558
2000-01-31 00:00:00	9.0015
2000-02-01 00:00:00	9.4586
2000-02-02 00:00:00	8.3756
2000-02-03 00:00:00	7.1151
2000-02-04 00:00:00	0.6814
2000-02-05 00:00:00	5.9396
2000-02-06 00:00:00	5.2887
2000-02-07 00:00:00	7.0097
2000-02-08 00:00:00	5.1472
2000-02-09 00:00:00	3.5355
2000-02-10 00:00:00	6.567
2000-02-11 00:00:00	8.1896
2000-02-12 00:00:00	9.236
2000-02-13 00:00:00	5.4832
2000-02-14 00:00:00	4.4518
2000-02-15 00:00:00	4.5396
2000-02-16 00:00:00	4.7706
2000-02-17 00:00:00	2.634
2000-02-18 00:00:00	5.7377
2000-02-19 00:00:00	5.9934
2000-02-20 00:00:00	8.0261
2000-02-21 00:00:00	8.1943
2000-02-22 00:00:00	7.2509
2000-02-23 00:00:00	7.2252
2000-02-24 00:00:00	3.1998
2000-02-25 00:00:00	6.9659
2000-02-26 00:00:00	8.8089
2000-02-27 00:00:00	7.8301
2000-02-28 00:00:00	2.4666
2000-02-29 00:00:00	4.9759
2000-03-01 00:00:00	3.4773
2000-03-02 00:00:00	4.6714
2000-03-03 00:00:00	3.3028
2000-03-04 00:00:00	6.8887
2000-03-05 00:00:00	3.798
2000-03-06 00:00:00	2.9509
2000-03-07 00:00:00	7.2946
