end_of_interval	out
2000-01-01 00:00:00	20.9945
2000-01-02 00:00:00	20.0108
2000-01-03 00:00:00	20.1441
2000-01-04 00:00:00	21.0082
2000-01-05 00:00:00	19.6308
2000-01-06 00:00:00	20.9829
2000-01-07 00:00:00	21.1345
2000-01-08 00:00:00	21.1551
2000-01-09 00:00:00	20.5278
2000-01-10 00:00:00	20.3115
2000-01-11 00:00:00	19.8318
2000-01-12 00:00:00	19.9035
2000-01-13 00:00:00	20.6786
2000-01-14 00:00:00	21.6677
2000-01-15 00:00:00	20.4223
2000-01-16 00:00:00	19.5938
2000-01-17 00:00:00	20.1426
2000-01-18 00:00:00	21.7103
2000-01-19 00:00:00	20.6197
2000-01-20 00:00:00	20.2143
2000-01-21 00:00:00	21.5063
2000-01-22 00:00:00	20.3176
2000-01-23 00:00:00	22.316
2000-01-24 00:00:00	21.7597
2000-01-25 00:00:00	20.7457
2000-01-26 00:00:00	20.1356
2000-01-27 00:00:00	21.2727
2000-01-28 00:00:00	20.6349
2000-01-29 00:00:00	21.9998
2000-01-30 00:00:00	21.7306
2000-01-31 00:00:00	20.5723
2000-02-01 00:00:00	21.0335
2000-02-02 00:00:00	21.167
2000-02-03 00:00:00	21.4388
2000-02-04 00:00:00	21.3897
2000-02-05 00:00:00	20.9071
2000-02-06 00:00:00	20.9741
2000-02-07 00:00:00	21.3992
2000-02-08 00:00:00	20.8436
2000-02-09 00:00:00	19.8086
2000-02-10 00:00:00	20.9117
2000-02-11 00:00:00	20.4136
2000-02-12 00:00:00	21.0244
2000-02-13 00:00:00	20.1035
2000-02-14 00:00:00	19.1692
2000-02-15 00:00:00	19.6584
2000-02-16 00:00:00	20.6616
2000-02-17 00:00:00	20.1992
2000-02-18 00:00:00	20.1753
2000-02-19 00:00:00	19.7024
2000-02-20 00:00:00	19.4416
2000-02-21 00:00:00	20.029
2000-02-22 00:00:00	20.6482
2000-02-23 00:00:00	20.5395
2000-02-24 00:00:00	21.3847
2000-02-25 00:00:00	20.4583
2000-02-26 00:00:00	19.6638
2000-02-27 00:00:00	20.18
2000-02-28 00:00:00	20.9601
2000-02-29 00:00:00	19.7075
2000-03-01 00:00:00	21.0775
2000-03-02 00:00:00	19.409
2000-03-03 00:00:00	18.7509
2000-03-04 00:00:00	19.7563
2000-03-05 00:00:00	20.1498
2000-03-06 00:00:00	20.2981
2000-03-07 00:00:00	20.0154
2000-03-08 00:00:00	20.3655
2000-03-09 00:00:00	20.6345
2000-03-10 00:00:00	21.2035
