end_of_interval	Met
2013-12-20 18:00:00	  0.000            
2013-12-21 18:00:00	  0.000            
2013-12-22 18:00:00	  0.000            
2013-12-23 18:00:00	  0.000            
2013-12-24 18:00:00	  0.000            
2013-12-25 18:00:00	  0.000            
2013-12-26 18:00:00	  0.000            
2013-12-27 18:00:00	  0.000            
2013-12-28 18:00:00	  0.000            
2013-12-29 18:00:00	  0.000            
2013-12-30 18:00:00	  0.000            
2013-12-31 18:00:00	  0.000            
2014-01-01 18:00:00	  0.000            
2014-01-02 18:00:00	  0.000            
2014-01-03 18:00:00	  0.000            
2014-01-04 18:00:00	  0.000            
2014-01-05 18:00:00	  0.000            
2014-01-06 18:00:00	  0.000            
2014-01-07 18:00:00	  0.000            
2014-01-08 18:00:00	  0.000            
2014-01-09 18:00:00	  4.704            
2014-01-10 18:00:00	  5.178            
2014-01-11 18:00:00	  0.000            
2014-01-12 18:00:00	  0.000            
2014-01-13 18:00:00	  5.790            
2014-01-14 18:00:00	  7.220            
2014-01-15 18:00:00	  0.000            
2014-01-16 18:00:00	 20.380            
2014-01-17 18:00:00	 24.540            
2014-01-18 18:00:00	  4.138            
2014-01-19 18:00:00	  4.985            
2014-01-20 18:00:00	  4.879            
2014-01-21 18:00:00	  0.000            
2014-01-22 18:00:00	  9.480            
2014-01-23 18:00:00	  7.640            
2014-01-24 18:00:00	 10.030            
2014-01-25 18:00:00	  9.610            
2014-01-26 18:00:00	  3.714            
2014-01-27 18:00:00	 11.070            
2014-01-28 18:00:00	 18.970            
2014-01-29 18:00:00	 13.010            
2014-01-30 18:00:00	 23.670            
2014-01-31 18:00:00	  5.688            
2014-02-01 18:00:00	 24.790            
2014-02-02 18:00:00	 17.760            
2014-02-03 18:00:00	 23.660            
2014-02-04 18:00:00	  4.237            
2014-02-05 18:00:00	 25.440            
2014-02-06 18:00:00	 33.790            
2014-02-07 18:00:00	 25.260            
2014-02-08 18:00:00	 29.310            
2014-02-09 18:00:00	 11.700            
2014-02-10 18:00:00	 23.300            
2014-02-11 18:00:00	 23.380            
2014-02-12 18:00:00	 37.790            
2014-02-13 18:00:00	 22.680            
2014-02-14 18:00:00	 12.390            
2014-02-15 18:00:00	 32.930            
2014-02-16 18:00:00	 39.730            
2014-02-17 18:00:00	 13.430            
2014-02-18 18:00:00	 58.510            
2014-02-19 18:00:00	 56.970            
2014-02-20 18:00:00	 37.860            
2014-02-21 18:00:00	 56.520            
2014-02-22 18:00:00	 50.070            
2014-02-23 18:00:00	 43.050            
2014-02-24 18:00:00	 42.090            
2014-02-25 18:00:00	 49.670            
2014-02-26 18:00:00	 58.590            
2014-02-27 18:00:00	 35.890            
2014-02-28 18:00:00	 69.780            
2014-03-01 18:00:00	 15.500            
2014-03-02 18:00:00	 28.080            
2014-03-03 18:00:00	 64.740            
2014-03-04 18:00:00	 50.270            
2014-03-05 18:00:00	 70.500            
2014-03-06 18:00:00	 68.070            
2014-03-07 18:00:00	 72.600            
2014-03-08 18:00:00	 77.300            
2014-03-09 18:00:00	105.700            
2014-03-10 18:00:00	 84.400            
2014-03-11 18:00:00	 86.100            
2014-03-12 18:00:00	 84.500            
2014-03-13 18:00:00	102.500            
2014-03-14 18:00:00	 91.700            
2014-03-15 18:00:00	 94.900            
2014-03-16 18:00:00	 98.800            
2014-03-17 18:00:00	 72.600            
2014-03-18 18:00:00	  0.000            
2014-03-19 18:00:00	  0.000            
2014-03-20 18:00:00	118.500            
2014-03-21 18:00:00	 57.600            
2014-03-22 18:00:00	 89.000            
2014-03-23 18:00:00	168.400            
2014-03-24 18:00:00	127.200            
2014-03-25 18:00:00	111.200            
2014-03-26 18:00:00	150.200            
2014-03-27 18:00:00	 25.520            
2014-03-28 18:00:00	190.400            
2014-03-29 18:00:00	 56.050            
2014-03-30 18:00:00	 28.810            
2014-03-31 18:00:00	 35.970            
2014-04-01 18:00:00	 68.480            
2014-04-02 18:00:00	128.300            
2014-04-03 18:00:00	173.200            
2014-04-04 18:00:00	 43.830            
2014-04-05 18:00:00	127.300            
2014-04-06 18:00:00	155.600            
2014-04-07 18:00:00	160.300            
2014-04-08 18:00:00	155.900            
2014-04-09 18:00:00	 69.610            
2014-04-10 18:00:00	170.800            
2014-04-11 18:00:00	154.500            
2014-04-12 18:00:00	157.300            
2014-04-13 18:00:00	162.800            
2014-04-14 18:00:00	105.500            
2014-04-15 18:00:00	115.500            
2014-04-16 18:00:00	115.700            
2014-04-17 18:00:00	171.400            
2014-04-18 18:00:00	100.300            
2014-04-19 18:00:00	208.400            
2014-04-20 18:00:00	 13.740            
2014-04-21 18:00:00	207.700            
2014-04-22 18:00:00	118.200            
2014-04-23 18:00:00	110.100            
2014-04-24 18:00:00	210.200            
2014-04-25 18:00:00	128.100            
2014-04-26 18:00:00	144.300            
2014-04-27 18:00:00	213.400            
2014-04-28 18:00:00	213.100            
2014-04-29 18:00:00	209.800            
2014-04-30 18:00:00	175.400            
2014-05-01 18:00:00	218.700            
2014-05-02 18:00:00	219.700            
2014-05-03 18:00:00	226.400            
2014-05-04 18:00:00	220.300            
2014-05-05 18:00:00	226.200            
2014-05-06 18:00:00	232.000            
2014-05-07 18:00:00	226.900            
2014-05-08 18:00:00	221.200            
2014-05-09 18:00:00	225.200            
2014-05-10 18:00:00	205.600            
2014-05-11 18:00:00	244.000            
2014-05-12 18:00:00	245.800            
2014-05-13 18:00:00	247.500            
2014-05-14 18:00:00	231.600            
2014-05-15 18:00:00	230.800            
2014-05-16 18:00:00	 95.700            
2014-05-17 18:00:00	238.900            
2014-05-18 18:00:00	258.200            
2014-05-19 18:00:00	170.500            
2014-05-20 18:00:00	 62.500            
2014-05-21 18:00:00	 84.300            
2014-05-22 18:00:00	271.900            
2014-05-23 18:00:00	224.800            
2014-05-24 18:00:00	270.000            
2014-05-25 18:00:00	307.200            
2014-05-26 18:00:00	146.900            
2014-05-27 18:00:00	 97.500            
2014-05-28 18:00:00	306.100            
2014-05-29 18:00:00	158.400            
2014-05-30 18:00:00	282.800            
2014-05-31 18:00:00	283.300            
2014-06-01 18:00:00	278.500            
2014-06-02 18:00:00	304.700            
2014-06-03 18:00:00	283.900            
2014-06-04 18:00:00	285.900            
2014-06-05 18:00:00	274.300            
2014-06-06 18:00:00	 33.280            
2014-06-07 18:00:00	311.300            
2014-06-08 18:00:00	279.700            
2014-06-09 18:00:00	274.400            
2014-06-10 18:00:00	216.500            
2014-06-11 18:00:00	289.100            
2014-06-12 18:00:00	195.200            
2014-06-13 18:00:00	277.400            
2014-06-14 18:00:00	289.400            
2014-06-15 18:00:00	294.900            
2014-06-16 18:00:00	295.400            
2014-06-17 18:00:00	284.500            
2014-06-18 18:00:00	183.000            
2014-06-19 18:00:00	276.600            
2014-06-20 18:00:00	303.900            
2014-06-21 18:00:00	283.300            
2014-06-22 18:00:00	170.300            
2014-06-23 18:00:00	 92.100            
2014-06-24 18:00:00	218.700            
2014-06-25 18:00:00	241.200            
2014-06-26 18:00:00	305.000            
2014-06-27 18:00:00	302.700            
2014-06-28 18:00:00	281.000            
2014-06-29 18:00:00	297.600            
2014-06-30 18:00:00	304.000            
2014-07-01 18:00:00	301.300            
2014-07-02 18:00:00	332.800            
2014-07-03 18:00:00	296.500            
2014-07-04 18:00:00	296.000            
2014-07-05 18:00:00	305.900            
2014-07-06 18:00:00	146.900            
2014-07-07 18:00:00	303.900            
2014-07-08 18:00:00	310.500            
2014-07-09 18:00:00	301.700            
2014-07-10 18:00:00	303.400            
2014-07-11 18:00:00	307.200            
2014-07-12 18:00:00	306.600            
2014-07-13 18:00:00	301.600            
2014-07-14 18:00:00	297.300            
2014-07-15 18:00:00	298.200            
2014-07-16 18:00:00	294.700            
2014-07-17 18:00:00	284.800            
2014-07-18 18:00:00	225.400            
2014-07-19 18:00:00	164.700            
2014-07-20 18:00:00	248.500            
2014-07-21 18:00:00	285.000            
2014-07-22 18:00:00	289.800            
2014-07-23 18:00:00	284.400            
2014-07-24 18:00:00	268.200            
2014-07-25 18:00:00	263.000            
2014-07-26 18:00:00	256.600            
2014-07-27 18:00:00	261.900            
2014-07-28 18:00:00	211.200            
2014-07-29 18:00:00	258.800            
2014-07-30 18:00:00	261.200            
2014-07-31 18:00:00	256.400            
2014-08-01 18:00:00	230.700            
2014-08-02 18:00:00	133.000            
2014-08-03 18:00:00	258.300            
2014-08-04 18:00:00	258.200            
