end_of_interval	HS
2014-04-07 18:00:00	  0.90000000       
2014-04-08 18:00:00	  0.60000000       
2014-04-09 18:00:00	  1.81666667       
2014-04-10 18:00:00	  1.56666667       
2014-04-11 18:00:00	 -0.40000000       
2014-04-12 18:00:00	  2.00000000       
2014-04-13 18:00:00	  1.06666667       
2014-04-14 18:00:00	  1.98333333       
2014-04-15 18:00:00	  1.45000000       
2014-04-16 18:00:00	  0.00000000       
2014-04-17 18:00:00	  0.00000000       
2014-04-18 18:00:00	  1.28333333       
2014-04-19 18:00:00	 -1.60000000       
2014-04-20 18:00:00	-13.25000000       
2014-04-21 18:00:00	  0.48333333       
2014-04-22 18:00:00	  5.61666667       
2014-04-23 18:00:00	 -3.51666667       
2014-04-24 18:00:00	  0.00000000       
2014-04-25 18:00:00	  0.00000000       
2014-04-26 18:00:00	  0.00000000       
2014-04-27 18:00:00	  0.00000000       
2014-04-28 18:00:00	  0.00000000       
2014-04-29 18:00:00	  6.61666667       
2014-04-30 18:00:00	  8.90000000       
2014-05-01 18:00:00	  6.63333333       
2014-05-02 18:00:00	  6.48333333       
2014-05-03 18:00:00	  7.43333333       
2014-05-04 18:00:00	  0.00000000       
2014-05-05 18:00:00	  0.00000000       
2014-05-06 18:00:00	  0.00000000       
2014-05-07 18:00:00	  0.00000000       
2014-05-08 18:00:00	  0.00000000       
2014-05-09 18:00:00	 10.26666667       
2014-05-10 18:00:00	  0.00000000       
2014-05-11 18:00:00	  0.00000000       
2014-05-12 18:00:00	  0.00000000       
2014-05-13 18:00:00	  0.00000000       
2014-05-14 18:00:00	 15.16666667       
2014-05-15 18:00:00	  5.20000000       
2014-05-16 18:00:00	 15.76666667       
2014-05-17 18:00:00	 13.08333333       
2014-05-18 18:00:00	  6.40000000       
2014-05-19 18:00:00	  2.38333333       
2014-05-20 18:00:00	-19.00000000       
2014-05-21 18:00:00	  0.00000000       
2014-05-22 18:00:00	 -2.08333333       
2014-05-23 18:00:00	 11.63333333       
2014-05-24 18:00:00	  7.36666667       
2014-05-25 18:00:00	 13.48333333       
2014-05-26 18:00:00	  0.00000000       
2014-05-27 18:00:00	  0.00000000       
2014-05-28 18:00:00	  0.00000000       
2014-05-29 18:00:00	  0.00000000       
2014-05-30 18:00:00	  0.00000000       
2014-05-31 18:00:00	  0.00000000       
2014-06-01 18:00:00	  0.00000000       
2014-06-02 18:00:00	  0.00000000       
2014-06-03 18:00:00	  1.28333333       
2014-06-04 18:00:00	  0.08333333       
2014-06-05 18:00:00	  6.05000000       
2014-06-06 18:00:00	-17.55000000       
2014-06-07 18:00:00	  9.00000000       
2014-06-08 18:00:00	 15.41666667       
2014-06-09 18:00:00	 25.21666667       
2014-06-10 18:00:00	  0.00000000       
2014-06-11 18:00:00	  0.00000000       
2014-06-12 18:00:00	 26.98333333       
2014-06-13 18:00:00	 25.91666667       
2014-06-14 18:00:00	  0.00000000       
2014-06-15 18:00:00	  0.00000000       
2014-06-16 18:00:00	  0.00000000       
2014-06-17 18:00:00	  7.15000000       
2014-06-18 18:00:00	 10.86666667       
2014-06-19 18:00:00	 11.90000000       
2014-06-20 18:00:00	 11.53333333       
2014-06-21 18:00:00	  0.00000000       
2014-06-22 18:00:00	  0.00000000       
2014-06-23 18:00:00	  0.00000000       
2014-06-24 18:00:00	 29.10000000       
2014-06-25 18:00:00	  0.00000000       
2014-06-26 18:00:00	 17.46666667       
2014-06-27 18:00:00	 11.78333333       
2014-06-28 18:00:00	  9.60000000       
2014-06-29 18:00:00	  7.83333333       
2014-06-30 18:00:00	  5.31666667       
2014-07-01 18:00:00	  0.00000000       
2014-07-02 18:00:00	  0.00000000       
2014-07-03 18:00:00	  0.00000000       
2014-07-04 18:00:00	  0.00000000       
2014-07-05 18:00:00	  0.00000000       
2014-07-06 18:00:00	  0.00000000       
2014-07-07 18:00:00	  0.00000000       
2014-07-08 18:00:00	  0.00000000       
2014-07-09 18:00:00	  0.00000000       
2014-07-10 18:00:00	  0.00000000       
2014-07-11 18:00:00	  0.00000000       
2014-07-12 18:00:00	  0.00000000       
2014-07-13 18:00:00	  0.00000000       
2014-07-14 18:00:00	  0.00000000       
2014-07-15 18:00:00	 10.05000000       
2014-07-16 18:00:00	 19.96666667       
2014-07-17 18:00:00	  3.40000000       
2014-07-18 18:00:00	 15.93333333       
2014-07-19 18:00:00	  6.86666667       
2014-07-20 18:00:00	  5.70000000       
2014-07-21 18:00:00	  0.93333333       
2014-07-22 18:00:00	 -1.81666667       
2014-07-23 18:00:00	 -9.20000000       
2014-07-24 18:00:00	 -2.91666667       
2014-07-25 18:00:00	  2.16666667       
2014-07-26 18:00:00	  6.50000000       
2014-07-27 18:00:00	  9.68333333       
2014-07-28 18:00:00	  3.75000000       
2014-07-29 18:00:00	  7.35000000       
2014-07-30 18:00:00	  4.81666667       
2014-07-31 18:00:00	 -5.68333333       
2014-08-01 18:00:00	-14.95000000       
2014-08-02 18:00:00	-11.38333333       
2014-08-03 18:00:00	  9.15000000       
2014-08-04 18:00:00	 -4.05000000       
