end_of_interval	Met
2013-12-20 18:00:00	 62.03000          
2013-12-21 18:00:00	 71.60000          
2013-12-22 18:00:00	 66.30000          
2013-12-23 18:00:00	 97.50000          
2013-12-24 18:00:00	 97.30000          
2013-12-25 18:00:00	 77.30000          
2013-12-26 18:00:00	 87.80000          
2013-12-27 18:00:00	 98.10000          
2013-12-28 18:00:00	 71.40000          
2013-12-29 18:00:00	 65.62000          
2013-12-30 18:00:00	 74.40000          
2013-12-31 18:00:00	 99.60000          
2014-01-01 18:00:00	 97.60000          
2014-01-02 18:00:00	 97.90000          
2014-01-03 18:00:00	100.00000          
2014-01-04 18:00:00	 76.40000          
2014-01-05 18:00:00	 87.60000          
2014-01-06 18:00:00	 97.90000          
2014-01-07 18:00:00	100.00000          
2014-01-08 18:00:00	 79.70000          
2014-01-09 18:00:00	 65.69000          
2014-01-10 18:00:00	 75.80000          
2014-01-11 18:00:00	 83.00000          
2014-01-12 18:00:00	 97.30000          
2014-01-13 18:00:00	 75.80000          
2014-01-14 18:00:00	 95.50000          
2014-01-15 18:00:00	 99.00000          
2014-01-16 18:00:00	 79.00000          
2014-01-17 18:00:00	 97.40000          
2014-01-18 18:00:00	 89.40000          
2014-01-19 18:00:00	 74.30000          
2014-01-20 18:00:00	 75.60000          
2014-01-21 18:00:00	 99.50000          
2014-01-22 18:00:00	 67.86000          
2014-01-23 18:00:00	 71.10000          
2014-01-24 18:00:00	 77.10000          
2014-01-25 18:00:00	 79.80000          
2014-01-26 18:00:00	 92.20000          
2014-01-27 18:00:00	 80.90000          
2014-01-28 18:00:00	 87.40000          
2014-01-29 18:00:00	 74.30000          
2014-01-30 18:00:00	 75.30000          
2014-01-31 18:00:00	 93.60000          
2014-02-01 18:00:00	 67.51000          
2014-02-02 18:00:00	 70.30000          
2014-02-03 18:00:00	 69.70000          
2014-02-04 18:00:00	 96.10000          
2014-02-05 18:00:00	 80.60000          
2014-02-06 18:00:00	 91.20000          
2014-02-07 18:00:00	 75.60000          
2014-02-08 18:00:00	 78.30000          
2014-02-09 18:00:00	 90.60000          
2014-02-10 18:00:00	 67.14000          
2014-02-11 18:00:00	 99.20000          
2014-02-12 18:00:00	100.00000          
2014-02-13 18:00:00	 86.60000          
2014-02-14 18:00:00	 98.00000          
2014-02-15 18:00:00	 69.62000          
2014-02-16 18:00:00	 55.74000          
2014-02-17 18:00:00	 90.50000          
2014-02-18 18:00:00	 67.54000          
2014-02-19 18:00:00	 74.00000          
2014-02-20 18:00:00	 96.30000          
2014-02-21 18:00:00	 61.31000          
2014-02-22 18:00:00	 85.50000          
2014-02-23 18:00:00	 66.33000          
2014-02-24 18:00:00	 67.35000          
2014-02-25 18:00:00	 66.04000          
2014-02-26 18:00:00	 60.93000          
2014-02-27 18:00:00	 96.90000          
2014-02-28 18:00:00	 75.60000          
2014-03-01 18:00:00	 99.60000          
2014-03-02 18:00:00	 99.00000          
2014-03-03 18:00:00	 65.06000          
2014-03-04 18:00:00	 79.10000          
2014-03-05 18:00:00	 70.20000          
2014-03-06 18:00:00	 42.00000          
2014-03-07 18:00:00	 47.09000          
2014-03-08 18:00:00	 42.65000          
2014-03-09 18:00:00	 55.59000          
2014-03-10 18:00:00	 32.84000          
2014-03-11 18:00:00	 28.31000          
