end_of_interval	HS
2014-04-07 18:00:00	  9.3993432        
2014-04-08 18:00:00	 13.2801077        
2014-04-09 18:00:00	  5.9724308        
2014-04-10 18:00:00	  8.3403549        
2014-04-11 18:00:00	  8.9454911        
2014-04-12 18:00:00	  9.2085937        
2014-04-13 18:00:00	 12.1027232        
2014-04-14 18:00:00	  6.3144643        
2014-04-15 18:00:00	  8.8139397        
2014-04-16 18:00:00	  0.8716037        
2014-04-17 18:00:00	  0.8716037        
2014-04-18 18:00:00	  3.2887835        
2014-04-19 18:00:00	  3.5518862        
2014-04-20 18:00:00	 -4.9989509        
2014-04-21 18:00:00	  3.2887835        
2014-04-22 18:00:00	  1.8417187        
2014-04-23 18:00:00	  4.8673995        
2014-04-24 18:00:00	  0.8716037        
2014-04-25 18:00:00	  0.8716037        
2014-04-26 18:00:00	  0.8716037        
2014-04-27 18:00:00	  0.8716037        
2014-04-28 18:00:00	  0.8716037        
2014-04-29 18:00:00	 11.8396205        
2014-04-30 18:00:00	 11.8396205        
2014-05-01 18:00:00	 12.3658259        
2014-05-02 18:00:00	 14.8653013        
2014-05-03 18:00:00	 13.1551339        
2014-05-04 18:00:00	  0.8716037        
2014-05-05 18:00:00	  0.8716037        
2014-05-06 18:00:00	  0.8716037        
2014-05-07 18:00:00	  0.8716037        
2014-05-08 18:00:00	  0.8716037        
2014-05-09 18:00:00	 12.7604799        
2014-05-10 18:00:00	  0.8716037        
2014-05-11 18:00:00	  0.8716037        
2014-05-12 18:00:00	  0.8716037        
2014-05-13 18:00:00	  0.8716037        
2014-05-14 18:00:00	 17.1016741        
2014-05-15 18:00:00	 13.8128906        
2014-05-16 18:00:00	  3.5518862        
2014-05-17 18:00:00	  7.8930803        
2014-05-18 18:00:00	  9.9979018        
2014-05-19 18:00:00	 -8.2877344        
2014-05-20 18:00:00	-10.6556585        
2014-05-21 18:00:00	  0.8716037        
2014-05-22 18:00:00	 -1.8417187        
2014-05-23 18:00:00	  1.3155134        
2014-05-24 18:00:00	  5.3936049        
2014-05-25 18:00:00	  1.9732701        
2014-05-26 18:00:00	  0.8716037        
2014-05-27 18:00:00	  0.8716037        
2014-05-28 18:00:00	  0.8716037        
2014-05-29 18:00:00	  0.8716037        
2014-05-30 18:00:00	  0.8716037        
2014-05-31 18:00:00	  0.8716037        
2014-06-01 18:00:00	  0.8716037        
2014-06-02 18:00:00	  0.8716037        
2014-06-03 18:00:00	 11.5765178        
2014-06-04 18:00:00	 10.5241071        
2014-06-05 18:00:00	 12.6289286        
2014-06-06 18:00:00	 -9.9979018        
2014-06-07 18:00:00	  6.9722210        
2014-06-08 18:00:00	  6.0513616        
2014-06-09 18:00:00	  7.8930803        
2014-06-10 18:00:00	  0.8716037        
2014-06-11 18:00:00	  0.8716037        
2014-06-12 18:00:00	 20.2589062        
2014-06-13 18:00:00	 20.2589062        
2014-06-14 18:00:00	  0.8716037        
2014-06-15 18:00:00	  0.8716037        
2014-06-16 18:00:00	  0.8716037        
2014-06-17 18:00:00	 16.0492634        
2014-06-18 18:00:00	  4.0780915        
2014-06-19 18:00:00	 13.6813393        
2014-06-20 18:00:00	 10.1294531        
2014-06-21 18:00:00	  0.8716037        
2014-06-22 18:00:00	  0.8716037        
2014-06-23 18:00:00	  0.8716037        
2014-06-24 18:00:00	 -1.4207545        
2014-06-25 18:00:00	  0.8716037        
2014-06-26 18:00:00	 11.4449665        
2014-06-27 18:00:00	 12.2342745        
2014-06-28 18:00:00	  5.1305022        
2014-06-29 18:00:00	 11.5765178        
2014-06-30 18:00:00	 11.9711719        
2014-07-01 18:00:00	  0.8716037        
2014-07-02 18:00:00	  0.8716037        
2014-07-03 18:00:00	  0.8716037        
2014-07-04 18:00:00	  0.8716037        
2014-07-05 18:00:00	  0.8716037        
2014-07-06 18:00:00	  0.8716037        
2014-07-07 18:00:00	  0.8716037        
2014-07-08 18:00:00	  0.8716037        
2014-07-09 18:00:00	  0.8716037        
2014-07-10 18:00:00	  0.8716037        
2014-07-11 18:00:00	  0.8716037        
2014-07-12 18:00:00	  0.8716037        
2014-07-13 18:00:00	  0.8716037        
2014-07-14 18:00:00	  0.8716037        
2014-07-15 18:00:00	 19.8642522        
2014-07-16 18:00:00	 19.3380468        
2014-07-17 18:00:00	 16.8385714        
2014-07-18 18:00:00	  7.1037723        
2014-07-19 18:00:00	  4.6042969        
2014-07-20 18:00:00	 12.2342745        
2014-07-21 18:00:00	 20.6535602        
2014-07-22 18:00:00	 19.9958035        
2014-07-23 18:00:00	 15.2599553        
2014-07-24 18:00:00	 13.8128906        
2014-07-25 18:00:00	 13.4182366        
2014-07-26 18:00:00	 19.2064955        
2014-07-27 18:00:00	 17.4963281        
2014-07-28 18:00:00	 16.5754687        
2014-07-29 18:00:00	 22.1006250        
2014-07-30 18:00:00	 19.8642522        
2014-07-31 18:00:00	 13.4182366        
2014-08-01 18:00:00	 12.8920312        
2014-08-02 18:00:00	  2.7625781        
2014-08-03 18:00:00	  4.4727455        
2014-08-04 18:00:00	 14.7337500        
