end_of_interval	HS
2014-04-07 18:00:00	17.96667           
2014-04-08 18:00:00	21.11667           
2014-04-09 18:00:00	20.61667           
2014-04-10 18:00:00	18.35000           
2014-04-11 18:00:00	15.83333           
2014-04-12 18:00:00	17.20000           
2014-04-13 18:00:00	20.23333           
2014-04-14 18:00:00	19.68333           
2014-04-15 18:00:00	17.48333           
2014-04-16 18:00:00	14.06000           
2014-04-17 18:00:00	14.06000           
2014-04-18 18:00:00	14.86667           
2014-04-19 18:00:00	13.36667           
2014-04-20 18:00:00	12.70000           
2014-04-21 18:00:00	14.18333           
2014-04-22 18:00:00	15.25000           
2014-04-23 18:00:00	15.45000           
2014-04-24 18:00:00	14.06000           
2014-04-25 18:00:00	14.06000           
2014-04-26 18:00:00	14.06000           
2014-04-27 18:00:00	14.06000           
2014-04-28 18:00:00	14.06000           
2014-04-29 18:00:00	18.00000           
2014-04-30 18:00:00	18.98333           
2014-05-01 18:00:00	19.28333           
2014-05-02 18:00:00	23.70000           
2014-05-03 18:00:00	22.66667           
2014-05-04 18:00:00	14.06000           
2014-05-05 18:00:00	14.06000           
2014-05-06 18:00:00	14.06000           
2014-05-07 18:00:00	14.06000           
2014-05-08 18:00:00	14.06000           
2014-05-09 18:00:00	20.96667           
2014-05-10 18:00:00	14.06000           
2014-05-11 18:00:00	14.06000           
2014-05-12 18:00:00	14.06000           
2014-05-13 18:00:00	14.06000           
2014-05-14 18:00:00	26.40000           
2014-05-15 18:00:00	21.78333           
2014-05-16 18:00:00	23.60000           
2014-05-17 18:00:00	22.33333           
2014-05-18 18:00:00	20.56667           
2014-05-19 18:00:00	13.86667           
2014-05-20 18:00:00	11.70000           
2014-05-21 18:00:00	14.06000           
2014-05-22 18:00:00	14.48333           
2014-05-23 18:00:00	14.95000           
2014-05-24 18:00:00	14.41667           
2014-05-25 18:00:00	13.95000           
2014-05-26 18:00:00	14.06000           
2014-05-27 18:00:00	14.06000           
2014-05-28 18:00:00	14.06000           
2014-05-29 18:00:00	14.06000           
2014-05-30 18:00:00	14.06000           
2014-05-31 18:00:00	14.06000           
2014-06-01 18:00:00	14.06000           
2014-06-02 18:00:00	14.06000           
2014-06-03 18:00:00	17.80000           
2014-06-04 18:00:00	16.90000           
2014-06-05 18:00:00	21.61667           
2014-06-06 18:00:00	15.00000           
2014-06-07 18:00:00	18.63333           
2014-06-08 18:00:00	19.73333           
2014-06-09 18:00:00	19.80000           
2014-06-10 18:00:00	14.06000           
2014-06-11 18:00:00	14.06000           
2014-06-12 18:00:00	29.15000           
2014-06-13 18:00:00	29.70000           
2014-06-14 18:00:00	14.06000           
2014-06-15 18:00:00	14.06000           
2014-06-16 18:00:00	14.06000           
2014-06-17 18:00:00	24.36667           
2014-06-18 18:00:00	20.76667           
2014-06-19 18:00:00	20.53333           
2014-06-20 18:00:00	20.95000           
2014-06-21 18:00:00	14.06000           
2014-06-22 18:00:00	14.06000           
2014-06-23 18:00:00	14.06000           
2014-06-24 18:00:00	19.46000           
2014-06-25 18:00:00	14.06000           
2014-06-26 18:00:00	21.75000           
2014-06-27 18:00:00	21.51667           
2014-06-28 18:00:00	19.93333           
2014-06-29 18:00:00	19.80000           
2014-06-30 18:00:00	19.90000           
2014-07-01 18:00:00	14.06000           
2014-07-02 18:00:00	14.06000           
2014-07-03 18:00:00	14.06000           
2014-07-04 18:00:00	14.06000           
2014-07-05 18:00:00	14.06000           
2014-07-06 18:00:00	14.06000           
2014-07-07 18:00:00	14.06000           
2014-07-08 18:00:00	14.06000           
2014-07-09 18:00:00	14.06000           
2014-07-10 18:00:00	14.06000           
2014-07-11 18:00:00	14.06000           
2014-07-12 18:00:00	14.06000           
2014-07-13 18:00:00	14.06000           
2014-07-14 18:00:00	14.06000           
2014-07-15 18:00:00	27.11667           
2014-07-16 18:00:00	29.21667           
2014-07-17 18:00:00	24.21667           
2014-07-18 18:00:00	21.43333           
2014-07-19 18:00:00	20.31667           
2014-07-20 18:00:00	22.36667           
2014-07-21 18:00:00	25.50000           
2014-07-22 18:00:00	25.16667           
2014-07-23 18:00:00	20.55000           
2014-07-24 18:00:00	21.73333           
2014-07-25 18:00:00	23.10000           
2014-07-26 18:00:00	26.71667           
2014-07-27 18:00:00	26.73333           
2014-07-28 18:00:00	25.13333           
2014-07-29 18:00:00	29.35000           
2014-07-30 18:00:00	27.48333           
2014-07-31 18:00:00	21.91667           
2014-08-01 18:00:00	19.66667           
2014-08-02 18:00:00	20.81667           
2014-08-03 18:00:00	21.48333           
2014-08-04 18:00:00	21.75000           
