end_of_interval	HS
2014-04-07 18:00:00	0.06658501         
2014-04-08 18:00:00	0.06658501         
2014-04-09 18:00:00	0.06289433         
2014-04-10 18:00:00	0.06788761         
2014-04-11 18:00:00	0.06452257         
2014-04-12 18:00:00	0.06430548         
2014-04-13 18:00:00	0.06473967         
2014-04-14 18:00:00	0.06582517         
2014-04-15 18:00:00	0.06636792         
2014-04-16 18:00:00	0.06495677         
2014-04-17 18:00:00	0.06571662         
2014-04-18 18:00:00	0.06593372         
2014-04-19 18:00:00	0.06506532         
2014-04-20 18:00:00	0.06463112         
2014-04-21 18:00:00	0.06495677         
2014-04-22 18:00:00	0.06473967         
2014-04-23 18:00:00	0.06473967         
2014-04-24 18:00:00	0.06539097         
2014-04-25 18:00:00	0.06430548         
2014-04-26 18:00:00	0.06452257         
2014-04-27 18:00:00	0.06473967         
2014-04-28 18:00:00	0.06701921         
2014-04-29 18:00:00	0.15668108         
2014-04-30 18:00:00	0.15483573         
2014-05-01 18:00:00	0.15342459         
2014-05-02 18:00:00	0.15092795         
2014-05-03 18:00:00	0.14886551         
2014-05-04 18:00:00	0.14593468         
2014-05-05 18:00:00	0.14224400         
2014-05-06 18:00:00	0.14007301         
2014-05-07 18:00:00	0.13822767         
2014-05-08 18:00:00	0.13627378         
2014-05-09 18:00:00	0.13714217         
2014-05-10 18:00:00	0.13366859         
2014-05-11 18:00:00	0.13171470         
2014-05-12 18:00:00	0.12910951         
2014-05-13 18:00:00	0.12834966         
2014-05-14 18:00:00	0.12628722         
2014-05-15 18:00:00	0.12411623         
2014-05-16 18:00:00	0.15765802         
2014-05-17 18:00:00	0.14658598         
2014-05-18 18:00:00	0.13931316         
2014-05-19 18:00:00	0.13410279         
2014-05-20 18:00:00	0.14408934         
2014-05-21 18:00:00	0.20715658         
2014-05-22 18:00:00	0.22050817         
2014-05-23 18:00:00	0.18012776         
2014-05-24 18:00:00	0.16286840         
2014-05-25 18:00:00	0.15461864         
2014-05-26 18:00:00	0.14626033         
2014-05-27 18:00:00	0.14267819         
2014-05-28 18:00:00	0.14430644         
2014-05-29 18:00:00	0.14170125         
2014-05-30 18:00:00	0.14083285         
2014-05-31 18:00:00	0.13801057         
2014-06-01 18:00:00	0.13551393         
2014-06-02 18:00:00	0.12509318         
2014-06-03 18:00:00	0.12400768         
2014-06-04 18:00:00	0.12194524         
2014-06-05 18:00:00	0.12009990         
2014-06-06 18:00:00	0.11478098         
2014-06-07 18:00:00	0.13638232         
2014-06-08 18:00:00	0.13236599         
2014-06-09 18:00:00	0.12976081         
2014-06-10 18:00:00	0.12954371         
2014-06-11 18:00:00	0.12824111         
2014-06-12 18:00:00	0.12563593         
2014-06-13 18:00:00	0.12379059         
2014-06-14 18:00:00	0.12292219         
2014-06-15 18:00:00	0.12129395         
2014-06-16 18:00:00	0.12042555         
2014-06-17 18:00:00	0.11901441         
2014-06-18 18:00:00	0.11412968         
2014-06-19 18:00:00	0.11771182         
2014-06-20 18:00:00	0.11630067         
2014-06-21 18:00:00	0.13377714         
2014-06-22 18:00:00	0.14495773         
2014-06-23 18:00:00	0.14951681         
2014-06-24 18:00:00	0.14756292         
2014-06-25 18:00:00	0.15125360         
2014-06-26 18:00:00	0.14441499         
2014-06-27 18:00:00	0.14083285         
2014-06-28 18:00:00	0.13377714         
2014-06-29 18:00:00	0.13453698         
2014-06-30 18:00:00	0.13334294         
2014-07-01 18:00:00	0.12878386         
2014-07-02 18:00:00	0.12769837         
2014-07-03 18:00:00	0.12845821         
2014-07-04 18:00:00	0.12758982         
2014-07-05 18:00:00	0.12769837         
2014-07-06 18:00:00	0.13106340         
2014-07-07 18:00:00	0.13475408         
2014-07-08 18:00:00	0.13225744         
2014-07-09 18:00:00	0.13052065         
2014-07-10 18:00:00	0.12889241         
2014-07-11 18:00:00	0.12726417         
2014-07-12 18:00:00	0.12520173         
2014-07-13 18:00:00	0.12357349         
2014-07-14 18:00:00	0.12357349         
2014-07-15 18:00:00	0.12346494         
2014-07-16 18:00:00	0.12324784         
2014-07-17 18:00:00	0.12183670         
2014-07-18 18:00:00	0.11651777         
2014-07-19 18:00:00	0.11716907         
2014-07-20 18:00:00	0.12020845         
2014-07-21 18:00:00	0.12335639         
2014-07-22 18:00:00	0.12281364         
2014-07-23 18:00:00	0.12085975         
2014-07-24 18:00:00	0.11955716         
2014-07-25 18:00:00	0.12020845         
2014-07-26 18:00:00	0.12216234         
2014-07-27 18:00:00	0.12151105         
2014-07-28 18:00:00	0.11999135         
2014-07-29 18:00:00	0.12335639         
2014-07-30 18:00:00	0.12270509         
2014-07-31 18:00:00	0.12096830         
2014-08-01 18:00:00	0.12020845         
2014-08-02 18:00:00	0.11630067         
2014-08-03 18:00:00	0.11738617         
2014-08-04 18:00:00	0.12096830         
