end_of_interval	HS
2014-04-07 18:00:00	0.5350000          
2014-04-08 18:00:00	0.1050000          
2014-04-09 18:00:00	0.9516667          
2014-04-10 18:00:00	0.4333333          
2014-04-11 18:00:00	0.6483333          
2014-04-12 18:00:00	0.1833333          
2014-04-13 18:00:00	0.4466667          
2014-04-14 18:00:00	0.2400000          
2014-04-15 18:00:00	0.1483333          
2014-04-16 18:00:00	0.7635535          
2014-04-17 18:00:00	0.7635535          
2014-04-18 18:00:00	0.6016667          
2014-04-19 18:00:00	0.5983333          
2014-04-20 18:00:00	0.2800000          
2014-04-21 18:00:00	0.8650000          
2014-04-22 18:00:00	1.2150000          
2014-04-23 18:00:00	0.5433333          
2014-04-24 18:00:00	0.7635535          
2014-04-25 18:00:00	0.7635535          
2014-04-26 18:00:00	0.7635535          
2014-04-27 18:00:00	0.7635535          
2014-04-28 18:00:00	0.7635535          
2014-04-29 18:00:00	0.8833333          
2014-04-30 18:00:00	0.8566667          
2014-05-01 18:00:00	0.8083333          
2014-05-02 18:00:00	0.8900000          
2014-05-03 18:00:00	0.1666667          
2014-05-04 18:00:00	0.7635535          
2014-05-05 18:00:00	0.7635535          
2014-05-06 18:00:00	0.7635535          
2014-05-07 18:00:00	0.7635535          
2014-05-08 18:00:00	0.7635535          
2014-05-09 18:00:00	1.1083333          
2014-05-10 18:00:00	0.7635535          
2014-05-11 18:00:00	0.7635535          
2014-05-12 18:00:00	0.7635535          
2014-05-13 18:00:00	0.7635535          
2014-05-14 18:00:00	0.2716667          
2014-05-15 18:00:00	0.9000000          
2014-05-16 18:00:00	0.3716667          
2014-05-17 18:00:00	0.5183333          
2014-05-18 18:00:00	0.7016667          
2014-05-19 18:00:00	0.6733333          
2014-05-20 18:00:00	1.5083333          
2014-05-21 18:00:00	0.7635535          
2014-05-22 18:00:00	0.6383333          
2014-05-23 18:00:00	0.8100000          
2014-05-24 18:00:00	1.0816667          
2014-05-25 18:00:00	1.2083333          
2014-05-26 18:00:00	0.7635535          
2014-05-27 18:00:00	0.7635535          
2014-05-28 18:00:00	0.7635535          
2014-05-29 18:00:00	0.7635535          
2014-05-30 18:00:00	0.7635535          
2014-05-31 18:00:00	0.7635535          
2014-06-01 18:00:00	0.7635535          
2014-06-02 18:00:00	0.7635535          
2014-06-03 18:00:00	0.9683333          
2014-06-04 18:00:00	0.9183333          
2014-06-05 18:00:00	0.6000000          
2014-06-06 18:00:00	1.2833333          
2014-06-07 18:00:00	0.7650000          
2014-06-08 18:00:00	0.8583333          
2014-06-09 18:00:00	0.7166667          
2014-06-10 18:00:00	0.7635535          
2014-06-11 18:00:00	0.7635535          
2014-06-12 18:00:00	0.9233333          
2014-06-13 18:00:00	0.7883333          
2014-06-14 18:00:00	0.7635535          
2014-06-15 18:00:00	0.7635535          
2014-06-16 18:00:00	0.7635535          
2014-06-17 18:00:00	0.7766667          
2014-06-18 18:00:00	0.7183333          
2014-06-19 18:00:00	1.0883333          
2014-06-20 18:00:00	1.6483333          
2014-06-21 18:00:00	0.7635535          
2014-06-22 18:00:00	0.7635535          
2014-06-23 18:00:00	0.7635535          
2014-06-24 18:00:00	0.9040000          
2014-06-25 18:00:00	0.7635535          
2014-06-26 18:00:00	0.9283333          
2014-06-27 18:00:00	1.0116667          
2014-06-28 18:00:00	1.1166667          
2014-06-29 18:00:00	1.1283333          
2014-06-30 18:00:00	1.2150000          
2014-07-01 18:00:00	0.7635535          
2014-07-02 18:00:00	0.7635535          
2014-07-03 18:00:00	0.7635535          
2014-07-04 18:00:00	0.7635535          
2014-07-05 18:00:00	0.7635535          
2014-07-06 18:00:00	0.7635535          
2014-07-07 18:00:00	0.7635535          
2014-07-08 18:00:00	0.7635535          
2014-07-09 18:00:00	0.7635535          
2014-07-10 18:00:00	0.7635535          
2014-07-11 18:00:00	0.7635535          
2014-07-12 18:00:00	0.7635535          
2014-07-13 18:00:00	0.7635535          
2014-07-14 18:00:00	0.7635535          
2014-07-15 18:00:00	0.7635535          
2014-07-16 18:00:00	0.7635535          
2014-07-17 18:00:00	0.7635535          
2014-07-18 18:00:00	0.7635535          
2014-07-19 18:00:00	0.7635535          
2014-07-20 18:00:00	0.7635535          
2014-07-21 18:00:00	0.7635535          
2014-07-22 18:00:00	0.7635535          
2014-07-23 18:00:00	0.7635535          
2014-07-24 18:00:00	0.7635535          
2014-07-25 18:00:00	0.9633333          
2014-07-26 18:00:00	0.6733333          
2014-07-27 18:00:00	0.7666667          
2014-07-28 18:00:00	0.5866667          
2014-07-29 18:00:00	0.8533333          
2014-07-30 18:00:00	1.0900000          
2014-07-31 18:00:00	1.1333333          
2014-08-01 18:00:00	1.2033333          
2014-08-02 18:00:00	0.9350000          
2014-08-03 18:00:00	1.0716667          
2014-08-04 18:00:00	0.8633333          
