end_of_interval	Met
2013-12-20 23:00:00	 79.10000          
2013-12-21 23:00:00	 73.40000          
2013-12-22 23:00:00	 76.90000          
2013-12-23 23:00:00	 99.20000          
2013-12-24 23:00:00	 96.20000          
2013-12-25 23:00:00	 91.40000          
2013-12-26 23:00:00	 93.70000          
2013-12-27 23:00:00	 97.00000          
2013-12-28 23:00:00	 85.70000          
2013-12-29 23:00:00	 78.00000          
2013-12-30 23:00:00	 72.40000          
2013-12-31 23:00:00	100.00000          
2014-01-01 23:00:00	 94.20000          
2014-01-02 23:00:00	 97.00000          
2014-01-03 23:00:00	100.00000          
2014-01-04 23:00:00	 84.70000          
2014-01-05 23:00:00	 96.70000          
2014-01-06 23:00:00	 99.40000          
2014-01-07 23:00:00	 98.40000          
2014-01-08 23:00:00	 71.50000          
2014-01-09 23:00:00	 75.10000          
2014-01-10 23:00:00	 96.00000          
2014-01-11 23:00:00	 96.60000          
2014-01-12 23:00:00	 93.70000          
2014-01-13 23:00:00	 96.00000          
2014-01-14 23:00:00	 98.40000          
2014-01-15 23:00:00	 99.10000          
2014-01-16 23:00:00	 90.90000          
2014-01-17 23:00:00	 99.50000          
2014-01-18 23:00:00	 99.20000          
2014-01-19 23:00:00	 90.30000          
2014-01-20 23:00:00	 85.80000          
2014-01-21 23:00:00	 99.10000          
2014-01-22 23:00:00	 80.50000          
2014-01-23 23:00:00	 94.80000          
2014-01-24 23:00:00	 83.60000          
2014-01-25 23:00:00	 94.90000          
2014-01-26 23:00:00	 99.00000          
2014-01-27 23:00:00	 86.30000          
2014-01-28 23:00:00	 80.40000          
2014-01-29 23:00:00	 83.60000          
2014-01-30 23:00:00	 93.10000          
2014-01-31 23:00:00	 99.50000          
2014-02-01 23:00:00	 92.90000          
2014-02-02 23:00:00	 85.60000          
2014-02-03 23:00:00	 97.70000          
2014-02-04 23:00:00	 98.90000          
2014-02-05 23:00:00	 94.00000          
2014-02-06 23:00:00	 94.50000          
2014-02-07 23:00:00	 97.70000          
2014-02-08 23:00:00	 88.20000          
2014-02-09 23:00:00	 94.60000          
2014-02-10 23:00:00	 86.70000          
2014-02-11 23:00:00	100.00000          
2014-02-12 23:00:00	100.00000          
2014-02-13 23:00:00	100.00000          
2014-02-14 23:00:00	100.00000          
2014-02-15 23:00:00	 86.40000          
2014-02-16 23:00:00	 80.50000          
2014-02-17 23:00:00	 97.50000          
2014-02-18 23:00:00	 91.20000          
2014-02-19 23:00:00	 96.80000          
2014-02-20 23:00:00	 93.90000          
2014-02-21 23:00:00	 83.60000          
2014-02-22 23:00:00	 95.80000          
2014-02-23 23:00:00	 98.30000          
2014-02-24 23:00:00	 81.70000          
2014-02-25 23:00:00	 92.80000          
2014-02-26 23:00:00	 88.20000          
2014-02-27 23:00:00	 97.10000          
2014-02-28 23:00:00	 91.70000          
2014-03-01 23:00:00	 94.80000          
2014-03-02 23:00:00	 96.60000          
2014-03-03 23:00:00	 83.10000          
2014-03-04 23:00:00	 96.60000          
2014-03-05 23:00:00	 92.20000          
2014-03-06 23:00:00	 90.90000          
2014-03-07 23:00:00	 72.90000          
2014-03-08 23:00:00	 61.44000          
2014-03-09 23:00:00	 56.47000          
2014-03-10 23:00:00	 41.72000          
2014-03-11 23:00:00	 40.37000          
2014-03-12 23:00:00	 51.80000          
2014-03-13 23:00:00	 71.70000          
2014-03-14 23:00:00	 70.00000          
2014-03-15 23:00:00	 69.32000          
2014-03-16 23:00:00	 56.92000          
2014-03-17 23:00:00	 76.94091          
2014-03-18 23:00:00	 76.94091          
2014-03-19 23:00:00	 76.94091          
2014-03-20 23:00:00	 93.80000          
2014-03-21 23:00:00	 98.80000          
2014-03-22 23:00:00	 83.00000          
2014-03-23 23:00:00	 81.50000          
2014-03-24 23:00:00	 87.60000          
2014-03-25 23:00:00	 72.10000          
2014-03-26 23:00:00	 79.30000          
2014-03-27 23:00:00	 97.40000          
2014-03-28 23:00:00	 90.00000          
2014-03-29 23:00:00	 83.60000          
2014-03-30 23:00:00	 96.80000          
2014-03-31 23:00:00	 92.80000          
2014-04-01 23:00:00	 97.20000          
2014-04-02 23:00:00	 93.70000          
2014-04-03 23:00:00	 90.10000          
2014-04-04 23:00:00	100.00000          
2014-04-05 23:00:00	 96.90000          
2014-04-06 23:00:00	 85.50000          
2014-04-07 23:00:00	 93.10000          
2014-04-08 23:00:00	 79.10000          
2014-04-09 23:00:00	 62.45000          
2014-04-10 23:00:00	 92.90000          
2014-04-11 23:00:00	 96.90000          
2014-04-12 23:00:00	 96.60000          
2014-04-13 23:00:00	 68.98000          
2014-04-14 23:00:00	 70.80000          
2014-04-15 23:00:00	 87.70000          
2014-04-16 23:00:00	 90.90000          
2014-04-17 23:00:00	 96.10000          
2014-04-18 23:00:00	 91.70000          
2014-04-19 23:00:00	 89.60000          
2014-04-20 23:00:00	 99.30000          
2014-04-21 23:00:00	 90.00000          
2014-04-22 23:00:00	 94.50000          
2014-04-23 23:00:00	 81.30000          
2014-04-24 23:00:00	 83.80000          
2014-04-25 23:00:00	 82.30000          
2014-04-26 23:00:00	 88.90000          
2014-04-27 23:00:00	 81.90000          
2014-04-28 23:00:00	 86.20000          
2014-04-29 23:00:00	 84.80000          
2014-04-30 23:00:00	 87.90000          
2014-05-01 23:00:00	 83.00000          
2014-05-02 23:00:00	 61.02000          
2014-05-03 23:00:00	 52.41000          
2014-05-04 23:00:00	 50.72000          
2014-05-05 23:00:00	 74.30000          
2014-05-06 23:00:00	 88.40000          
2014-05-07 23:00:00	 88.50000          
2014-05-08 23:00:00	 87.20000          
2014-05-09 23:00:00	 77.30000          
2014-05-10 23:00:00	 88.40000          
2014-05-11 23:00:00	 71.20000          
