end_of_interval	NSA
2014-03-31 23:00:00	  1.163185         
2014-04-01 23:00:00	  1.163185         
2014-04-02 23:00:00	  1.163185         
2014-04-03 23:00:00	  1.163185         
2014-04-04 23:00:00	  1.163185         
2014-04-05 23:00:00	  1.163185         
2014-04-06 23:00:00	  1.163185         
2014-04-07 23:00:00	 -6.706385         
2014-04-08 23:00:00	 -1.465925         
2014-04-09 23:00:00	 -3.502419         
2014-04-10 23:00:00	 -8.593654         
2014-04-11 23:00:00	 -5.091235         
2014-04-12 23:00:00	 -8.075752         
2014-04-13 23:00:00	 -4.037876         
2014-04-14 23:00:00	 -5.266795         
2014-04-15 23:00:00	 -6.320154         
2014-04-16 23:00:00	  1.163185         
2014-04-17 23:00:00	  1.163185         
2014-04-18 23:00:00	-11.411389         
2014-04-19 23:00:00	-10.358030         
2014-04-20 23:00:00	 -7.549073         
2014-04-21 23:00:00	-11.938068         
2014-04-22 23:00:00	 -9.831350         
2014-04-23 23:00:00	  1.163185         
2014-04-24 23:00:00	  1.163185         
2014-04-25 23:00:00	  1.163185         
2014-04-26 23:00:00	  1.163185         
2014-04-27 23:00:00	  1.163185         
2014-04-28 23:00:00	 26.544646         
2014-04-29 23:00:00	 -7.373513         
2014-04-30 23:00:00	 -8.426872         
2014-05-01 23:00:00	 -9.304671         
2014-05-02 23:00:00	 -5.793474         
2014-05-03 23:00:00	 -8.251312         
2014-05-04 23:00:00	  1.163185         
2014-05-05 23:00:00	  1.163185         
2014-05-06 23:00:00	  1.163185         
2014-05-07 23:00:00	  1.163185         
2014-05-08 23:00:00	 36.340884         
2014-05-09 23:00:00	 -8.251312         
2014-05-10 23:00:00	  1.163185         
2014-05-11 23:00:00	  1.163185         
2014-05-12 23:00:00	  1.163185         
2014-05-13 23:00:00	 35.638645         
2014-05-14 23:00:00	 -3.335637         
2014-05-15 23:00:00	 -7.022393         
2014-05-16 23:00:00	-14.922585         
2014-05-17 23:00:00	-14.922585         
2014-05-18 23:00:00	-14.395906         
2014-05-19 23:00:00	-25.456175         
2014-05-20 23:00:00	  1.163185         
2014-05-21 23:00:00	  1.163185         
2014-05-22 23:00:00	-15.449265         
2014-05-23 23:00:00	-19.136021         
2014-05-24 23:00:00	-18.258222         
2014-05-25 23:00:00	  1.163185         
2014-05-26 23:00:00	  1.163185         
2014-05-27 23:00:00	  1.163185         
2014-05-28 23:00:00	  1.163185         
2014-05-29 23:00:00	  1.163185         
2014-05-30 23:00:00	  1.163185         
2014-05-31 23:00:00	  1.163185         
2014-06-01 23:00:00	  1.163185         
2014-06-02 23:00:00	 45.469995         
2014-06-03 23:00:00	 -9.831350         
2014-06-04 23:00:00	-15.624825         
2014-06-05 23:00:00	 -8.953551         
2014-06-06 23:00:00	-22.822778         
2014-06-07 23:00:00	-17.029303         
2014-06-08 23:00:00	-13.869226         
2014-06-09 23:00:00	-12.640308         
2014-06-10 23:00:00	  1.163185         
2014-06-11 23:00:00	 51.614589         
2014-06-12 23:00:00	 -1.931158         
2014-06-13 23:00:00	 -4.213436         
2014-06-14 23:00:00	  1.163185         
2014-06-15 23:00:00	  1.163185         
2014-06-16 23:00:00	 39.149841         
2014-06-17 23:00:00	-10.358030         
2014-06-18 23:00:00	-16.502624         
2014-06-19 23:00:00	-13.518107         
2014-06-20 23:00:00	-12.289188         
2014-06-21 23:00:00	  1.163185         
2014-06-22 23:00:00	  1.163185         
2014-06-23 23:00:00	  1.163185         
2014-06-24 23:00:00	  1.163185         
2014-06-25 23:00:00	 48.103393         
2014-06-26 23:00:00	-12.991427         
2014-06-27 23:00:00	-12.991427         
2014-06-28 23:00:00	-15.624825         
2014-06-29 23:00:00	-13.693667         
2014-06-30 23:00:00	-11.235829         
2014-07-01 23:00:00	  1.163185         
2014-07-02 23:00:00	  1.163185         
2014-07-03 23:00:00	  1.163185         
2014-07-04 23:00:00	  1.163185         
2014-07-05 23:00:00	  1.163185         
2014-07-06 23:00:00	  1.163185         
2014-07-07 23:00:00	  1.163185         
2014-07-08 23:00:00	  1.163185         
2014-07-09 23:00:00	  1.163185         
2014-07-10 23:00:00	  1.163185         
2014-07-11 23:00:00	  1.163185         
2014-07-12 23:00:00	  1.163185         
2014-07-13 23:00:00	  1.163185         
2014-07-14 23:00:00	 34.585286         
2014-07-15 23:00:00	-10.358030         
2014-07-16 23:00:00	-11.235829         
2014-07-17 23:00:00	-13.869226         
2014-07-18 23:00:00	-11.235829         
2014-07-19 23:00:00	-16.678184         
2014-07-20 23:00:00	-14.395906         
2014-07-21 23:00:00	 -9.480231         
2014-07-22 23:00:00	-11.060269         
2014-07-23 23:00:00	-14.571466         
2014-07-24 23:00:00	-13.166987         
2014-07-25 23:00:00	-14.220346         
2014-07-26 23:00:00	-10.533590         
2014-07-27 23:00:00	-10.884709         
2014-07-28 23:00:00	-11.586949         
2014-07-29 23:00:00	 -5.969034         
2014-07-30 23:00:00	 -9.655790         
2014-07-31 23:00:00	 -9.480231         
2014-08-01 23:00:00	-10.533590         
2014-08-02 23:00:00	-10.533590         
2014-08-03 23:00:00	-17.731543         
