end_of_interval	NSA
2014-03-31 23:00:00	12.716667          
2014-04-01 23:00:00	11.370000          
2014-04-02 23:00:00	11.370000          
2014-04-03 23:00:00	11.370000          
2014-04-04 23:00:00	11.370000          
2014-04-05 23:00:00	11.370000          
2014-04-06 23:00:00	11.370000          
2014-04-07 23:00:00	12.400000          
2014-04-08 23:00:00	18.783333          
2014-04-09 23:00:00	16.400000          
2014-04-10 23:00:00	10.666667          
2014-04-11 23:00:00	11.933333          
2014-04-12 23:00:00	11.166667          
2014-04-13 23:00:00	11.370000          
2014-04-14 23:00:00	11.370000          
2014-04-15 23:00:00	11.370000          
2014-04-16 23:00:00	11.370000          
2014-04-17 23:00:00	16.500000          
2014-04-18 23:00:00	 9.966667          
2014-04-19 23:00:00	 9.633333          
2014-04-20 23:00:00	11.516667          
2014-04-21 23:00:00	 9.216667          
2014-04-22 23:00:00	11.370000          
2014-04-23 23:00:00	 8.983333          
2014-04-24 23:00:00	 7.800000          
2014-04-25 23:00:00	11.370000          
2014-04-26 23:00:00	11.370000          
2014-04-27 23:00:00	11.370000          
2014-04-28 23:00:00	21.533333          
2014-04-29 23:00:00	14.083333          
2014-04-30 23:00:00	13.350000          
2014-05-01 23:00:00	12.933333          
2014-05-02 23:00:00	15.216667          
2014-05-03 23:00:00	15.266667          
2014-05-04 23:00:00	14.016667          
2014-05-05 23:00:00	11.370000          
2014-05-06 23:00:00	11.370000          
2014-05-07 23:00:00	11.370000          
2014-05-08 23:00:00	25.120000          
2014-05-09 23:00:00	15.066667          
2014-05-10 23:00:00	14.533333          
2014-05-11 23:00:00	12.466667          
2014-05-12 23:00:00	12.000000          
2014-05-13 23:00:00	16.000000          
2014-05-14 23:00:00	21.350000          
2014-05-15 23:00:00	19.550000          
2014-05-16 23:00:00	16.450000          
2014-05-17 23:00:00	13.166667          
2014-05-18 23:00:00	11.666667          
2014-05-19 23:00:00	 7.583333          
2014-05-20 23:00:00	11.366667          
2014-05-21 23:00:00	10.883333          
2014-05-22 23:00:00	11.450000          
2014-05-23 23:00:00	 9.600000          
2014-05-24 23:00:00	 9.300000          
2014-05-25 23:00:00	 9.050000          
2014-05-26 23:00:00	10.883333          
2014-05-27 23:00:00	14.283333          
2014-05-28 23:00:00	10.950000          
2014-05-29 23:00:00	14.850000          
2014-05-30 23:00:00	13.066667          
2014-05-31 23:00:00	13.416667          
2014-06-01 23:00:00	14.766667          
2014-06-02 23:00:00	12.933333          
2014-06-03 23:00:00	14.166667          
2014-06-04 23:00:00	 9.216667          
2014-06-05 23:00:00	14.900000          
2014-06-06 23:00:00	12.983333          
2014-06-07 23:00:00	12.066667          
2014-06-08 23:00:00	13.066667          
2014-06-09 23:00:00	13.300000          
2014-06-10 23:00:00	13.866667          
2014-06-11 23:00:00	19.033333          
2014-06-12 23:00:00	22.250000          
2014-06-13 23:00:00	21.850000          
2014-06-14 23:00:00	20.483333          
2014-06-15 23:00:00	22.966667          
2014-06-16 23:00:00	16.866667          
2014-06-17 23:00:00	16.416667          
2014-06-18 23:00:00	14.233333          
2014-06-19 23:00:00	13.333333          
2014-06-20 23:00:00	15.850000          
2014-06-21 23:00:00	14.466667          
2014-06-22 23:00:00	14.500000          
2014-06-23 23:00:00	12.566667          
2014-06-24 23:00:00	14.966667          
2014-06-25 23:00:00	14.866667          
2014-06-26 23:00:00	13.450000          
2014-06-27 23:00:00	13.533333          
2014-06-28 23:00:00	14.716667          
2014-06-29 23:00:00	14.250000          
2014-06-30 23:00:00	14.450000          
2014-07-01 23:00:00	16.183333          
2014-07-02 23:00:00	14.200000          
2014-07-03 23:00:00	15.966667          
2014-07-04 23:00:00	14.300000          
2014-07-05 23:00:00	18.416667          
2014-07-06 23:00:00	14.116667          
2014-07-07 23:00:00	15.100000          
2014-07-08 23:00:00	16.433333          
2014-07-09 23:00:00	18.566667          
2014-07-10 23:00:00	18.966667          
2014-07-11 23:00:00	20.533333          
2014-07-12 23:00:00	14.700000          
2014-07-13 23:00:00	17.083333          
2014-07-14 23:00:00	18.150000          
2014-07-15 23:00:00	17.400000          
2014-07-16 23:00:00	16.000000          
2014-07-17 23:00:00	15.816667          
2014-07-18 23:00:00	18.383333          
2014-07-19 23:00:00	15.033333          
2014-07-20 23:00:00	15.366667          
2014-07-21 23:00:00	11.370000          
2014-07-22 23:00:00	11.370000          
2014-07-23 23:00:00	24.166667          
2014-07-24 23:00:00	17.516667          
2014-07-25 23:00:00	14.300000          
2014-07-26 23:00:00	16.150000          
2014-07-27 23:00:00	16.933333          
2014-07-28 23:00:00	16.250000          
2014-07-29 23:00:00	19.466667          
2014-07-30 23:00:00	17.483333          
2014-07-31 23:00:00	18.883333          
2014-08-01 23:00:00	17.550000          
2014-08-02 23:00:00	19.266667          
2014-08-03 23:00:00	15.683333          
