end_of_interval	NSA
2014-03-31 23:00:00	0.04910386         
2014-04-01 23:00:00	0.04910386         
2014-04-02 23:00:00	0.04910386         
2014-04-03 23:00:00	0.05086949         
2014-04-04 23:00:00	0.05107721         
2014-04-05 23:00:00	0.05118107         
2014-04-06 23:00:00	0.05118107         
2014-04-07 23:00:00	0.04993474         
2014-04-08 23:00:00	0.04962316         
2014-04-09 23:00:00	0.04910386         
2014-04-10 23:00:00	0.04910386         
2014-04-11 23:00:00	0.04910386         
2014-04-12 23:00:00	0.04910386         
2014-04-13 23:00:00	0.04910386         
2014-04-14 23:00:00	0.04972702         
2014-04-15 23:00:00	0.04910386         
2014-04-16 23:00:00	0.04910386         
2014-04-17 23:00:00	0.04910386         
2014-04-18 23:00:00	0.04910386         
2014-04-19 23:00:00	0.04910386         
2014-04-20 23:00:00	0.04910386         
2014-04-21 23:00:00	0.04910386         
2014-04-22 23:00:00	0.04910386         
2014-04-23 23:00:00	0.04910386         
2014-04-24 23:00:00	0.04910386         
2014-04-25 23:00:00	0.04910386         
2014-04-26 23:00:00	0.04910386         
2014-04-27 23:00:00	0.04910386         
2014-04-28 23:00:00	0.05014246         
2014-04-29 23:00:00	0.12087132         
2014-04-30 23:00:00	0.12097518         
2014-05-01 23:00:00	0.11931342         
2014-05-02 23:00:00	0.12149449         
2014-05-03 23:00:00	0.11941728         
2014-05-04 23:00:00	0.12222151         
2014-05-05 23:00:00	0.11941728         
2014-05-06 23:00:00	0.11692463         
2014-05-07 23:00:00	0.11370496         
2014-05-08 23:00:00	0.11287408         
2014-05-09 23:00:00	0.10456526         
2014-05-10 23:00:00	0.10394210         
2014-05-11 23:00:00	0.10311121         
2014-05-12 23:00:00	0.10207261         
2014-05-13 23:00:00	0.10103401         
2014-05-14 23:00:00	0.10435754         
2014-05-15 23:00:00	0.10176103         
2014-05-16 23:00:00	0.12699908         
2014-05-17 23:00:00	0.11827482         
2014-05-18 23:00:00	0.11287408         
2014-05-19 23:00:00	0.10768107         
2014-05-20 23:00:00	0.16085754         
2014-05-21 23:00:00	0.14413603         
2014-05-22 23:00:00	0.14787500         
2014-05-23 23:00:00	0.13780055         
2014-05-24 23:00:00	0.13239982         
2014-05-25 23:00:00	0.12855699         
2014-05-26 23:00:00	0.12461029         
2014-05-27 23:00:00	0.12066360         
2014-05-28 23:00:00	0.11817096         
2014-05-29 23:00:00	0.09833364         
2014-05-30 23:00:00	0.09656801         
2014-05-31 23:00:00	0.09469853         
2014-06-01 23:00:00	0.09490625         
2014-06-02 23:00:00	0.09376379         
2014-06-03 23:00:00	0.09334835         
2014-06-04 23:00:00	0.09251746         
2014-06-05 23:00:00	0.09220588         
2014-06-06 23:00:00	0.09812592         
2014-06-07 23:00:00	0.09636029         
2014-06-08 23:00:00	0.09552941         
2014-06-09 23:00:00	0.09459467         
2014-06-10 23:00:00	0.09345221         
2014-06-11 23:00:00	0.09293290         
2014-06-12 23:00:00	0.09459467         
2014-06-13 23:00:00	0.09386765         
2014-06-14 23:00:00	0.09293290         
2014-06-15 23:00:00	0.09251746         
2014-06-16 23:00:00	0.09168658         
2014-06-17 23:00:00	0.09199816         
2014-06-18 23:00:00	0.09075184         
2014-06-19 23:00:00	0.09075184         
2014-06-20 23:00:00	0.09044026         
2014-06-21 23:00:00	0.09220588         
2014-06-22 23:00:00	0.09687960         
2014-06-23 23:00:00	0.10009926         
2014-06-24 23:00:00	0.10165717         
2014-06-25 23:00:00	0.09926838         
2014-06-26 23:00:00	0.09646415         
2014-06-27 23:00:00	0.09501011         
2014-06-28 23:00:00	0.09438695         
2014-06-29 23:00:00	0.09282904         
2014-06-30 23:00:00	0.09127114         
2014-07-01 23:00:00	0.09116728         
2014-07-02 23:00:00	0.09085570         
2014-07-03 23:00:00	0.09106342         
2014-07-04 23:00:00	0.09023254         
2014-07-05 23:00:00	0.09064798         
2014-07-06 23:00:00	0.09137500         
2014-07-07 23:00:00	0.09106342         
2014-07-08 23:00:00	0.09085570         
2014-07-09 23:00:00	0.09137500         
2014-07-10 23:00:00	0.09075184         
2014-07-11 23:00:00	0.09033640         
2014-07-12 23:00:00	0.09012868         
2014-07-13 23:00:00	0.08971324         
2014-07-14 23:00:00	0.09002482         
2014-07-15 23:00:00	0.09023254         
2014-07-16 23:00:00	0.08992096         
2014-07-17 23:00:00	0.08940165         
2014-07-18 23:00:00	0.08960938         
2014-07-19 23:00:00	0.08888235         
2014-07-20 23:00:00	0.08909007         
2014-07-21 23:00:00	0.08919393         
2014-07-22 23:00:00	0.08981710         
2014-07-23 23:00:00	0.08929779         
2014-07-24 23:00:00	0.09085570         
2014-07-25 23:00:00	0.09158272         
2014-07-26 23:00:00	0.09241360         
2014-07-27 23:00:00	0.09272518         
2014-07-28 23:00:00	0.09272518         
2014-07-29 23:00:00	0.09397151         
2014-07-30 23:00:00	0.09365993         
2014-07-31 23:00:00	0.09324449         
2014-08-01 23:00:00	0.09293290         
2014-08-02 23:00:00	0.09334835         
2014-08-03 23:00:00	0.09272518         
