end_of_interval	out
2000-01-01 00:00:00	59.1725
2000-01-02 00:00:00	58.39125
2000-01-03 00:00:00	63.43275
2000-01-04 00:00:00	84.321
2000-01-05 00:00:00	74.61275
2000-01-06 00:00:00	77.7075
2000-01-07 00:00:00	78.5805
2000-01-08 00:00:00	83.869
2000-01-09 00:00:00	86.699
2000-01-10 00:00:00	75.64325
2000-01-11 00:00:00	67.12075
2000-01-12 00:00:00	67.52025
2000-01-13 00:00:00	77.403
2000-01-14 00:00:00	88.1345
2000-01-15 00:00:00	86.608
2000-01-16 00:00:00	78.63325
2000-01-17 00:00:00	77.00775
2000-01-18 00:00:00	71.41
2000-01-19 00:00:00	71.41025
2000-01-20 00:00:00	69.98975
2000-01-21 00:00:00	73.6345
2000-01-22 00:00:00	66.8585
2000-01-23 00:00:00	78.74275
2000-01-24 00:00:00	71.52425
2000-01-25 00:00:00	65.13375
2000-01-26 00:00:00	63.26475
2000-01-27 00:00:00	66.59225
2000-01-28 00:00:00	69.54475
2000-01-29 00:00:00	64.76275
2000-01-30 00:00:00	62.07625
2000-01-31 00:00:00	61.007
2000-02-01 00:00:00	61.512
2000-02-02 00:00:00	69.36275
2000-02-03 00:00:00	66.8525
2000-02-04 00:00:00	66.9575
2000-02-05 00:00:00	63.69325
2000-02-06 00:00:00	67.85075
2000-02-07 00:00:00	69.454
2000-02-08 00:00:00	77.33575
2000-02-09 00:00:00	82.6935
2000-02-10 00:00:00	72.46125
2000-02-11 00:00:00	67.6355
2000-02-12 00:00:00	68.40025
2000-02-13 00:00:00	73.69475
2000-02-14 00:00:00	86.18
2000-02-15 00:00:00	85.1575
2000-02-16 00:00:00	80.63025
2000-02-17 00:00:00	86.08725
2000-02-18 00:00:00	83.2765
2000-02-19 00:00:00	76.9
2000-02-20 00:00:00	79.06375
2000-02-21 00:00:00	77.50425
2000-02-22 00:00:00	80.03525
2000-02-23 00:00:00	82.13825
2000-02-24 00:00:00	88.40125
2000-02-25 00:00:00	79.22925
2000-02-26 00:00:00	75.7705
2000-02-27 00:00:00	80.2395
2000-02-28 00:00:00	82.8745
2000-02-29 00:00:00	81.41175
2000-03-01 00:00:00	76.14375
2000-03-02 00:00:00	82.21825
2000-03-03 00:00:00	85.55025
2000-03-04 00:00:00	80.60675
2000-03-05 00:00:00	84.4545
2000-03-06 00:00:00	76.98225
2000-03-07 00:00:00	80.244
2000-03-08 00:00:00	73.7845
2000-03-09 00:00:00	82.05725
2000-03-10 00:00:00	78.71425
2000-03-11 00:00:00	75.084
2000-03-12 00:00:00	72.2305
2000-03-13 00:00:00	77.13325
2000-03-14 00:00:00	88.222
2000-03-15 00:00:00	80.92
2000-03-16 00:00:00	78.23325
2000-03-17 00:00:00	83.31725
2000-03-18 00:00:00	79.534
2000-03-19 00:00:00	77.89975
2000-03-20 00:00:00	76.73025
2000-03-21 00:00:00	69.9615
2000-03-22 00:00:00	73.4435
2000-03-23 00:00:00	77.58325
2000-03-24 00:00:00	78.63975
2000-03-25 00:00:00	76.80625
2000-03-26 00:00:00	79.0505
2000-03-27 00:00:00	81.1715
2000-03-28 00:00:00	84.6045
2000-03-29 00:00:00	78.71275
2000-03-30 00:00:00	83.975
2000-03-31 00:00:00	81.36775
2000-04-01 00:00:00	80.474
2000-04-02 00:00:00	81.00675
2000-04-03 00:00:00	76.2935
2000-04-04 00:00:00	72.98575
2000-04-05 00:00:00	70.47375
2000-04-06 00:00:00	74.64075
2000-04-07 00:00:00	74.51725
2000-04-08 00:00:00	72.811
2000-04-09 00:00:00	75.48975
2000-04-10 00:00:00	87.2575
2000-04-11 00:00:00	76.0245
2000-04-12 00:00:00	84.61575
2000-04-13 00:00:00	88.34325
2000-04-14 00:00:00	83.72125
2000-04-15 00:00:00	76.95
2000-04-16 00:00:00	83.85075
2000-04-17 00:00:00	88.949
2000-04-18 00:00:00	89.60875
2000-04-19 00:00:00	83.543
2000-04-20 00:00:00	91.232
2000-04-21 00:00:00	82.35
2000-04-22 00:00:00	80.80925
2000-04-23 00:00:00	80.05125
2000-04-24 00:00:00	77.97525
2000-04-25 00:00:00	77.90225
2000-04-26 00:00:00	77.09125
2000-04-27 00:00:00	75.87025
2000-04-28 00:00:00	75.544
2000-04-29 00:00:00	77.69275
2000-04-30 00:00:00	71.8675
2000-05-01 00:00:00	75.63825
2000-05-02 00:00:00	72.41725
2000-05-03 00:00:00	71.6685
2000-05-04 00:00:00	76.878
2000-05-05 00:00:00	73.73025
2000-05-06 00:00:00	80.059
2000-05-07 00:00:00	75.84975
2000-05-08 00:00:00	74.45425
2000-05-09 00:00:00	74.15675
2000-05-10 00:00:00	74.09775
2000-05-11 00:00:00	67.39275
2000-05-12 00:00:00	67.01925
2000-05-13 00:00:00	72.742
2000-05-14 00:00:00	69.12975
2000-05-15 00:00:00	66.29475
2000-05-16 00:00:00	65.03275
2000-05-17 00:00:00	74.15025
2000-05-18 00:00:00	74.69825
2000-05-19 00:00:00	72.2335
2000-05-20 00:00:00	70.23325
2000-05-21 00:00:00	60.8715
2000-05-22 00:00:00	64.89225
2000-05-23 00:00:00	67.03725
