end_of_interval	HS
2013-12-21 12:00:00	0.06573632         
2013-12-22 12:00:00	0.06573632         
2013-12-23 12:00:00	0.06573632         
2013-12-24 12:00:00	0.06573632         
2013-12-25 12:00:00	0.06573632         
2013-12-26 12:00:00	0.06573632         
2013-12-27 12:00:00	0.06573632         
2013-12-28 12:00:00	0.06573632         
2013-12-29 12:00:00	0.06573632         
2013-12-30 12:00:00	0.06573632         
2013-12-31 12:00:00	0.06573632         
2014-01-01 12:00:00	0.06573632         
2014-01-02 12:00:00	0.06573632         
2014-01-03 12:00:00	0.06573632         
2014-01-04 12:00:00	0.06573632         
2014-01-05 12:00:00	0.06573632         
2014-01-06 12:00:00	0.06573632         
2014-01-07 12:00:00	0.06573632         
2014-01-08 12:00:00	0.06573632         
2014-01-09 12:00:00	0.06573632         
2014-01-10 12:00:00	0.06573632         
2014-01-11 12:00:00	0.06573632         
2014-01-12 12:00:00	0.06573632         
2014-01-13 12:00:00	0.06573632         
2014-01-14 12:00:00	0.06573632         
2014-01-15 12:00:00	0.06573632         
2014-01-16 12:00:00	0.06573632         
2014-01-17 12:00:00	0.06573632         
2014-01-18 12:00:00	0.06573632         
2014-01-19 12:00:00	0.06573632         
2014-01-20 12:00:00	0.06573632         
2014-01-21 12:00:00	0.06573632         
2014-01-22 12:00:00	0.06573632         
2014-01-23 12:00:00	0.06573632         
2014-01-24 12:00:00	0.06573632         
2014-01-25 12:00:00	0.06573632         
2014-01-26 12:00:00	0.06573632         
2014-01-27 12:00:00	0.06573632         
2014-01-28 12:00:00	0.06573632         
2014-01-29 12:00:00	0.06573632         
2014-01-30 12:00:00	0.06573632         
2014-01-31 12:00:00	0.06573632         
2014-02-01 12:00:00	0.06573632         
2014-02-02 12:00:00	0.06573632         
2014-02-03 12:00:00	0.06573632         
2014-02-04 12:00:00	0.06573632         
2014-02-05 12:00:00	0.06573632         
2014-02-06 12:00:00	0.06573632         
2014-02-07 12:00:00	0.06573632         
2014-02-08 12:00:00	0.06573632         
2014-02-09 12:00:00	0.06573632         
2014-02-10 12:00:00	0.06573632         
2014-02-11 12:00:00	0.06573632         
2014-02-12 12:00:00	0.06573632         
2014-02-13 12:00:00	0.06573632         
2014-02-14 12:00:00	0.06573632         
2014-02-15 12:00:00	0.06573632         
2014-02-16 12:00:00	0.06573632         
2014-02-17 12:00:00	0.06573632         
2014-02-18 12:00:00	0.06573632         
2014-02-19 12:00:00	0.06573632         
2014-02-20 12:00:00	0.06573632         
2014-02-21 12:00:00	0.06573632         
2014-02-22 12:00:00	0.06573632         
2014-02-23 12:00:00	0.06573632         
2014-02-24 12:00:00	0.06573632         
2014-02-25 12:00:00	0.06573632         
2014-02-26 12:00:00	0.06573632         
2014-02-27 12:00:00	0.06573632         
2014-02-28 12:00:00	0.06573632         
2014-03-01 12:00:00	0.06573632         
2014-03-02 12:00:00	0.06573632         
2014-03-03 12:00:00	0.06573632         
2014-03-04 12:00:00	0.06573632         
2014-03-05 12:00:00	0.06573632         
2014-03-06 12:00:00	0.06573632         
2014-03-07 12:00:00	0.06573632         
2014-03-08 12:00:00	0.06573632         
2014-03-09 12:00:00	0.06573632         
2014-03-10 12:00:00	0.06573632         
2014-03-11 12:00:00	0.06573632         
2014-03-12 12:00:00	0.06573632         
2014-03-13 12:00:00	0.06573632         
