end_of_interval	HS
2013-12-20 18:00:00	0.2                
2013-12-21 18:00:00	0.2                
2013-12-22 18:00:00	0.2                
2013-12-23 18:00:00	0.2                
2013-12-24 18:00:00	0.2                
2013-12-25 18:00:00	0.2                
2013-12-26 18:00:00	0.2                
2013-12-27 18:00:00	0.2                
2013-12-28 18:00:00	0.2                
2013-12-29 18:00:00	0.2                
2013-12-30 18:00:00	0.2                
2013-12-31 18:00:00	0.2                
2014-01-01 18:00:00	0.2                
2014-01-02 18:00:00	0.2                
2014-01-03 18:00:00	0.2                
2014-01-04 18:00:00	0.2                
2014-01-05 18:00:00	0.2                
2014-01-06 18:00:00	0.2                
2014-01-07 18:00:00	0.2                
2014-01-08 18:00:00	0.2                
2014-01-09 18:00:00	0.2                
2014-01-10 18:00:00	0.2                
2014-01-11 18:00:00	0.2                
2014-01-12 18:00:00	0.2                
2014-01-13 18:00:00	0.2                
2014-01-14 18:00:00	0.2                
2014-01-15 18:00:00	0.2                
2014-01-16 18:00:00	0.2                
2014-01-17 18:00:00	0.2                
2014-01-18 18:00:00	0.2                
2014-01-19 18:00:00	0.2                
2014-01-20 18:00:00	0.2                
2014-01-21 18:00:00	0.2                
2014-01-22 18:00:00	0.2                
2014-01-23 18:00:00	0.2                
2014-01-24 18:00:00	0.2                
2014-01-25 18:00:00	0.2                
2014-01-26 18:00:00	0.2                
2014-01-27 18:00:00	0.2                
2014-01-28 18:00:00	0.2                
2014-01-29 18:00:00	0.2                
2014-01-30 18:00:00	0.2                
2014-01-31 18:00:00	0.2                
2014-02-01 18:00:00	0.2                
2014-02-02 18:00:00	0.2                
2014-02-03 18:00:00	0.2                
2014-02-04 18:00:00	0.2                
2014-02-05 18:00:00	0.2                
2014-02-06 18:00:00	0.2                
2014-02-07 18:00:00	0.2                
2014-02-08 18:00:00	0.2                
2014-02-09 18:00:00	0.2                
2014-02-10 18:00:00	0.2                
2014-02-11 18:00:00	0.2                
2014-02-12 18:00:00	0.2                
2014-02-13 18:00:00	0.2                
2014-02-14 18:00:00	0.2                
2014-02-15 18:00:00	0.2                
2014-02-16 18:00:00	0.2                
2014-02-17 18:00:00	0.2                
2014-02-18 18:00:00	0.2                
2014-02-19 18:00:00	0.2                
2014-02-20 18:00:00	0.2                
2014-02-21 18:00:00	0.2                
2014-02-22 18:00:00	0.2                
2014-02-23 18:00:00	0.2                
2014-02-24 18:00:00	0.2                
2014-02-25 18:00:00	0.2                
2014-02-26 18:00:00	0.2                
2014-02-27 18:00:00	0.2                
2014-02-28 18:00:00	0.2                
2014-03-01 18:00:00	0.2                
2014-03-02 18:00:00	0.2                
2014-03-03 18:00:00	0.2                
2014-03-04 18:00:00	0.2                
2014-03-05 18:00:00	0.2                
2014-03-06 18:00:00	0.2                
2014-03-07 18:00:00	0.2                
2014-03-08 18:00:00	0.2                
2014-03-09 18:00:00	0.2                
2014-03-10 18:00:00	0.2                
2014-03-11 18:00:00	0.2                
2014-03-12 18:00:00	0.2                
2014-03-13 18:00:00	0.2                
2014-03-14 18:00:00	0.2                
2014-03-15 18:00:00	0.2                
2014-03-16 18:00:00	0.2                
2014-03-17 18:00:00	0.2                
2014-03-18 18:00:00	0.2                
2014-03-19 18:00:00	0.2                
2014-03-20 18:00:00	0.2                
2014-03-21 18:00:00	0.2                
2014-03-22 18:00:00	0.2                
2014-03-23 18:00:00	0.2                
2014-03-24 18:00:00	0.2                
2014-03-25 18:00:00	0.2                
2014-03-26 18:00:00	0.2                
2014-03-27 18:00:00	0.2                
2014-03-28 18:00:00	0.2                
2014-03-29 18:00:00	0.2                
2014-03-30 18:00:00	0.2                
2014-03-31 18:00:00	0.2                
2014-04-01 18:00:00	0.2                
2014-04-02 18:00:00	0.2                
2014-04-03 18:00:00	0.2                
2014-04-04 18:00:00	0.2                
2014-04-05 18:00:00	0.2                
2014-04-06 18:00:00	0.2                
2014-04-07 18:00:00	0.2                
2014-04-08 18:00:00	0.2                
2014-04-09 18:00:00	0.2                
2014-04-10 18:00:00	0.2                
2014-04-11 18:00:00	0.2                
2014-04-12 18:00:00	0.2                
2014-04-13 18:00:00	0.2                
2014-04-14 18:00:00	0.2                
2014-04-15 18:00:00	0.2                
2014-04-16 18:00:00	0.2                
2014-04-17 18:00:00	0.2                
2014-04-18 18:00:00	0.2                
2014-04-19 18:00:00	0.2                
2014-04-20 18:00:00	0.2                
2014-04-21 18:00:00	0.2                
2014-04-22 18:00:00	0.2                
2014-04-23 18:00:00	0.2                
2014-04-24 18:00:00	0.2                
2014-04-25 18:00:00	0.2                
2014-04-26 18:00:00	0.2                
2014-04-27 18:00:00	0.2                
2014-04-28 18:00:00	0.2                
2014-04-29 18:00:00	0.2                
2014-04-30 18:00:00	0.2                
2014-05-01 18:00:00	0.2                
2014-05-02 18:00:00	0.2                
2014-05-03 18:00:00	0.2                
2014-05-04 18:00:00	0.2                
2014-05-05 18:00:00	0.2                
2014-05-06 18:00:00	0.2                
2014-05-07 18:00:00	0.2                
2014-05-08 18:00:00	0.2                
2014-05-09 18:00:00	0.2                
2014-05-10 18:00:00	0.2                
2014-05-11 18:00:00	0.2                
2014-05-12 18:00:00	0.2                
2014-05-13 18:00:00	0.2                
2014-05-14 18:00:00	0.2                
2014-05-15 18:00:00	0.2                
2014-05-16 18:00:00	0.2                
2014-05-17 18:00:00	0.2                
2014-05-18 18:00:00	0.2                
2014-05-19 18:00:00	0.2                
2014-05-20 18:00:00	0.2                
2014-05-21 18:00:00	0.2                
2014-05-22 18:00:00	0.2                
2014-05-23 18:00:00	0.2                
2014-05-24 18:00:00	0.2                
2014-05-25 18:00:00	0.2                
2014-05-26 18:00:00	0.2                
2014-05-27 18:00:00	0.2                
2014-05-28 18:00:00	0.2                
2014-05-29 18:00:00	0.2                
2014-05-30 18:00:00	0.2                
2014-05-31 18:00:00	0.2                
2014-06-01 18:00:00	0.2                
2014-06-02 18:00:00	0.2                
2014-06-03 18:00:00	0.2                
2014-06-04 18:00:00	0.2                
2014-06-05 18:00:00	0.2                
2014-06-06 18:00:00	0.2                
2014-06-07 18:00:00	0.2                
2014-06-08 18:00:00	0.2                
2014-06-09 18:00:00	0.2                
2014-06-10 18:00:00	0.2                
2014-06-11 18:00:00	0.2                
2014-06-12 18:00:00	0.2                
2014-06-13 18:00:00	0.2                
2014-06-14 18:00:00	0.2                
2014-06-15 18:00:00	0.2                
2014-06-16 18:00:00	0.2                
2014-06-17 18:00:00	0.2                
2014-06-18 18:00:00	0.2                
2014-06-19 18:00:00	0.2                
2014-06-20 18:00:00	0.2                
2014-06-21 18:00:00	0.2                
2014-06-22 18:00:00	0.2                
2014-06-23 18:00:00	0.2                
2014-06-24 18:00:00	0.2                
2014-06-25 18:00:00	0.2                
2014-06-26 18:00:00	0.2                
2014-06-27 18:00:00	0.2                
2014-06-28 18:00:00	0.2                
2014-06-29 18:00:00	0.2                
2014-06-30 18:00:00	0.2                
2014-07-01 18:00:00	0.2                
2014-07-02 18:00:00	0.2                
2014-07-03 18:00:00	0.2                
2014-07-04 18:00:00	0.2                
2014-07-05 18:00:00	0.2                
2014-07-06 18:00:00	0.2                
2014-07-07 18:00:00	0.2                
2014-07-08 18:00:00	0.2                
2014-07-09 18:00:00	0.2                
2014-07-10 18:00:00	0.2                
2014-07-11 18:00:00	0.2                
2014-07-12 18:00:00	0.2                
2014-07-13 18:00:00	0.2                
2014-07-14 18:00:00	0.2                
2014-07-15 18:00:00	0.2                
2014-07-16 18:00:00	0.2                
2014-07-17 18:00:00	0.2                
2014-07-18 18:00:00	0.2                
2014-07-19 18:00:00	0.2                
2014-07-20 18:00:00	0.2                
2014-07-21 18:00:00	0.2                
2014-07-22 18:00:00	0.2                
2014-07-23 18:00:00	0.2                
2014-07-24 18:00:00	0.2                
2014-07-25 18:00:00	0.2                
2014-07-26 18:00:00	0.2                
2014-07-27 18:00:00	0.2                
2014-07-28 18:00:00	0.2                
2014-07-29 18:00:00	0.2                
2014-07-30 18:00:00	0.2                
2014-07-31 18:00:00	0.2                
2014-08-01 18:00:00	0.2                
2014-08-02 18:00:00	0.2                
2014-08-03 18:00:00	0.2                
2014-08-04 18:00:00	0.2                
