end_of_interval	Met
2013-12-20 22:00:00	 76.20000          
2013-12-20 23:00:00	 79.10000          
2013-12-21 00:00:00	 82.80000          
2013-12-21 01:00:00	 84.90000          
2013-12-21 02:00:00	 86.80000          
2013-12-21 03:00:00	 81.90000          
2013-12-21 04:00:00	 78.80000          
2013-12-21 05:00:00	 78.80000          
2013-12-21 06:00:00	 81.10000          
2013-12-21 07:00:00	 81.60000          
2013-12-21 08:00:00	 79.40000          
2013-12-21 09:00:00	 77.60000          
2013-12-21 10:00:00	 75.30000          
2013-12-21 11:00:00	 67.82000          
2013-12-21 12:00:00	 56.57000          
2013-12-21 13:00:00	 50.22000          
2013-12-21 14:00:00	 46.48000          
2013-12-21 15:00:00	 42.96000          
2013-12-21 16:00:00	 42.35000          
2013-12-21 17:00:00	 51.86000          
2013-12-21 18:00:00	 71.60000          
2013-12-21 19:00:00	 70.70000          
2013-12-21 20:00:00	 66.78000          
2013-12-21 21:00:00	 67.00000          
2013-12-21 22:00:00	 69.40000          
2013-12-21 23:00:00	 73.40000          
2013-12-22 00:00:00	 73.10000          
2013-12-22 01:00:00	 78.50000          
2013-12-22 02:00:00	 82.00000          
2013-12-22 03:00:00	 85.00000          
2013-12-22 04:00:00	 83.10000          
2013-12-22 05:00:00	 85.70000          
2013-12-22 06:00:00	 85.30000          
2013-12-22 07:00:00	 85.70000          
2013-12-22 08:00:00	 89.70000          
2013-12-22 09:00:00	 87.80000          
2013-12-22 10:00:00	 79.80000          
2013-12-22 11:00:00	 75.20000          
2013-12-22 12:00:00	 69.61000          
2013-12-22 13:00:00	 59.16000          
2013-12-22 14:00:00	 52.87000          
2013-12-22 15:00:00	 52.68000          
2013-12-22 16:00:00	 52.72000          
2013-12-22 17:00:00	 57.21000          
2013-12-22 18:00:00	 66.30000          
2013-12-22 19:00:00	 78.00000          
2013-12-22 20:00:00	 80.30000          
2013-12-22 21:00:00	 68.88000          
2013-12-22 22:00:00	 70.50000          
2013-12-22 23:00:00	 76.90000          
2013-12-23 00:00:00	 78.40000          
