end_of_interval	out
2000-01-01 00:00:00	31.6787
2000-01-02 00:00:00	31.8495
2000-01-03 00:00:00	32.2293
2000-01-04 00:00:00	26.991
2000-01-05 00:00:00	30.3832
2000-01-06 00:00:00	29.3083
2000-01-07 00:00:00	29.8
2000-01-08 00:00:00	28.6997
2000-01-09 00:00:00	27.4365
2000-01-10 00:00:00	29.6992
2000-01-11 00:00:00	30.5691
2000-01-12 00:00:00	31.152
2000-01-13 00:00:00	28.2556
2000-01-14 00:00:00	26.453
2000-01-15 00:00:00	26.9738
2000-01-16 00:00:00	30.1162
2000-01-17 00:00:00	30.3154
2000-01-18 00:00:00	30.5419
2000-01-19 00:00:00	30.9369
2000-01-20 00:00:00	31.8531
2000-01-21 00:00:00	30.6078
2000-01-22 00:00:00	31.722
2000-01-23 00:00:00	29.3917
2000-01-24 00:00:00	29.8889
2000-01-25 00:00:00	31.4437
2000-01-26 00:00:00	32.0242
2000-01-27 00:00:00	32.8753
2000-01-28 00:00:00	33.0246
2000-01-29 00:00:00	32.3712
2000-01-30 00:00:00	32.1813
2000-01-31 00:00:00	32.7232
2000-02-01 00:00:00	34.2928
2000-02-02 00:00:00	33.2612
2000-02-03 00:00:00	31.5871
2000-02-04 00:00:00	29.9738
2000-02-05 00:00:00	32.1723
2000-02-06 00:00:00	33.06
2000-02-07 00:00:00	32.5192
2000-02-08 00:00:00	31.3076
2000-02-09 00:00:00	27.3578
2000-02-10 00:00:00	30.7871
2000-02-11 00:00:00	30.7723
2000-02-12 00:00:00	31.8058
2000-02-13 00:00:00	30.5139
2000-02-14 00:00:00	27.4038
2000-02-15 00:00:00	29.3625
2000-02-16 00:00:00	29.3482
2000-02-17 00:00:00	28.8756
2000-02-18 00:00:00	29.2455
2000-02-19 00:00:00	29.8943
2000-02-20 00:00:00	29.4217
2000-02-21 00:00:00	30.1958
2000-02-22 00:00:00	29.4444
2000-02-23 00:00:00	29.0694
2000-02-24 00:00:00	28.3691
2000-02-25 00:00:00	29.3524
2000-02-26 00:00:00	30.3423
2000-02-27 00:00:00	29.7134
2000-02-28 00:00:00	29.0994
2000-02-29 00:00:00	29.4796
2000-03-01 00:00:00	29.5272
2000-03-02 00:00:00	28.7328
2000-03-03 00:00:00	27.5102
2000-03-04 00:00:00	29.421
2000-03-05 00:00:00	29.8702
2000-03-06 00:00:00	28.692
2000-03-07 00:00:00	30.1648
2000-03-08 00:00:00	30.4889
2000-03-09 00:00:00	29.5185
2000-03-10 00:00:00	29.6596
2000-03-11 00:00:00	30.2402
2000-03-12 00:00:00	31.673
2000-03-13 00:00:00	30.3112
2000-03-14 00:00:00	28.4405
2000-03-15 00:00:00	29.3828
2000-03-16 00:00:00	29.2265
2000-03-17 00:00:00	27.3225
2000-03-18 00:00:00	29.8196
2000-03-19 00:00:00	29.7867
2000-03-20 00:00:00	31.0152
2000-03-21 00:00:00	30.6414
2000-03-22 00:00:00	31.2628
2000-03-23 00:00:00	29.4476
2000-03-24 00:00:00	30.0109
2000-03-25 00:00:00	28.7087
2000-03-26 00:00:00	29.2308
2000-03-27 00:00:00	30.8682
2000-03-28 00:00:00	30.361
2000-03-29 00:00:00	30.3272
2000-03-30 00:00:00	27.4917
2000-03-31 00:00:00	28.6842
2000-04-01 00:00:00	29.4206
2000-04-02 00:00:00	29.338
2000-04-03 00:00:00	30.147
2000-04-04 00:00:00	30.2495
2000-04-05 00:00:00	30.508
2000-04-06 00:00:00	30.6979
2000-04-07 00:00:00	30.6004
2000-04-08 00:00:00	31.0542
2000-04-09 00:00:00	29.6842
2000-04-10 00:00:00	26.872
2000-04-11 00:00:00	30.3224
2000-04-12 00:00:00	28.2308
2000-04-13 00:00:00	28.2853
2000-04-14 00:00:00	28.6104
2000-04-15 00:00:00	30.0256
2000-04-16 00:00:00	29.3859
2000-04-17 00:00:00	27.777
2000-04-18 00:00:00	28.294
2000-04-19 00:00:00	29.0748
2000-04-20 00:00:00	29.2704
2000-04-21 00:00:00	30.2304
2000-04-22 00:00:00	30.2304
2000-04-23 00:00:00	29.816
2000-04-24 00:00:00	30.0156
2000-04-25 00:00:00	28.8842
2000-04-26 00:00:00	27.722
2000-04-27 00:00:00	29.4885
