UTC	event
2016-11-21 17:29:21	Logging started.
2016-11-21 17:29:21	Range checks in data access functions: DISABLED
2016-11-21 17:29:21	Reading configuration data
2016-11-21 17:29:21	Querying frequently used control data
2016-11-21 17:29:21	Setting number of threads
2016-11-21 17:29:21	Number of threads (if >=1 parallel objects): 1
2016-11-21 17:29:21	Instantiating object groups
2016-11-21 17:29:21	Instantiating objects
2016-11-21 17:29:21	Initializing object outputs
2016-11-21 17:29:21	Switching on debug mode for selected objects
2016-11-21 17:29:21	Setting times of state output
2016-11-21 17:29:21	Assigning simulated inputs to objects (object linkage)
2016-11-21 17:29:21	Setting object levels
2016-11-21 17:29:21	Setting up processing tree for selected objects
2016-11-21 17:29:21	Levels for (optional) parallel processing: 2
2016-11-21 17:29:21	Reading tables of individual parameter functions
2016-11-21 17:29:21	Initializing individual parameter functions
2016-11-21 17:29:21	Clearing tables of individual parameter functions
2016-11-21 17:29:21	Reading tables of individual scalar parameters
2016-11-21 17:29:21	Initializing individual scalar parameters
2016-11-21 17:29:21	Clearing tables of individual scalar parameters
2016-11-21 17:29:21	Setting shared parameter functions
2016-11-21 17:29:21	Setting shared scalar parameters
2016-11-21 17:29:21	Initializing time series of external variables
2016-11-21 17:29:21	Assigning external time series to objects
2016-11-21 17:29:21	Setting initial values of scalar state variables
2016-11-21 17:29:21	Setting initial values of vector state variables
2016-11-21 17:29:21	Initializing simulation time
2016-11-21 17:29:21	Simulation started
2016-11-21 17:29:21	01% done.  Computing time remaining: 0h 00m 00s 
2016-11-21 17:29:21	02% done.  Computing time remaining: 0h 00m 00s 
2016-11-21 17:29:21	Stopped due to exception. See traceback for details.
