end_of_interval HS
2014-04-07 15:00:00 23.9               
2014-04-07 16:00:00 24.0333333333333   
2014-04-07 17:00:00 23.5333333333333   
2014-04-07 18:00:00 22.3666666666667   
2014-04-07 19:00:00 20.7333333333333   
2014-04-07 20:00:00 17.9666666666667   
2014-04-07 21:00:00 16.2666666666667   
2014-04-07 22:00:00 15                 
2014-04-07 23:00:00 13.85              
2014-04-08 00:00:00 13.1166666666667   
2014-04-08 01:00:00 12.4               
2014-04-08 02:00:00 12                 
2014-04-08 03:00:00 12.05              
2014-04-08 04:00:00 12.15              
2014-04-08 05:00:00 12.25              
2014-04-08 06:00:00 12.2               
2014-04-08 07:00:00 12                 
2014-04-08 08:00:00 12.1833333333333   
2014-04-08 09:00:00 14.5               
2014-04-08 10:00:00 17.7833333333333   
2014-04-08 11:00:00 20.1166666666667   
2014-04-08 12:00:00 22.3               
2014-04-08 13:00:00 24.2666666666667   
2014-04-08 14:00:00 25.4333333333333   
2014-04-08 15:00:00 26.1               
2014-04-08 16:00:00 26.7               
2014-04-08 17:00:00 26.7666666666667   
2014-04-08 18:00:00 26.25              
2014-04-08 19:00:00 24.4666666666667   
2014-04-08 20:00:00 21.1166666666667   
2014-04-08 21:00:00 20.0333333333333   
2014-04-08 22:00:00 18.7666666666667   
2014-04-08 23:00:00 17.7166666666667   
2014-04-09 00:00:00 16.65              
2014-04-09 01:00:00 18.8               
2014-04-09 02:00:00 18.2166666666667   
2014-04-09 03:00:00 16.9833333333333   
2014-04-09 04:00:00 16.4666666666667   
2014-04-09 05:00:00 16.0666666666667   
2014-04-09 06:00:00 16.2666666666667   
2014-04-09 07:00:00 16.65              
2014-04-09 08:00:00 17.3166666666667   
2014-04-09 09:00:00 18.8166666666667   
2014-04-09 10:00:00 20.0166666666667   
2014-04-09 11:00:00 22.3333333333333   
2014-04-09 12:00:00 22.1666666666667   
2014-04-09 13:00:00 22.7333333333333   
2014-04-09 14:00:00 21.9               
2014-04-09 15:00:00 22.5               
2014-04-09 16:00:00 21.7               
2014-04-09 17:00:00 23.7666666666667   
2014-04-09 18:00:00 22.5166666666667   
2014-04-09 19:00:00 21.6               
2014-04-09 20:00:00 20.6166666666667   
2014-04-09 21:00:00 19.8333333333333   
2014-04-09 22:00:00 18.8166666666667   
2014-04-09 23:00:00 18.5833333333333   
2014-04-10 00:00:00 18.2166666666667   
2014-04-10 01:00:00 17.05              
2014-04-10 02:00:00 14.65              
