end_of_interval	out
2000-01-31 00:00:00	NA
2000-02-29 00:00:00	NA
2000-03-31 00:00:00	NA
2000-04-30 00:00:00	NA
2000-05-31 00:00:00	NA
2000-06-30 00:00:00	NA
2000-07-31 00:00:00	NA
2000-08-31 00:00:00	NA
2000-09-30 00:00:00	NA
2000-10-31 00:00:00	NA
2000-11-30 00:00:00	NA
2000-12-31 00:00:00	NA
2001-01-31 00:00:00	NA
2001-02-28 00:00:00	NA
2001-03-31 00:00:00	NA
2001-04-30 00:00:00	NA
2001-05-31 00:00:00	NA
2001-06-30 00:00:00	NA
2001-07-31 00:00:00	NA
2001-08-31 00:00:00	NA
2001-09-30 00:00:00	NA
2001-10-31 00:00:00	NA
2001-11-30 00:00:00	NA
2001-12-31 00:00:00	NA
2002-01-31 00:00:00	NA
2002-02-28 00:00:00	NA
2002-03-31 00:00:00	NA
2002-04-30 00:00:00	NA
2002-05-31 00:00:00	NA
2002-06-30 00:00:00	NA
2002-07-31 00:00:00	NA
2002-08-31 00:00:00	NA
2002-09-30 00:00:00	NA
2002-10-31 00:00:00	NA
2002-11-30 00:00:00	NA
2002-12-31 00:00:00	NA
2003-01-31 00:00:00	158.028149843
2003-02-28 00:00:00	115.369647996
2003-03-31 00:00:00	112.834967815
2003-04-30 00:00:00	106.966310717
2003-05-31 00:00:00	102.189154621
2003-06-30 00:00:00	38.439391974
2003-07-31 00:00:00	0.7375
2003-08-31 00:00:00	4.674
2003-09-30 00:00:00	NA
2003-10-31 00:00:00	NA
2003-11-30 00:00:00	NA
2003-12-31 00:00:00	NA
2004-01-31 00:00:00	NA
2004-02-29 00:00:00	NA
2004-03-31 00:00:00	NA
2004-04-30 00:00:00	NA
2004-05-31 00:00:00	NA
2004-06-30 00:00:00	NA
2004-07-31 00:00:00	NA
2004-08-31 00:00:00	NA
2004-09-30 00:00:00	NA
2004-10-31 00:00:00	NA
2004-11-30 00:00:00	NA
2004-12-31 00:00:00	NA
2005-01-31 00:00:00	NA
2005-02-28 00:00:00	NA
2005-03-31 00:00:00	NA
2005-04-30 00:00:00	NA
2005-05-31 00:00:00	NA
2005-06-30 00:00:00	NA
2005-07-31 00:00:00	NA
2005-08-31 00:00:00	NA
2005-09-30 00:00:00	NA
2005-10-31 00:00:00	NA
2005-11-30 00:00:00	NA
2005-12-31 00:00:00	NA
2006-01-31 00:00:00	NA
2006-02-28 00:00:00	NA
2006-03-31 00:00:00	NA
2006-04-30 00:00:00	NA
2006-05-31 00:00:00	NA
2006-06-30 00:00:00	14.3556
2006-07-31 00:00:00	66.233002528
2006-08-31 00:00:00	73.1888
2006-09-30 00:00:00	0.346
2006-10-31 00:00:00	15.1654
2006-11-30 00:00:00	1.9861
2006-12-31 00:00:00	31.9295
2007-01-31 00:00:00	38.5818
2007-02-28 00:00:00	103.527021362
2007-03-31 00:00:00	108.675813114
2007-04-30 00:00:00	107.608619048
2007-05-31 00:00:00	87.959165403
2007-06-30 00:00:00	9.677134597
2007-07-31 00:00:00	NA
2007-08-31 00:00:00	0.3552
2007-09-30 00:00:00	0.0518
2007-10-31 00:00:00	0.1592
2007-11-30 00:00:00	1.7544
2007-12-31 00:00:00	64.9938
2008-01-31 00:00:00	77.1058
2008-02-29 00:00:00	104.376387178
2008-03-31 00:00:00	98.871180004
2008-04-30 00:00:00	97.003410531
2008-05-31 00:00:00	94.073010199
2008-06-30 00:00:00	21.528718508
2008-07-31 00:00:00	NA
2008-08-31 00:00:00	5.339284972
2008-09-30 00:00:00	0.543142125
2008-10-31 00:00:00	0.127427793
2008-11-30 00:00:00	0.365798905
2008-12-31 00:00:00	53.858846655
2009-01-31 00:00:00	95.229031535
2009-02-28 00:00:00	82.418944204
2009-03-31 00:00:00	88.019397729
2009-04-30 00:00:00	98.681126553
2009-05-31 00:00:00	95.624076609
2009-06-30 00:00:00	65.939834112
2009-07-31 00:00:00	60.300807752
2009-08-31 00:00:00	28.934936158
2009-09-30 00:00:00	10.057160302
2009-10-31 00:00:00	5.351754186
2009-11-30 00:00:00	7.99813594
2009-12-31 00:00:00	70.64070802
2010-01-31 00:00:00	87.065224255
2010-02-28 00:00:00	64.283554526
2010-03-31 00:00:00	125.393684331
2010-04-30 00:00:00	98.748765097
2010-05-31 00:00:00	NA
2010-06-30 00:00:00	30.630571753
2010-07-31 00:00:00	3.917081304
2010-08-31 00:00:00	NA
2010-09-30 00:00:00	1.178242796
2010-10-31 00:00:00	51.623694875
2010-11-30 00:00:00	0.300640232
2010-12-31 00:00:00	107.409902256
2011-01-31 00:00:00	111.372824091
2011-02-28 00:00:00	92.696796079
2011-03-31 00:00:00	103.713977815
2011-04-30 00:00:00	96.133646951
2011-05-31 00:00:00	84.418633841
2011-06-30 00:00:00	45.411792605
2011-07-31 00:00:00	NA
2011-08-31 00:00:00	25.374071293
2011-09-30 00:00:00	4.512670367
2011-10-31 00:00:00	24.807089666
2011-11-30 00:00:00	9.468394014
2011-12-31 00:00:00	11.693426892
2012-01-31 00:00:00	40.919313574
2012-02-29 00:00:00	110.59537193
2012-03-31 00:00:00	101.098544963
2012-04-30 00:00:00	54.741109824
2012-05-31 00:00:00	23.489480462
2012-06-30 00:00:00	17.67786316
2012-07-31 00:00:00	NA
2012-08-31 00:00:00	0.958848848
2012-09-30 00:00:00	1.552242623
2012-10-31 00:00:00	0.102938535
2012-11-30 00:00:00	0.950368744
2012-12-31 00:00:00	11.333501741
2013-01-31 00:00:00	104.712301216
2013-02-28 00:00:00	45.400673648
2013-03-31 00:00:00	75.1579399
2013-04-30 00:00:00	87.65071668
2013-05-31 00:00:00	28.747111619
2013-06-30 00:00:00	17.508976163
2013-07-31 00:00:00	NA
2013-08-31 00:00:00	11.300079099
2013-09-30 00:00:00	4.23677682
2013-10-31 00:00:00	9.564905598
2013-11-30 00:00:00	23.705618749
2013-12-31 00:00:00	42.910388591
