id	x	y	z	name
82683	343940.584996151	9336594.68178941	398.77	TAUA
82686	467927.413093563	9296990.9923973	217.67	IGUATU
82777	347563.184673125	9226027.37851783	583.5	CAMPOSSALES
111	311602.734049599	9312630.39938759	-9999	PARAMBU
120	386200.388467932	9215659.63800173	-9999	POTENGI
128	400494.517443215	9277786.94224807	-9999	SABOEIRO
131	419036.070144699	9205956.25327543	-9999	SANTANA DO CARI
14	374871.334290381	9203986.61584584	-9999	ARARIPE
142	356150.010545229	9335915.37006636	-9999	TAUA
151	467374.089501867	9250674.95261584	-9999	VARZEA ALEGRE
155	418856.282483304	9327565.39057403	-9999	TRUSSU
159	371101.452927347	9237148.08509606	-9999	CARMELOPOLES
16	371800.669522011	9300640.148248	-9999	ARNEIROZ
166	352895.053332092	9229980.51075974	-9999	ITAGUA
169	433632.195427262	9305473.80216278	-9999	EBRON
17	403671.932135068	9240574.39504963	-9999	ASSARE
178	325561.630571253	9351193.91890582	-9999	SANTA TEREZA
179	336293.77035652	9353517.67678466	-9999	SAO JOAO DO TRI
180	365986.266523325	9354344.21029803	-9999	CARRAPATEIRAS
190	350651.981558781	9370529.66644816	-9999	IAPI
28	349054.853148691	9218622.98710192	-9999	CAMPOS SALES
295	386450.666327528	9205242.5014526	-9999	BREJINHO
3	451004.453017096	9324541.91963391	-9999	ACOPIARA
307	339212.745024911	9194830.03264322	-9999	SALITRE
309	463673.570457807	9266978.2581278	-9999	CAIPU
314	452606.585677198	9213209.18131084	-9999	PONTA DA SERRA
321	454729.743388392	9292854.99754477	-9999	BAU
34	444720.717731388	9277848.42158406	-9999	CARIUS
358	311034.166116942	9353827.0532659	-9999	QUITERIANOPOLIS
359	416272.565563362	9261315.72356091	-9999	TARRAFAS
37	403117.145020572	9321710.16423961	-9999	CATARINA
4	376542.094773	9273979.74692814	-9999	AIUABA
428	354436.870056179	9270277.11348673	-9999	ESTACAO ECOLOGI
45	436856.728886476	9234716.02610802	-9999	FARIAS BRITO
555	376400.938132538	9340318.09845844	-9999	AC. FAVELAS
570	371451.571660005	9203842.8792931	-9999	PAJEU
573	404248.679963211	9222293.27524878	-9999	ARATAMA
574	447960.106618373	9221658.71248178	-9999	DOM QUINTINO
586	463143.210112542	9288918.27334554	-9999	QUIXOA
589	452324.478793057	9315125.09049606	-9999	CAIXA
59	466146.527130953	9295402.4130202	-9999	IGUATU
595	383963.491343353	9251883.05611239	-9999	VARZEA NOVA
596	348990.853107053	9240738.41027436	-9999	BARAO DE AQUIRA
598	332338.642251222	9264685.11130222	-9999	BOM NOME
599	348878.171097342	9281319.7639544	-9999	FAZENDA NOVA
6	418353.132114875	9226104.02883697	-9999	ALTANEIRA
649	374633.981322518	9364143.96601805	-9999	ALTAMIRA
650	308958.535341489	9286841.11030167	-9999	CANABRAVA-COCOG
79	442845.501712077	9279615.310642	-9999	JUCAS
9	390848.229801079	9251074.41072321	-9999	ANTONINA DO NOR
99	424543.248339455	9215140.84190561	-9999	NOVA OLINDA
