end_of_interval	tower
2014-01-02 00:00:00	 5.20842077        
2014-01-02 01:00:00	 5.22714851        
2014-01-02 02:00:00	 5.49247076        
2014-01-02 03:00:00	 5.43898110        
2014-01-02 04:00:00	 3.11262511        
2014-01-02 05:00:00	 3.11262511        
2014-01-02 06:00:00	 3.11262511        
2014-01-02 07:00:00	 4.94041649        
2014-01-02 08:00:00	 5.29550350        
2014-01-02 09:00:00	 5.11906842        
2014-01-02 10:00:00	 5.66923021        
2014-01-02 11:00:00	 5.45845648        
2014-01-02 12:00:00	 5.13812004        
2014-01-02 13:00:00	 5.20885401        
2014-01-02 14:00:00	 4.43528693        
2014-01-02 15:00:00	 4.37447105        
2014-01-02 16:00:00	 3.11262511        
2014-01-02 17:00:00	 3.60322256        
2014-01-02 18:00:00	 3.11262511        
2014-01-02 19:00:00	 4.07555934        
2014-01-02 20:00:00	 3.45328783        
2014-01-02 21:00:00	 4.32309866        
2014-01-02 22:00:00	 3.11262511        
2014-01-02 23:00:00	 3.11262511        
2014-01-03 00:00:00	 3.11262511        
2014-01-03 01:00:00	 3.11262511        
2014-01-03 02:00:00	 3.11262511        
2014-01-03 03:00:00	 3.11262511        
2014-01-03 04:00:00	 3.11262511        
2014-01-03 05:00:00	 3.11262511        
2014-01-03 06:00:00	 3.11262511        
2014-01-03 07:00:00	 3.11262511        
2014-01-03 08:00:00	 3.11262511        
2014-01-03 09:00:00	 0.94047703        
2014-01-03 10:00:00	 3.11262511        
2014-01-03 11:00:00	 3.11262511        
2014-01-03 12:00:00	 3.11262511        
2014-01-03 13:00:00	 3.05593790        
2014-01-03 14:00:00	 2.74649720        
2014-01-03 15:00:00	 1.43046631        
2014-01-03 16:00:00	 0.62177037        
2014-01-03 17:00:00	 1.30177009        
2014-01-03 18:00:00	 3.11262511        
2014-01-03 19:00:00	 3.11262511        
2014-01-03 20:00:00	 3.11262511        
2014-01-03 21:00:00	 3.11262511        
2014-01-03 22:00:00	 3.11262511        
2014-01-03 23:00:00	 3.11262511        
2014-01-04 00:00:00	 3.11262511        
2014-01-04 01:00:00	 3.11262511        
2014-01-04 02:00:00	 3.11262511        
2014-01-04 03:00:00	 3.11262511        
2014-01-04 04:00:00	 3.11262511        
2014-01-04 05:00:00	 3.11262511        
2014-01-04 06:00:00	 3.11262511        
2014-01-04 07:00:00	 3.11262511        
2014-01-04 08:00:00	 8.07993710        
2014-01-04 09:00:00	 6.58346951        
2014-01-04 10:00:00	 5.82424827        
2014-01-04 11:00:00	 7.35900981        
2014-01-04 12:00:00	 5.67558268        
2014-01-04 13:00:00	 6.12723289        
2014-01-04 14:00:00	 4.84234999        
2014-01-04 15:00:00	 4.62526412        
2014-01-04 16:00:00	 3.11262511        
2014-01-04 17:00:00	 2.94326314        
2014-01-04 18:00:00	 1.83970593        
2014-01-04 19:00:00	 1.99771131        
2014-01-04 20:00:00	 3.11262511        
2014-01-04 21:00:00	 2.30106950        
2014-01-04 22:00:00	 3.11262511        
2014-01-04 23:00:00	 3.11262511        
2014-01-05 00:00:00	 3.11262511        
2014-01-05 01:00:00	 3.11262511        
2014-01-05 02:00:00	 3.11262511        
2014-01-05 03:00:00	 3.11262511        
2014-01-05 04:00:00	 3.11262511        
2014-01-05 05:00:00	 3.11262511        
2014-01-05 06:00:00	 3.11262511        
2014-01-05 07:00:00	 3.11262511        
2014-01-05 08:00:00	 3.11262511        
2014-01-05 09:00:00	 3.11262511        
2014-01-05 10:00:00	 3.11262511        
2014-01-05 11:00:00	 3.11262511        
2014-01-05 12:00:00	 3.11262511        
2014-01-05 13:00:00	 3.11262511        
2014-01-05 14:00:00	 3.11262511        
2014-01-05 15:00:00	 3.11262511        
2014-01-05 16:00:00	 3.11262511        
2014-01-05 17:00:00	 3.11262511        
2014-01-05 18:00:00	 3.11262511        
2014-01-05 19:00:00	 3.11262511        
2014-01-05 20:00:00	 3.11262511        
2014-01-05 21:00:00	 3.11262511        
2014-01-05 22:00:00	 3.11262511        
2014-01-05 23:00:00	 3.11262511        
2014-01-06 00:00:00	 3.11262511        
2014-01-06 01:00:00	 3.11262511        
2014-01-06 02:00:00	 3.11262511        
2014-01-06 03:00:00	 3.11262511        
2014-01-06 04:00:00	 3.11262511        
2014-01-06 05:00:00	 3.11262511        
2014-01-06 06:00:00	 3.11262511        
2014-01-06 07:00:00	 3.11262511        
2014-01-06 08:00:00	 3.11262511        
2014-01-06 09:00:00	 3.11262511        
2014-01-06 10:00:00	 3.11262511        
2014-01-06 11:00:00	 3.11262511        
2014-01-06 12:00:00	 3.11262511        
2014-01-06 13:00:00	 3.11262511        
2014-01-06 14:00:00	 3.11262511        
2014-01-06 15:00:00	 3.11262511        
2014-01-06 16:00:00	 3.11262511        
2014-01-06 17:00:00	 3.11262511        
2014-01-06 18:00:00	 3.11262511        
