UTC	event
2017-06-17 09:18:00	Logging started.
2017-06-17 09:18:00	Range checks in data access functions: DISABLED
2017-06-17 09:18:00	Reading configuration data
2017-06-17 09:18:00	Querying frequently used control data
2017-06-17 09:18:00	Setting number of threads
2017-06-17 09:18:00	Number of threads (if >=1 parallel objects): 1
2017-06-17 09:18:00	Instantiating object groups
2017-06-17 09:18:00	Instantiating objects
2017-06-17 09:18:00	Initializing object outputs
2017-06-17 09:18:00	Switching on debug mode for selected objects
2017-06-17 09:18:00	Setting times of state output
2017-06-17 09:18:00	Assigning simulated inputs to objects (object linkage)
2017-06-17 09:18:00	Setting object levels
2017-06-17 09:18:00	Setting up processing tree for selected objects
2017-06-17 09:18:00	Levels for (optional) parallel processing: 2
2017-06-17 09:18:00	Reading tables of individual parameter functions
2017-06-17 09:18:00	Initializing individual parameter functions
2017-06-17 09:18:00	Clearing tables of individual parameter functions
2017-06-17 09:18:00	Reading tables of individual scalar parameters
2017-06-17 09:18:00	Initializing individual scalar parameters
2017-06-17 09:18:00	Clearing tables of individual scalar parameters
2017-06-17 09:18:00	Setting shared parameter functions
2017-06-17 09:18:00	Setting shared scalar parameters
2017-06-17 09:18:00	Initializing time series of external variables
2017-06-17 09:18:00	Assigning external time series to objects
2017-06-17 09:18:00	Setting initial values of scalar state variables
2017-06-17 09:18:00	Setting initial values of vector state variables
2017-06-17 09:18:00	Initializing simulation time
2017-06-17 09:18:00	Simulation started
2017-06-17 09:18:00	01% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 09:18:00	02% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 09:18:00	05% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 09:18:00	10% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 09:18:00	Stopped due to exception. See traceback for details.
