end_of_interval	Met
2013-06-14 00:00:00	   3.279           
2013-06-14 01:00:00	   3.256           
2013-06-14 02:00:00	   3.238           
2013-06-14 03:00:00	   3.227           
2013-06-14 04:00:00	   3.216           
2013-06-14 05:00:00	   3.251           
2013-06-14 06:00:00	  25.660           
2013-06-14 07:00:00	 192.100           
2013-06-14 08:00:00	 406.300           
2013-06-14 09:00:00	 604.800           
2013-06-14 10:00:00	 774.000           
2013-06-14 11:00:00	 888.000           
2013-06-14 12:00:00	 941.000           
2013-06-14 13:00:00	 957.000           
2013-06-14 14:00:00	 917.000           
2013-06-14 15:00:00	 836.000           
2013-06-14 16:00:00	 693.300           
2013-06-14 17:00:00	 504.400           
2013-06-14 18:00:00	 325.400           
2013-06-14 19:00:00	 162.600           
2013-06-14 20:00:00	  11.200           
2013-06-14 21:00:00	   3.297           
2013-06-14 22:00:00	   3.298           
2013-06-14 23:00:00	   3.288           
2013-06-15 00:00:00	   3.285           
2013-06-15 01:00:00	   3.258           
2013-06-15 02:00:00	   3.243           
2013-06-15 03:00:00	   3.266           
2013-06-15 04:00:00	   3.253           
2013-06-15 05:00:00	   3.222           
2013-06-15 06:00:00	  26.880           
2013-06-15 07:00:00	 205.700           
2013-06-15 08:00:00	 414.800           
2013-06-15 09:00:00	 613.000           
2013-06-15 10:00:00	 780.000           
2013-06-15 11:00:00	 894.000           
2013-06-15 12:00:00	 953.000           
2013-06-15 13:00:00	 970.000           
2013-06-15 14:00:00	 941.000           
2013-06-15 15:00:00	 853.000           
2013-06-15 16:00:00	 703.000           
2013-06-15 17:00:00	 518.100           
2013-06-15 18:00:00	 317.900           
2013-06-15 19:00:00	 120.500           
2013-06-15 20:00:00	   7.140           
2013-06-15 21:00:00	   3.299           
2013-06-15 22:00:00	   3.299           
2013-06-15 23:00:00	   3.298           
2013-06-16 00:00:00	   3.290           
2013-06-16 01:00:00	   3.287           
2013-06-16 02:00:00	   3.282           
2013-06-16 03:00:00	   3.261           
2013-06-16 04:00:00	   3.262           
2013-06-16 05:00:00	   3.258           
2013-06-16 06:00:00	  26.250           
2013-06-16 07:00:00	 197.200           
2013-06-16 08:00:00	 411.100           
2013-06-16 09:00:00	 599.600           
2013-06-16 10:00:00	 775.000           
2013-06-16 11:00:00	 892.000           
2013-06-16 12:00:00	 952.000           
2013-06-16 13:00:00	 960.000           
2013-06-16 14:00:00	 924.000           
2013-06-16 15:00:00	 830.000           
2013-06-16 16:00:00	 687.600           
2013-06-16 17:00:00	 509.900           
2013-06-16 18:00:00	 302.400           
2013-06-16 19:00:00	 109.900           
2013-06-16 20:00:00	   6.837           
2013-06-16 21:00:00	   3.298           
2013-06-16 22:00:00	   3.297           
2013-06-16 23:00:00	   3.288           
2013-06-17 00:00:00	   3.278           
2013-06-17 01:00:00	   3.269           
2013-06-17 02:00:00	   3.251           
2013-06-17 03:00:00	   3.203           
2013-06-17 04:00:00	   3.235           
2013-06-17 05:00:00	   3.250           
2013-06-17 06:00:00	  10.620           
2013-06-17 07:00:00	  96.500           
2013-06-17 08:00:00	 414.900           
2013-06-17 09:00:00	 554.200           
2013-06-17 10:00:00	 776.000           
2013-06-17 11:00:00	 893.000           
2013-06-17 12:00:00	 930.000           
2013-06-17 13:00:00	 975.000           
2013-06-17 14:00:00	 936.000           
2013-06-17 15:00:00	 859.000           
2013-06-17 16:00:00	 724.000           
2013-06-17 17:00:00	 547.400           
2013-06-17 18:00:00	 339.400           
2013-06-17 19:00:00	 136.500           
2013-06-17 20:00:00	   6.008           
2013-06-17 21:00:00	   3.295           
2013-06-17 22:00:00	   3.293           
2013-06-17 23:00:00	   3.292           
2013-06-18 00:00:00	   3.274           
2013-06-18 01:00:00	   3.240           
2013-06-18 02:00:00	   3.244           
2013-06-18 03:00:00	   3.251           
2013-06-18 04:00:00	   3.277           
2013-06-18 05:00:00	   3.273           
2013-06-18 06:00:00	   5.508           
2013-06-18 07:00:00	  54.520           
2013-06-18 08:00:00	 168.400           
2013-06-18 09:00:00	 417.400           
2013-06-18 10:00:00	 839.000           
2013-06-18 11:00:00	 918.000           
2013-06-18 12:00:00	1009.000           
2013-06-18 13:00:00	 879.000           
2013-06-18 14:00:00	 946.000           
2013-06-18 15:00:00	 873.000           
2013-06-18 16:00:00	 741.000           
2013-06-18 17:00:00	 564.200           
2013-06-18 18:00:00	 354.900           
2013-06-18 19:00:00	 141.200           
2013-06-18 20:00:00	   7.190           
2013-06-18 21:00:00	   3.284           
2013-06-18 22:00:00	   3.283           
2013-06-18 23:00:00	   3.278           
2013-06-19 00:00:00	   3.271           
2013-06-19 01:00:00	   3.211           
2013-06-19 02:00:00	   3.232           
2013-06-19 03:00:00	   3.218           
2013-06-19 04:00:00	   3.187           
2013-06-19 05:00:00	   3.185           
2013-06-19 06:00:00	  24.590           
2013-06-19 07:00:00	 241.200           
2013-06-19 08:00:00	 450.400           
2013-06-19 09:00:00	 653.500           
2013-06-19 10:00:00	 815.000           
2013-06-19 11:00:00	 924.000           
2013-06-19 12:00:00	 988.000           
2013-06-19 13:00:00	 998.000           
2013-06-19 14:00:00	 967.000           
2013-06-19 15:00:00	 882.000           
2013-06-19 16:00:00	 749.000           
2013-06-19 17:00:00	 569.500           
2013-06-19 18:00:00	 361.400           
2013-06-19 19:00:00	 152.000           
2013-06-19 20:00:00	   7.490           
2013-06-19 21:00:00	   3.287           
2013-06-19 22:00:00	   3.293           
2013-06-19 23:00:00	   3.281           
2013-06-20 00:00:00	   3.276           
2013-06-20 01:00:00	   3.264           
2013-06-20 02:00:00	   3.233           
2013-06-20 03:00:00	   3.202           
2013-06-20 04:00:00	   3.227           
2013-06-20 05:00:00	   3.231           
2013-06-20 06:00:00	  25.520           
2013-06-20 07:00:00	 214.800           
2013-06-20 08:00:00	 432.100           
2013-06-20 09:00:00	 629.800           
2013-06-20 10:00:00	 791.000           
2013-06-20 11:00:00	 902.000           
2013-06-20 12:00:00	 939.000           
2013-06-20 13:00:00	 979.000           
2013-06-20 14:00:00	 947.000           
2013-06-20 15:00:00	 862.000           
2013-06-20 16:00:00	 726.000           
2013-06-20 17:00:00	 546.800           
2013-06-20 18:00:00	 342.100           
2013-06-20 19:00:00	 137.200           
2013-06-20 20:00:00	   8.230           
2013-06-20 21:00:00	   3.296           
2013-06-20 22:00:00	   3.297           
2013-06-20 23:00:00	   3.290           
2013-06-21 00:00:00	   3.287           
2013-06-21 01:00:00	   3.275           
2013-06-21 02:00:00	   3.268           
2013-06-21 03:00:00	   3.257           
2013-06-21 04:00:00	   3.249           
2013-06-21 05:00:00	   3.276           
2013-06-21 06:00:00	  22.860           
2013-06-21 07:00:00	 223.300           
2013-06-21 08:00:00	 437.700           
2013-06-21 09:00:00	 616.400           
2013-06-21 10:00:00	 797.000           
2013-06-21 11:00:00	 917.000           
2013-06-21 12:00:00	 896.000           
2013-06-21 13:00:00	 983.000           
2013-06-21 14:00:00	 903.000           
2013-06-21 15:00:00	 860.000           
2013-06-21 16:00:00	 719.000           
2013-06-21 17:00:00	 539.900           
2013-06-21 18:00:00	 336.100           
2013-06-21 19:00:00	 127.100           
2013-06-21 20:00:00	   7.540           
2013-06-21 21:00:00	   3.299           
2013-06-21 22:00:00	   3.295           
2013-06-21 23:00:00	   3.286           
2013-06-22 00:00:00	   3.263           
2013-06-22 01:00:00	   3.244           
2013-06-22 02:00:00	   3.228           
2013-06-22 03:00:00	   3.228           
2013-06-22 04:00:00	   3.248           
2013-06-22 05:00:00	   3.237           
2013-06-22 06:00:00	  25.020           
2013-06-22 07:00:00	 222.000           
2013-06-22 08:00:00	 440.200           
2013-06-22 09:00:00	 637.300           
2013-06-22 10:00:00	 799.000           
2013-06-22 11:00:00	 912.000           
2013-06-22 12:00:00	 784.000           
2013-06-22 13:00:00	 979.000           
2013-06-22 14:00:00	 921.000           
2013-06-22 15:00:00	 865.000           
2013-06-22 16:00:00	 724.000           
2013-06-22 17:00:00	 548.400           
2013-06-22 18:00:00	 342.800           
2013-06-22 19:00:00	 138.400           
2013-06-22 20:00:00	   7.460           
2013-06-22 21:00:00	   3.298           
2013-06-22 22:00:00	   3.299           
2013-06-22 23:00:00	   3.297           
2013-06-23 00:00:00	   3.279           
2013-06-23 01:00:00	   3.250           
2013-06-23 02:00:00	   3.291           
2013-06-23 03:00:00	   3.251           
2013-06-23 04:00:00	   3.253           
2013-06-23 05:00:00	   3.236           
2013-06-23 06:00:00	  24.570           
2013-06-23 07:00:00	 216.800           
2013-06-23 08:00:00	 434.300           
2013-06-23 09:00:00	 630.400           
2013-06-23 10:00:00	 800.000           
2013-06-23 11:00:00	 919.000           
2013-06-23 12:00:00	 978.000           
2013-06-23 13:00:00	 989.000           
2013-06-23 14:00:00	 958.000           
2013-06-23 15:00:00	 874.000           
2013-06-23 16:00:00	 729.000           
2013-06-23 17:00:00	 528.300           
2013-06-23 18:00:00	 324.700           
2013-06-23 19:00:00	 124.400           
2013-06-23 20:00:00	   8.170           
2013-06-23 21:00:00	   3.299           
2013-06-23 22:00:00	   3.296           
2013-06-23 23:00:00	   3.282           
2013-06-24 00:00:00	   3.259           
2013-06-24 01:00:00	   3.247           
2013-06-24 02:00:00	   3.238           
2013-06-24 03:00:00	   3.245           
2013-06-24 04:00:00	   3.255           
2013-06-24 05:00:00	   3.257           
2013-06-24 06:00:00	  25.770           
2013-06-24 07:00:00	 207.200           
2013-06-24 08:00:00	 418.400           
2013-06-24 09:00:00	 609.600           
2013-06-24 10:00:00	 771.000           
2013-06-24 11:00:00	 894.000           
2013-06-24 12:00:00	 959.000           
2013-06-24 13:00:00	 968.000           
2013-06-24 14:00:00	 935.000           
2013-06-24 15:00:00	 851.000           
2013-06-24 16:00:00	 710.000           
2013-06-24 17:00:00	 522.100           
2013-06-24 18:00:00	 312.200           
2013-06-24 19:00:00	 109.400           
2013-06-24 20:00:00	   7.380           
2013-06-24 21:00:00	   3.296           
2013-06-24 22:00:00	   3.293           
2013-06-24 23:00:00	   3.270           
2013-06-25 00:00:00	   3.250           
2013-06-25 01:00:00	   3.250           
2013-06-25 02:00:00	   3.240           
2013-06-25 03:00:00	   3.240           
2013-06-25 04:00:00	   3.229           
2013-06-25 05:00:00	   3.255           
2013-06-25 06:00:00	  23.540           
