end_of_interval	Met
2013-06-14 00:00:00	0.396              
2013-06-14 01:00:00	0.319              
2013-06-14 02:00:00	0.563              
2013-06-14 03:00:00	0.709              
2013-06-14 04:00:00	0.668              
2013-06-14 05:00:00	0.639              
2013-06-14 06:00:00	0.330              
2013-06-14 07:00:00	1.094              
2013-06-14 08:00:00	0.596              
2013-06-14 09:00:00	0.736              
2013-06-14 10:00:00	1.242              
2013-06-14 11:00:00	1.801              
2013-06-14 12:00:00	1.840              
2013-06-14 13:00:00	1.779              
2013-06-14 14:00:00	1.581              
2013-06-14 15:00:00	1.409              
2013-06-14 16:00:00	1.879              
2013-06-14 17:00:00	1.861              
2013-06-14 18:00:00	1.788              
2013-06-14 19:00:00	3.727              
2013-06-14 20:00:00	2.566              
2013-06-14 21:00:00	1.079              
2013-06-14 22:00:00	0.510              
2013-06-14 23:00:00	0.683              
2013-06-15 00:00:00	0.596              
2013-06-15 01:00:00	0.419              
2013-06-15 02:00:00	0.548              
2013-06-15 03:00:00	0.182              
2013-06-15 04:00:00	0.406              
2013-06-15 05:00:00	0.399              
2013-06-15 06:00:00	0.188              
2013-06-15 07:00:00	0.752              
2013-06-15 08:00:00	0.838              
2013-06-15 09:00:00	1.426              
2013-06-15 10:00:00	1.113              
2013-06-15 11:00:00	1.456              
2013-06-15 12:00:00	1.670              
2013-06-15 13:00:00	1.758              
2013-06-15 14:00:00	1.996              
2013-06-15 15:00:00	1.809              
2013-06-15 16:00:00	1.494              
2013-06-15 17:00:00	1.567              
2013-06-15 18:00:00	2.399              
2013-06-15 19:00:00	2.050              
2013-06-15 20:00:00	1.914              
2013-06-15 21:00:00	0.693              
2013-06-15 22:00:00	0.495              
2013-06-15 23:00:00	0.679              
2013-06-16 00:00:00	0.790              
2013-06-16 01:00:00	0.644              
2013-06-16 02:00:00	0.347              
2013-06-16 03:00:00	0.695              
2013-06-16 04:00:00	1.083              
2013-06-16 05:00:00	0.790              
2013-06-16 06:00:00	0.977              
2013-06-16 07:00:00	1.031              
2013-06-16 08:00:00	1.451              
2013-06-16 09:00:00	1.675              
