UTC	event
2017-01-13 12:42:40	Logging started.
2017-01-13 12:42:40	Range checks in data access functions: DISABLED
2017-01-13 12:42:40	Reading configuration data
2017-01-13 12:42:40	Querying frequently used control data
2017-01-13 12:42:40	Setting number of threads
2017-01-13 12:42:40	Number of threads (if >=1 parallel objects): 1
2017-01-13 12:42:40	Instantiating object groups
2017-01-13 12:42:40	Instantiating objects
2017-01-13 12:42:40	Initializing object outputs
2017-01-13 12:42:40	Switching on debug mode for selected objects
2017-01-13 12:42:40	Setting times of state output
2017-01-13 12:42:40	Assigning simulated inputs to objects (object linkage)
2017-01-13 12:42:40	Setting object levels
2017-01-13 12:42:40	Setting up processing tree for selected objects
2017-01-13 12:42:40	Levels for (optional) parallel processing: 2
2017-01-13 12:42:40	Reading tables of individual parameter functions
2017-01-13 12:42:40	Initializing individual parameter functions
2017-01-13 12:42:40	Clearing tables of individual parameter functions
2017-01-13 12:42:40	Reading tables of individual scalar parameters
2017-01-13 12:42:40	Initializing individual scalar parameters
2017-01-13 12:42:40	Clearing tables of individual scalar parameters
2017-01-13 12:42:40	Setting shared parameter functions
2017-01-13 12:42:40	Setting shared scalar parameters
2017-01-13 12:42:40	Initializing time series of external variables
2017-01-13 12:42:40	Assigning external time series to objects
2017-01-13 12:42:40	Setting initial values of scalar state variables
2017-01-13 12:42:40	Setting initial values of vector state variables
2017-01-13 12:42:40	Initializing simulation time
2017-01-13 12:42:40	Simulation started
2017-01-13 12:42:40	01% done.  Computing time remaining: 0h 00m 00s 
2017-01-13 12:42:40	02% done.  Computing time remaining: 0h 00m 00s 
2017-01-13 12:42:40	05% done.  Computing time remaining: 0h 00m 00s 
2017-01-13 12:42:40	10% done.  Computing time remaining: 0h 00m 00s 
2017-01-13 12:42:40	20% done.  Computing time remaining: 0h 00m 00s 
2017-01-13 12:42:40	50% done.  Computing time remaining: 0h 00m 00s 
2017-01-13 12:42:40	Simulation finished
2017-01-13 12:42:40	Closing output files
2017-01-13 12:42:40	Final clean-up
2017-01-13 12:42:40	Finished successfully after 00h 00m 00s (0s)
