end_of_interval	tower
2014-01-02 00:00:00	 -10.184           
2014-01-02 01:00:00	  -1.490           
2014-01-02 02:00:00	  -1.145           
2014-01-02 03:00:00	  -0.636           
2014-01-02 04:00:00	  -0.767           
2014-01-02 05:00:00	  -0.790           
2014-01-02 06:00:00	  -1.001           
2014-01-02 07:00:00	  -0.748           
2014-01-02 08:00:00	  -1.082           
2014-01-02 09:00:00	  -0.370           
2014-01-02 10:00:00	  12.063           
2014-01-02 11:00:00	  28.135           
2014-01-02 12:00:00	  35.820           
2014-01-02 13:00:00	  41.069           
2014-01-02 14:00:00	  41.088           
2014-01-02 15:00:00	  45.197           
2014-01-02 16:00:00	  49.112           
2014-01-02 17:00:00	  20.068           
2014-01-02 18:00:00	   1.374           
2014-01-02 19:00:00	  -7.237           
2014-01-02 20:00:00	  -9.678           
2014-01-02 21:00:00	 -17.555           
2014-01-02 22:00:00	 -13.141           
2014-01-02 23:00:00	 -15.533           
2014-01-03 00:00:00	 -13.154           
2014-01-03 01:00:00	 -34.095           
2014-01-03 02:00:00	 -32.174           
2014-01-03 03:00:00	 -12.017           
2014-01-03 04:00:00	  -9.256           
2014-01-03 05:00:00	  -9.916           
2014-01-03 06:00:00	  -6.747           
2014-01-03 07:00:00	  -8.719           
2014-01-03 08:00:00	  -2.826           
2014-01-03 09:00:00	   0.009           
2014-01-03 10:00:00	  29.537           
2014-01-03 11:00:00	  44.458           
2014-01-03 12:00:00	 101.665           
2014-01-03 13:00:00	  69.702           
2014-01-03 14:00:00	  49.877           
2014-01-03 15:00:00	  61.333           
2014-01-03 16:00:00	  60.088           
2014-01-03 17:00:00	  32.457           
2014-01-03 18:00:00	   0.270           
2014-01-03 19:00:00	 -20.524           
2014-01-03 20:00:00	 -10.721           
2014-01-03 21:00:00	 -12.031           
2014-01-03 22:00:00	 -14.455           
2014-01-03 23:00:00	 -14.541           
2014-01-04 00:00:00	  -8.435           
2014-01-04 01:00:00	  -9.305           
2014-01-04 02:00:00	 -21.997           
2014-01-04 03:00:00	 -19.377           
2014-01-04 04:00:00	 -38.472           
2014-01-04 05:00:00	 -15.075           
2014-01-04 06:00:00	 -23.117           
2014-01-04 07:00:00	 -28.481           
2014-01-04 08:00:00	 -24.101           
2014-01-04 09:00:00	 -15.101           
2014-01-04 10:00:00	  -3.675           
2014-01-04 11:00:00	  19.030           
2014-01-04 12:00:00	  31.190           
2014-01-04 13:00:00	  58.650           
2014-01-04 14:00:00	  79.020           
2014-01-04 15:00:00	  68.640           
2014-01-04 16:00:00	  56.120           
2014-01-04 17:00:00	  -7.800           
2014-01-04 18:00:00	 -40.050           
2014-01-04 19:00:00	 -32.244           
2014-01-04 20:00:00	 -80.111           
2014-01-04 21:00:00	 -73.723           
2014-01-04 22:00:00	 -64.437           
2014-01-04 23:00:00	 -30.991           
2014-01-05 00:00:00	 -19.177           
2014-01-05 01:00:00	 -22.456           
2014-01-05 02:00:00	 -38.990           
2014-01-05 03:00:00	  -7.228           
2014-01-05 04:00:00	 -19.164           
2014-01-05 05:00:00	 -32.458           
2014-01-05 06:00:00	 -57.484           
2014-01-05 07:00:00	 -42.475           
2014-01-05 08:00:00	 -31.827           
2014-01-05 09:00:00	  -1.923           
2014-01-05 10:00:00	  16.695           
2014-01-05 11:00:00	  59.560           
2014-01-05 12:00:00	 143.490           
2014-01-05 13:00:00	 296.500           
2014-01-05 14:00:00	 211.750           
2014-01-05 15:00:00	 141.700           
2014-01-05 16:00:00	 165.700           
2014-01-05 17:00:00	  55.800           
2014-01-05 18:00:00	 -47.520           
2014-01-05 19:00:00	 -70.715           
2014-01-05 20:00:00	 -42.263           
2014-01-05 21:00:00	 -30.962           
2014-01-05 22:00:00	 -26.948           
2014-01-05 23:00:00	 -37.073           
2014-01-06 00:00:00	 -48.893           
2014-01-06 01:00:00	 -15.394           
2014-01-06 02:00:00	  -7.108           
2014-01-06 03:00:00	 -19.583           
2014-01-06 04:00:00	 -24.180           
2014-01-06 05:00:00	 -15.415           
2014-01-06 06:00:00	  -9.773           
2014-01-06 07:00:00	  -6.310           
2014-01-06 08:00:00	  -5.012           
2014-01-06 09:00:00	  -1.106           
2014-01-06 10:00:00	  18.907           
2014-01-06 11:00:00	  75.400           
2014-01-06 12:00:00	 161.380           
2014-01-06 13:00:00	  55.660           
2014-01-06 14:00:00	  91.027           
2014-01-06 15:00:00	  68.227           
2014-01-06 16:00:00	  93.866           
2014-01-06 17:00:00	  13.283           
2014-01-06 18:00:00	   4.783           
2014-01-06 19:00:00	  -3.630           
2014-01-06 20:00:00	  -5.069           
2014-01-06 21:00:00	  -3.926           
2014-01-06 22:00:00	  -2.492           
2014-01-06 23:00:00	  -2.605           
2014-01-07 00:00:00	  -1.728           
2014-01-07 01:00:00	  -2.065           
2014-01-07 02:00:00	  -1.601           
2014-01-07 03:00:00	  -1.261           
2014-01-07 04:00:00	  -1.655           
2014-01-07 05:00:00	  -1.638           
2014-01-07 06:00:00	  -1.403           
2014-01-07 07:00:00	  -2.277           
2014-01-07 08:00:00	  -3.085           
2014-01-07 09:00:00	  -2.479           
2014-01-07 10:00:00	  19.874           
2014-01-07 11:00:00	  32.492           
2014-01-07 12:00:00	  76.928           
2014-01-07 13:00:00	  74.344           
2014-01-07 14:00:00	  96.651           
2014-01-07 15:00:00	  40.268           
2014-01-07 16:00:00	  31.260           
2014-01-07 17:00:00	  14.143           
2014-01-07 18:00:00	   1.213           
2014-01-07 19:00:00	  -2.515           
2014-01-07 20:00:00	  -1.992           
2014-01-07 21:00:00	 -18.323           
2014-01-07 22:00:00	 -26.833           
2014-01-07 23:00:00	  -8.849           
2014-01-08 00:00:00	  -5.478           
2014-01-08 01:00:00	 -20.241           
2014-01-08 02:00:00	 -43.480           
2014-01-08 03:00:00	 -29.828           
2014-01-08 04:00:00	 -12.116           
2014-01-08 05:00:00	  -9.820           
2014-01-08 06:00:00	 -11.298           
2014-01-08 07:00:00	 -10.235           
2014-01-08 08:00:00	 -10.143           
2014-01-08 09:00:00	  -6.848           
2014-01-08 10:00:00	  18.340           
2014-01-08 11:00:00	  58.600           
2014-01-08 12:00:00	  90.120           
2014-01-08 13:00:00	 151.160           
2014-01-08 14:00:00	 240.800           
2014-01-08 15:00:00	 205.100           
2014-01-08 16:00:00	 135.400           
2014-01-08 17:00:00	   2.700           
2014-01-08 18:00:00	 -33.560           
2014-01-08 19:00:00	 -56.489           
2014-01-08 20:00:00	 -65.418           
2014-01-08 21:00:00	 -71.696           
2014-01-08 22:00:00	 -74.493           
2014-01-08 23:00:00	 -70.564           
2014-01-09 00:00:00	 -64.733           
2014-01-09 01:00:00	 -65.970           
2014-01-09 02:00:00	 -63.965           
2014-01-09 03:00:00	 -56.468           
2014-01-09 04:00:00	 -57.109           
2014-01-09 05:00:00	 -60.861           
2014-01-09 06:00:00	 -47.611           
2014-01-09 07:00:00	 -54.802           
2014-01-09 08:00:00	 -59.735           
2014-01-09 09:00:00	 -52.884           
2014-01-09 10:00:00	  -3.930           
2014-01-09 11:00:00	  70.200           
2014-01-09 12:00:00	 185.000           
2014-01-09 13:00:00	 197.800           
2014-01-09 14:00:00	 240.900           
2014-01-09 15:00:00	 166.300           
2014-01-09 16:00:00	 100.600           
2014-01-09 17:00:00	   5.900           
2014-01-09 18:00:00	 -47.470           
2014-01-09 19:00:00	 -79.400           
2014-01-09 20:00:00	 -79.407           
2014-01-09 21:00:00	 -77.494           
2014-01-09 22:00:00	 -77.450           
2014-01-09 23:00:00	 -73.176           
