end_of_interval	tower
2014-04-07 22:00:00	9.999074e+03       
2014-04-07 23:00:00	9.999073e+03       
2014-04-08 00:00:00	9.999037e+03       
2014-04-08 01:00:00	9.999067e+03       
2014-04-08 02:00:00	9.999041e+03       
2014-04-08 03:00:00	9.999075e+03       
2014-04-08 04:00:00	9.999070e+03       
2014-04-08 05:00:00	9.999062e+03       
2014-04-08 06:00:00	9.999129e+03       
2014-04-08 07:00:00	9.999064e+03       
2014-04-08 08:00:00	9.999024e+03       
2014-04-08 09:00:00	9.999076e+03       
2014-04-08 10:00:00	2.202082e+00       
2014-04-08 11:00:00	9.999123e+03       
2014-04-08 12:00:00	1.030994e+00       
2014-04-08 13:00:00	1.399870e+00       
2014-04-08 14:00:00	1.140319e+00       
2014-04-08 15:00:00	1.190004e+00       
2014-04-08 16:00:00	1.584109e+00       
2014-04-08 17:00:00	9.999034e+03       
2014-04-08 18:00:00	9.279097e-01       
2014-04-08 19:00:00	1.188157e+00       
2014-04-08 20:00:00	2.223532e+00       
2014-04-08 21:00:00	9.999042e+03       
2014-04-08 22:00:00	9.999042e+03       
2014-04-08 23:00:00	9.999094e+03       
2014-04-09 00:00:00	9.999050e+03       
2014-04-09 01:00:00	5.166137e+00       
2014-04-09 02:00:00	3.672726e+00       
2014-04-09 03:00:00	3.339153e+00       
2014-04-09 04:00:00	4.274989e+00       
2014-04-09 05:00:00	3.623248e+00       
2014-04-09 06:00:00	4.538856e+00       
2014-04-09 07:00:00	5.321709e+00       
2014-04-09 08:00:00	5.533432e+00       
2014-04-09 09:00:00	9.999227e+03       
2014-04-09 10:00:00	5.337881e+00       
2014-04-09 11:00:00	2.344436e+00       
2014-04-09 12:00:00	9.999190e+03       
2014-04-09 13:00:00	9.999198e+03       
2014-04-09 14:00:00	9.999413e+03       
2014-04-09 15:00:00	4.408825e+00       
2014-04-09 16:00:00	3.510894e+00       
2014-04-09 17:00:00	9.999302e+03       
2014-04-09 18:00:00	3.853658e+00       
2014-04-09 19:00:00	3.710758e+00       
2014-04-09 20:00:00	9.999130e+03       
2014-04-09 21:00:00	9.999202e+03       
