end_of_interval	out
2000-01-01 00:00:00	226.990356
2000-01-02 00:00:00	262.084609
2000-01-03 00:00:00	228.352979
2000-01-04 00:00:00	105.5799034
2000-01-05 00:00:00	203.282257
2000-01-06 00:00:00	173.26603
2000-01-07 00:00:00	185.871236
2000-01-08 00:00:00	137.38165
2000-01-09 00:00:00	134.996498
2000-01-10 00:00:00	222.011838
2000-01-11 00:00:00	280.114536
2000-01-12 00:00:00	263.558974
2000-01-13 00:00:00	124.3307195
2000-01-14 00:00:00	117.0154887
2000-01-15 00:00:00	109.4373187
2000-01-16 00:00:00	234.662979
2000-01-17 00:00:00	205.571076
2000-01-18 00:00:00	202.050905
2000-01-19 00:00:00	211.204964
2000-01-20 00:00:00	239.570856
2000-01-21 00:00:00	185.920234
2000-01-22 00:00:00	232.430542
2000-01-23 00:00:00	108.2220169
2000-01-24 00:00:00	147.436954
2000-01-25 00:00:00	268.045849
2000-01-26 00:00:00	268.811054
2000-01-27 00:00:00	229.765986
2000-01-28 00:00:00	225.643554
2000-01-29 00:00:00	270.369723
2000-01-30 00:00:00	276.820734
2000-01-31 00:00:00	261.804253
2000-02-01 00:00:00	271.171897
2000-02-02 00:00:00	249.544222
2000-02-03 00:00:00	224.294453
2000-02-04 00:00:00	94.6633502
2000-02-05 00:00:00	200.733212
2000-02-06 00:00:00	187.682763
2000-02-07 00:00:00	222.553062
2000-02-08 00:00:00	184.998601
2000-02-09 00:00:00	152.485098
2000-02-10 00:00:00	213.790315
2000-02-11 00:00:00	246.703361
2000-02-12 00:00:00	267.985495
2000-02-13 00:00:00	192.027077
2000-02-14 00:00:00	171.170468
2000-02-15 00:00:00	172.991529
2000-02-16 00:00:00	177.67127
2000-02-17 00:00:00	134.37515
2000-02-18 00:00:00	197.352459
2000-02-19 00:00:00	202.516303
2000-02-20 00:00:00	243.789629
2000-02-21 00:00:00	247.173021
2000-02-22 00:00:00	228.030956
2000-02-23 00:00:00	227.463183
2000-02-24 00:00:00	145.716983
2000-02-25 00:00:00	222.12108
2000-02-26 00:00:00	259.465846
2000-02-27 00:00:00	239.5353
2000-02-28 00:00:00	130.630191
2000-02-29 00:00:00	181.467076
2000-03-01 00:00:00	150.989706
2000-03-02 00:00:00	175.1129785
2000-03-03 00:00:00	147.271783
2000-03-04 00:00:00	219.808693
2000-03-05 00:00:00	157.090933
2000-03-06 00:00:00	139.825733
2000-03-07 00:00:00	227.553527
2000-03-08 00:00:00	257.253657
2000-03-09 00:00:00	164.240599
2000-03-10 00:00:00	244.669395
2000-03-11 00:00:00	273.464207
2000-03-12 00:00:00	222.326208
2000-03-13 00:00:00	198.412834
2000-03-14 00:00:00	140.160577
2000-03-15 00:00:00	228.196614
2000-03-16 00:00:00	208.212281
2000-03-17 00:00:00	138.270245
2000-03-18 00:00:00	263.086585
2000-03-19 00:00:00	246.82978
2000-03-20 00:00:00	230.060887
2000-03-21 00:00:00	262.507476
2000-03-22 00:00:00	270.608463
2000-03-23 00:00:00	195.168943
2000-03-24 00:00:00	171.906814
2000-03-25 00:00:00	134.769364
2000-03-26 00:00:00	164.121161
2000-03-27 00:00:00	198.349034
2000-03-28 00:00:00	148.928768
2000-03-29 00:00:00	196.9796105
2000-03-30 00:00:00	131.0864072
2000-03-31 00:00:00	193.747204
2000-04-01 00:00:00	246.311684
2000-04-02 00:00:00	249.985298
2000-04-03 00:00:00	245.797359
2000-04-04 00:00:00	284.872916
2000-04-05 00:00:00	260.114952
2000-04-06 00:00:00	266.373059
2000-04-07 00:00:00	209.456124
2000-04-08 00:00:00	226.977321
2000-04-09 00:00:00	220.475412
2000-04-10 00:00:00	93.20514
2000-04-11 00:00:00	255.887329
2000-04-12 00:00:00	139.883988
2000-04-13 00:00:00	110.6889971
2000-04-14 00:00:00	166.748256
2000-04-15 00:00:00	219.203453
2000-04-16 00:00:00	188.303255
2000-04-17 00:00:00	124.141596
2000-04-18 00:00:00	152.723869
2000-04-19 00:00:00	185.154492
2000-04-20 00:00:00	159.878856
2000-04-21 00:00:00	174.87354
2000-04-22 00:00:00	217.193048
2000-04-23 00:00:00	225.181974
2000-04-24 00:00:00	233.555379
2000-04-25 00:00:00	186.466942
2000-04-26 00:00:00	172.2687729
2000-04-27 00:00:00	197.081906
2000-04-28 00:00:00	244.53045
2000-04-29 00:00:00	173.858836
2000-04-30 00:00:00	244.298589
2000-05-01 00:00:00	235.78986
2000-05-02 00:00:00	184.115002
2000-05-03 00:00:00	246.582063
2000-05-04 00:00:00	136.056416
2000-05-05 00:00:00	174.568212
2000-05-06 00:00:00	147.167328
2000-05-07 00:00:00	178.018874
2000-05-08 00:00:00	233.809229
2000-05-09 00:00:00	228.340987
2000-05-10 00:00:00	232.048213
2000-05-11 00:00:00	234.406513
2000-05-12 00:00:00	241.147611
2000-05-13 00:00:00	212.394277
2000-05-14 00:00:00	229.419713
2000-05-15 00:00:00	242.968197
2000-05-16 00:00:00	203.267247
2000-05-17 00:00:00	174.392201
2000-05-18 00:00:00	173.674021
2000-05-19 00:00:00	171.314323
2000-05-20 00:00:00	201.460218
2000-05-21 00:00:00	237.43115
2000-05-22 00:00:00	198.429848
2000-05-23 00:00:00	181.672298
2000-05-24 00:00:00	219.771608
2000-05-25 00:00:00	247.515806
2000-05-26 00:00:00	224.817066
2000-05-27 00:00:00	244.42098
2000-05-28 00:00:00	240.78393
2000-05-29 00:00:00	233.450141
2000-05-30 00:00:00	165.263052
2000-05-31 00:00:00	167.759302
2000-06-01 00:00:00	161.455061
2000-06-02 00:00:00	222.802249
2000-06-03 00:00:00	232.396948
2000-06-04 00:00:00	240.851352
2000-06-05 00:00:00	203.587313
2000-06-06 00:00:00	125.679066
2000-06-07 00:00:00	133.42146
2000-06-08 00:00:00	160.297632
2000-06-09 00:00:00	153.053052
2000-06-10 00:00:00	224.467951
2000-06-11 00:00:00	115.939308
2000-06-12 00:00:00	185.310386
2000-06-13 00:00:00	240.850607
2000-06-14 00:00:00	214.715666
2000-06-15 00:00:00	142.651082
2000-06-16 00:00:00	99.5836688
2000-06-17 00:00:00	169.152331
2000-06-18 00:00:00	206.508667
2000-06-19 00:00:00	224.331976
