UTC	event
2016-03-09 12:36:45	Logging started.
2016-03-09 12:36:45	Range checks in data access functions: DISABLED
2016-03-09 12:36:45	Reading configuration data
2016-03-09 12:36:45	Querying frequently used control data
2016-03-09 12:36:45	Setting number of threads
2016-03-09 12:36:45	Number of threads (if >=1 parallel objects): 1
2016-03-09 12:36:45	Instantiating object groups
2016-03-09 12:36:45	Instantiating objects
2016-03-09 12:36:45	Initializing object outputs
2016-03-09 12:36:45	Switching on debug mode for selected objects
2016-03-09 12:36:45	Setting times of state output
2016-03-09 12:36:45	Assigning simulated inputs to objects (object linkage)
2016-03-09 12:36:45	Setting object levels
2016-03-09 12:36:45	Setting up processing tree for selected objects
2016-03-09 12:36:45	Levels for (optional) parallel processing: 2
2016-03-09 12:36:45	Reading tables of individual parameter functions
2016-03-09 12:36:45	Initializing individual parameter functions
2016-03-09 12:36:45	Clearing tables of individual parameter functions
2016-03-09 12:36:45	Reading tables of individual scalar parameters
2016-03-09 12:36:45	Initializing individual scalar parameters
2016-03-09 12:36:45	Clearing tables of individual scalar parameters
2016-03-09 12:36:45	Setting shared parameter functions
2016-03-09 12:36:45	Setting shared scalar parameters
2016-03-09 12:36:45	Initializing time series of external variables
2016-03-09 12:36:45	Assigning external time series to objects
2016-03-09 12:36:45	Setting initial values of scalar state variables
2016-03-09 12:36:45	Setting initial values of vector state variables
2016-03-09 12:36:45	Initializing simulation time
2016-03-09 12:36:45	Simulation started
2016-03-09 12:36:45	01% done.  Computing time remaining: 0h 00m 00s 
2016-03-09 12:36:45	02% done.  Computing time remaining: 0h 00m 00s 
2016-03-09 12:36:45	05% done.  Computing time remaining: 0h 00m 00s 
2016-03-09 12:36:45	10% done.  Computing time remaining: 0h 00m 00s 
2016-03-09 12:36:45	20% done.  Computing time remaining: 0h 00m 00s 
2016-03-09 12:36:45	50% done.  Computing time remaining: 0h 00m 00s 
2016-03-09 12:36:46	Simulation finished
2016-03-09 12:36:46	Closing output files
2016-03-09 12:36:46	Final clean-up
2016-03-09 12:36:46	Finished successfully after 00h 00m 01s (1s)
