UTC	event
2017-06-17 09:28:35	Logging started.
2017-06-17 09:28:35	Range checks in data access functions: DISABLED
2017-06-17 09:28:35	Reading configuration data
2017-06-17 09:28:35	Querying frequently used control data
2017-06-17 09:28:35	Setting number of threads
2017-06-17 09:28:35	Number of threads (if >=1 parallel objects): 1
2017-06-17 09:28:35	Instantiating object groups
2017-06-17 09:28:35	Instantiating objects
2017-06-17 09:28:35	Initializing object outputs
2017-06-17 09:28:35	Switching on debug mode for selected objects
2017-06-17 09:28:35	Setting times of state output
2017-06-17 09:28:35	Assigning simulated inputs to objects (object linkage)
2017-06-17 09:28:35	Setting object levels
2017-06-17 09:28:35	Setting up processing tree for selected objects
2017-06-17 09:28:35	Levels for (optional) parallel processing: 2
2017-06-17 09:28:35	Reading tables of individual parameter functions
2017-06-17 09:28:35	Initializing individual parameter functions
2017-06-17 09:28:35	Clearing tables of individual parameter functions
2017-06-17 09:28:35	Reading tables of individual scalar parameters
2017-06-17 09:28:35	Initializing individual scalar parameters
2017-06-17 09:28:35	Clearing tables of individual scalar parameters
2017-06-17 09:28:35	Setting shared parameter functions
2017-06-17 09:28:35	Setting shared scalar parameters
2017-06-17 09:28:35	Initializing time series of external variables
2017-06-17 09:28:35	Assigning external time series to objects
2017-06-17 09:28:35	Setting initial values of scalar state variables
2017-06-17 09:28:35	Setting initial values of vector state variables
2017-06-17 09:28:35	Initializing simulation time
2017-06-17 09:28:35	Simulation started
2017-06-17 09:28:35	01% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 09:28:35	02% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 09:28:35	05% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 09:28:35	10% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 09:28:35	20% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 09:28:35	50% done.  Computing time remaining: 0h 00m 00s 
2017-06-17 09:28:35	Simulation finished
2017-06-17 09:28:35	Closing output files
2017-06-17 09:28:35	Final clean-up
2017-06-17 09:28:35	Finished successfully after 00h 00m 00s (0s)
