end_of_interval	Met
2013-12-20 23:00:00	  0.000            
2013-12-21 00:00:00	  0.000            
2013-12-21 01:00:00	  0.000            
2013-12-21 02:00:00	  0.000            
2013-12-21 03:00:00	  0.000            
2013-12-21 04:00:00	  0.000            
2013-12-21 05:00:00	  0.000            
2013-12-21 06:00:00	  0.000            
2013-12-21 07:00:00	  0.000            
2013-12-21 08:00:00	  0.000            
2013-12-21 09:00:00	 43.830            
2013-12-21 10:00:00	161.800            
2013-12-21 11:00:00	266.000            
2013-12-21 12:00:00	334.800            
2013-12-21 13:00:00	333.800            
2013-12-21 14:00:00	349.200            
2013-12-21 15:00:00	290.800            
2013-12-21 16:00:00	141.000            
2013-12-21 17:00:00	 40.540            
2013-12-21 18:00:00	  0.000            
2013-12-21 19:00:00	  0.000            
2013-12-21 20:00:00	  0.000            
2013-12-21 21:00:00	  0.000            
2013-12-21 22:00:00	  0.000            
2013-12-21 23:00:00	  0.000            
2013-12-22 00:00:00	  0.000            
2013-12-22 01:00:00	  0.000            
2013-12-22 02:00:00	  0.000            
2013-12-22 03:00:00	  0.000            
2013-12-22 04:00:00	  0.000            
2013-12-22 05:00:00	  0.000            
2013-12-22 06:00:00	  0.000            
2013-12-22 07:00:00	  0.000            
2013-12-22 08:00:00	  0.000            
2013-12-22 09:00:00	 42.040            
2013-12-22 10:00:00	156.800            
2013-12-22 11:00:00	264.900            
2013-12-22 12:00:00	336.300            
2013-12-22 13:00:00	379.000            
2013-12-22 14:00:00	333.200            
2013-12-22 15:00:00	306.000            
2013-12-22 16:00:00	115.400            
2013-12-22 17:00:00	 41.780            
2013-12-22 18:00:00	  0.000            
2013-12-22 19:00:00	  0.000            
2013-12-22 20:00:00	  0.000            
2013-12-22 21:00:00	  0.000            
2013-12-22 22:00:00	  0.000            
2013-12-22 23:00:00	  0.000            
2013-12-23 00:00:00	  0.000            
2013-12-23 01:00:00	  0.000            
2013-12-23 02:00:00	  0.000            
2013-12-23 03:00:00	  0.000            
2013-12-23 04:00:00	  0.000            
2013-12-23 05:00:00	  0.000            
2013-12-23 06:00:00	  0.000            
2013-12-23 07:00:00	  0.000            
2013-12-23 08:00:00	  0.000            
2013-12-23 09:00:00	 18.990            
2013-12-23 10:00:00	 79.500            
2013-12-23 11:00:00	161.800            
2013-12-23 12:00:00	184.000            
2013-12-23 13:00:00	 93.500            
2013-12-23 14:00:00	103.500            
2013-12-23 15:00:00	 47.380            
2013-12-23 16:00:00	 67.970            
2013-12-23 17:00:00	 13.650            
2013-12-23 18:00:00	  0.000            
2013-12-23 19:00:00	  0.000            
2013-12-23 20:00:00	  0.000            
2013-12-23 21:00:00	  0.000            
2013-12-23 22:00:00	  0.000            
2013-12-23 23:00:00	  0.000            
2013-12-24 00:00:00	  0.000            
2013-12-24 01:00:00	  0.000            
2013-12-24 02:00:00	  0.000            
2013-12-24 03:00:00	  0.000            
2013-12-24 04:00:00	  0.000            
2013-12-24 05:00:00	  0.000            
2013-12-24 06:00:00	  0.000            
2013-12-24 07:00:00	  0.000            
2013-12-24 08:00:00	  0.000            
2013-12-24 09:00:00	  3.727            
2013-12-24 10:00:00	 15.270            
2013-12-24 11:00:00	 28.540            
2013-12-24 12:00:00	 71.700            
2013-12-24 13:00:00	 27.410            
2013-12-24 14:00:00	 32.310            
2013-12-24 15:00:00	 34.820            
2013-12-24 16:00:00	 27.140            
2013-12-24 17:00:00	  6.249            
2013-12-24 18:00:00	  0.000            
2013-12-24 19:00:00	  0.000            
2013-12-24 20:00:00	  0.000            
2013-12-24 21:00:00	  0.000            
2013-12-24 22:00:00	  0.000            
2013-12-24 23:00:00	  0.000            
2013-12-25 00:00:00	  0.000            
2013-12-25 01:00:00	  0.000            
2013-12-25 02:00:00	  0.000            
2013-12-25 03:00:00	  0.000            
2013-12-25 04:00:00	  0.000            
2013-12-25 05:00:00	  0.000            
2013-12-25 06:00:00	  0.000            
2013-12-25 07:00:00	  0.000            
2013-12-25 08:00:00	  0.000            
2013-12-25 09:00:00	  0.000            
2013-12-25 10:00:00	 31.170            
2013-12-25 11:00:00	117.400            
2013-12-25 12:00:00	 79.100            
2013-12-25 13:00:00	153.400            
2013-12-25 14:00:00	303.100            
2013-12-25 15:00:00	119.900            
2013-12-25 16:00:00	124.700            
2013-12-25 17:00:00	 36.970            
2013-12-25 18:00:00	  0.000            
2013-12-25 19:00:00	  0.000            
2013-12-25 20:00:00	  0.000            
2013-12-25 21:00:00	  0.000            
2013-12-25 22:00:00	  0.000            
2013-12-25 23:00:00	  0.000            
2013-12-26 00:00:00	  0.000            
2013-12-26 01:00:00	  0.000            
2013-12-26 02:00:00	  0.000            
