end_of_interval	intercept	slope	r2
2000-01-01 00:00:00	959.217	0.112936	1
2000-01-02 00:00:00	956.449	0.123203	1
2000-01-03 00:00:00	951.108	0.147125	1
2000-01-04 00:00:00	978.626	0.023922	1
2000-01-05 00:00:00	966.084	0.0855236	1
2000-01-06 00:00:00	966.529	0.0856263	1
2000-01-07 00:00:00	951.085	0.157495	1
2000-01-08 00:00:00	955.215	0.13347	1
2000-01-09 00:00:00	970.623	0.0718686	1
2000-01-10 00:00:00	964.694	0.0958932	1
2000-01-11 00:00:00	947.241	0.174538	1
2000-01-12 00:00:00	946.608	0.174538	1
2000-01-13 00:00:00	948.95	0.167762	1
2000-01-14 00:00:00	970.587	0.0649897	1
2000-01-15 00:00:00	953.846	0.143737	1
2000-01-16 00:00:00	933.799	0.23614	1
2000-01-17 00:00:00	939.862	0.212115	1
2000-01-18 00:00:00	947.211	0.181417	1
2000-01-19 00:00:00	950.81	0.164271	1
2000-01-20 00:00:00	950.243	0.164271	1
2000-01-21 00:00:00	947.066	0.181314	1
2000-01-22 00:00:00	959.345	0.126591	1
2000-01-23 00:00:00	956.655	0.136961	1
2000-01-24 00:00:00	946.074	0.184805	1
2000-01-25 00:00:00	945.969	0.188193	1
2000-01-26 00:00:00	954.808	0.147125	1
2000-01-27 00:00:00	953.882	0.150616	1
2000-01-28 00:00:00	970.156	0.0718686	1
2000-01-29 00:00:00	953.182	0.150616	1
2000-01-30 00:00:00	952.685	0.157495	1
2000-01-31 00:00:00	952.776	0.164271	1
2000-02-01 00:00:00	969.722	0.0821355	1
2000-02-02 00:00:00	953.971	0.150513	1
2000-02-03 00:00:00	948.075	0.174538	1
2000-02-04 00:00:00	959.982	0.123203	1
2000-02-05 00:00:00	952.736	0.16078	1
2000-02-06 00:00:00	957.35	0.140349	1
2000-02-07 00:00:00	988.73	-0.00687885	1
2000-02-08 00:00:00	964.122	0.109548	1
2000-02-09 00:00:00	937.837	0.232752	1
2000-02-10 00:00:00	950.606	0.167659	1
2000-02-11 00:00:00	946.874	0.184805	1
2000-02-12 00:00:00	945.536	0.188193	1
2000-02-13 00:00:00	974.021	0.0547228	1
2000-02-14 00:00:00	976.719	0.0478439	1
2000-02-15 00:00:00	958.852	0.130082	1
2000-02-16 00:00:00	957.11	0.136858	1
2000-02-17 00:00:00	979.429	0.0308008	1
2000-02-18 00:00:00	958.081	0.13347	1
2000-02-19 00:00:00	977.019	0.0478439	1
2000-02-20 00:00:00	957.643	0.136858	1
2000-02-21 00:00:00	951.543	0.164271	1
2000-02-22 00:00:00	945.681	0.188296	1
2000-02-23 00:00:00	954.015	0.150616	1
2000-02-24 00:00:00	973.429	0.0582136	1
2000-02-25 00:00:00	950.05	0.167762	1
2000-02-26 00:00:00	941.937	0.205339	1
2000-02-27 00:00:00	946.441	0.184805	1
2000-02-28 00:00:00	961.684	0.112936	1
2000-02-29 00:00:00	964.785	0.102669	1
2000-03-01 00:00:00	954.411	0.154004	1
2000-03-02 00:00:00	956.517	0.140349	1
2000-03-03 00:00:00	973.458	0.0616016	1
2000-03-04 00:00:00	943.341	0.201951	1
2000-03-05 00:00:00	957.981	0.13347	1
2000-03-06 00:00:00	969.859	0.0787474	1
2000-03-07 00:00:00	952.611	0.154004	1
2000-03-08 00:00:00	958.582	0.123203	1
2000-03-09 00:00:00	966.68	0.0889117	1
2000-03-10 00:00:00	950.239	0.167659	1
2000-03-11 00:00:00	954.215	0.150616	1
2000-03-12 00:00:00	942.334	0.19846	1
2000-03-13 00:00:00	949.443	0.164271	1
2000-03-14 00:00:00	968.326	0.0787474	1
2000-03-15 00:00:00	953.771	0.150513	1
2000-03-16 00:00:00	959.282	0.123203	1
2000-03-17 00:00:00	947.908	0.174538	1
2000-03-18 00:00:00	944.169	0.188193	1
2000-03-19 00:00:00	930.334	0.253285	1
2000-03-20 00:00:00	947.608	0.174538	1
2000-03-21 00:00:00	945.307	0.184805	1
2000-03-22 00:00:00	944.669	0.188193	1
2000-03-23 00:00:00	936.534	0.225873	1
2000-03-24 00:00:00	960.58	0.116324	1
2000-03-25 00:00:00	944.743	0.191684	1
2000-03-26 00:00:00	947.675	0.174538	1
2000-03-27 00:00:00	952.582	0.150616	1
2000-03-28 00:00:00	964.249	0.0957906	1
2000-03-29 00:00:00	958.682	0.123203	1
2000-03-30 00:00:00	954.813	0.143737	1
2000-03-31 00:00:00	947.915	0.178029	1
2000-04-01 00:00:00	949.201	0.171047	1
2000-04-02 00:00:00	950.65	0.167762	1
2000-04-03 00:00:00	948.704	0.177926	1
2000-04-04 00:00:00	951.543	0.164271	1
2000-04-05 00:00:00	953.645	0.154004	1
2000-04-06 00:00:00	952.673	0.157392	1
2000-04-07 00:00:00	960.38	0.116324	1
2000-04-08 00:00:00	954.546	0.143737	1
2000-04-09 00:00:00	947.741	0.174538	1
2000-04-10 00:00:00	955.806	0.140246	1
2000-04-11 00:00:00	959.282	0.123203	1
2000-04-12 00:00:00	956.043	0.136858	1
2000-04-13 00:00:00	982.898	0.0102669	1
2000-04-14 00:00:00	952.685	0.157495	1
2000-04-15 00:00:00	962.984	0.112936	1
2000-04-16 00:00:00	956.713	0.143737	1
2000-04-17 00:00:00	970.014	0.0786448	1
2000-04-18 00:00:00	945.932	0.191581	1
2000-04-19 00:00:00	966.482	0.0957906	1
2000-04-20 00:00:00	947.466	0.181314	1
2000-04-21 00:00:00	957.74	0.129979	1
2000-04-22 00:00:00	934.999	0.23614	1
2000-04-23 00:00:00	948.004	0.177926	1
2000-04-24 00:00:00	946.641	0.184805	1
2000-04-25 00:00:00	960.587	0.119815	1
2000-04-26 00:00:00	948.107	0.184805	1
2000-04-27 00:00:00	943.971	0.205339	1
2000-04-28 00:00:00	945.501	0.19846	1
2000-04-29 00:00:00	947.836	0.188193	1
2000-04-30 00:00:00	958.306	0.140246	1
2000-05-01 00:00:00	951.65	0.167762	1
2000-05-02 00:00:00	952.94	0.157392	1
2000-05-03 00:00:00	955.646	0.143737	1
2000-05-04 00:00:00	952.84	0.157392	1
2000-05-05 00:00:00	945.232	0.191581	1
2000-05-06 00:00:00	940.662	0.212115	1
2000-05-07 00:00:00	946.966	0.181314	1
2000-05-08 00:00:00	933.472	0.249897	1
2000-05-09 00:00:00	946.881	0.188296	1
2000-05-10 00:00:00	941.836	0.215606	1
2000-05-11 00:00:00	948.566	0.181314	1
2000-05-12 00:00:00	943.897	0.201848	1
2000-05-13 00:00:00	961.449	0.123203	1
2000-05-14 00:00:00	945.646	0.198563	1
2000-05-15 00:00:00	940.376	0.219097	1
2000-05-16 00:00:00	936.637	0.232752	1
2000-05-17 00:00:00	936.937	0.232752	1
2000-05-18 00:00:00	931.73	0.256674	1
2000-05-19 00:00:00	947.136	0.188193	1
2000-05-20 00:00:00	947.376	0.191684	1
2000-05-21 00:00:00	951.846	0.17115	1
2000-05-22 00:00:00	941.467	0.225873	1
2000-05-23 00:00:00	952.315	0.178029	1
2000-05-24 00:00:00	953.546	0.17115	1
2000-05-25 00:00:00	964.313	0.116324	1
2000-05-26 00:00:00	951.041	0.174538	1
2000-05-27 00:00:00	948.178	0.181417	1
2000-05-28 00:00:00	947.378	0.181417	1
2000-05-29 00:00:00	937.001	0.225873	1
2000-05-30 00:00:00	944.172	0.195072	1
2000-05-31 00:00:00	950.506	0.167659	1
2000-06-01 00:00:00	918.521	0.318275	1
2000-06-02 00:00:00	948.911	0.181417	1
2000-06-03 00:00:00	948.336	0.188193	1
2000-06-04 00:00:00	954.776	0.164271	1
2000-06-05 00:00:00	945.366	0.208727	1
2000-06-06 00:00:00	961.781	0.13347	1
2000-06-07 00:00:00	958.775	0.147125	1
2000-06-08 00:00:00	948.343	0.191684	1
2000-06-09 00:00:00	933.733	0.263552	1
2000-06-10 00:00:00	958.446	0.143737	1
2000-06-11 00:00:00	947.606	0.195072	1
2000-06-12 00:00:00	948.469	0.188193	1
2000-06-13 00:00:00	945.301	0.19846	1
2000-06-14 00:00:00	952.376	0.164271	1
2000-06-15 00:00:00	942.307	0.212218	1
2000-06-16 00:00:00	945.346	0.198563	1
2000-06-17 00:00:00	946.039	0.195072	1
2000-06-18 00:00:00	943.371	0.205339	1
2000-06-19 00:00:00	939.972	0.222485	1
2000-06-20 00:00:00	944.271	0.205339	1
2000-06-21 00:00:00	943.174	0.212218	1
2000-06-22 00:00:00	949.566	0.181314	1
2000-06-23 00:00:00	945.008	0.201951	1
2000-06-24 00:00:00	955.511	0.154004	1
2000-06-25 00:00:00	968.42	0.0924025	1
2000-06-26 00:00:00	967.549	0.0957906	1
2000-06-27 00:00:00	941.227	0.222382	1
2000-06-28 00:00:00	951.346	0.17115	1
2000-06-29 00:00:00	941.536	0.215606	1
2000-06-30 00:00:00	951.401	0.171047	1
2000-07-01 00:00:00	941.969	0.215606	1
2000-07-02 00:00:00	0	0	0
2000-07-03 00:00:00	988.696	0.00338809	1
2000-07-04 00:00:00	0	0	0
2000-07-05 00:00:00	0	0	0
2000-07-06 00:00:00	0	0	0
2000-07-07 00:00:00	989.904	-0.00338809	1
2000-07-08 00:00:00	989.304	-0.00338809	1
2000-07-09 00:00:00	987.996	0.00338809	1
2000-07-10 00:00:00	987.796	0.00338809	1
2000-07-11 00:00:00	0	0	0
2000-07-12 00:00:00	988.996	0.00338809	1
2000-07-13 00:00:00	991.604	-0.00338809	1
2000-07-14 00:00:00	990.604	-0.00338809	1
2000-07-15 00:00:00	0	0	0
2000-07-16 00:00:00	987.796	0.00338809	1
2000-07-17 00:00:00	0	0	0
2000-07-18 00:00:00	989.104	-0.00338809	1
2000-07-19 00:00:00	0	0	0
2000-07-20 00:00:00	0	0	0
2000-07-21 00:00:00	987.296	0.00338809	1
2000-07-22 00:00:00	988.096	0.00338809	1
2000-07-23 00:00:00	0	0	0
2000-07-24 00:00:00	0	0	0
2000-07-25 00:00:00	0	0	0
2000-07-26 00:00:00	988.396	0.00338809	1
2000-07-27 00:00:00	0	0	0
2000-07-28 00:00:00	988.796	0.00338809	1
2000-07-29 00:00:00	988.596	0.00338809	1
2000-07-30 00:00:00	0	0	0
2000-07-31 00:00:00	989.204	-0.00338809	1
2000-08-01 00:00:00	989.804	-0.00338809	1
2000-08-02 00:00:00	989.096	0.00338809	1
2000-08-03 00:00:00	989.296	0.00338809	1
2000-08-04 00:00:00	988.396	0.00338809	1
2000-08-05 00:00:00	0	0	0
2000-08-06 00:00:00	0	0	0
2000-08-07 00:00:00	0	0	0
2000-08-08 00:00:00	988.596	0.00338809	1
2000-08-09 00:00:00	990.596	0.00338809	1
2000-08-10 00:00:00	990.596	0.00338809	1
2000-08-11 00:00:00	991.296	0.00338809	1
2000-08-12 00:00:00	988.696	0.00338809	1
2000-08-13 00:00:00	990.404	-0.00338809	1
2000-08-14 00:00:00	0	0	0
2000-08-15 00:00:00	990.096	0.00338809	1
2000-08-16 00:00:00	0	0	0
2000-08-17 00:00:00	988.696	0.00338809	1
2000-08-18 00:00:00	989.504	-0.00338809	1
2000-08-19 00:00:00	989.504	-0.00338809	1
2000-08-20 00:00:00	0	0	0
2000-08-21 00:00:00	0	0	0
2000-08-22 00:00:00	0	0	0
2000-08-23 00:00:00	988.096	0.00338809	1
2000-08-24 00:00:00	987.896	0.00338809	1
2000-08-25 00:00:00	989.804	-0.00338809	1
2000-08-26 00:00:00	987.196	0.00338809	1
