end_of_interval	out
2000-01-31 00:00:00	NA
2000-02-29 00:00:00	NA
2000-03-31 00:00:00	NA
2000-04-30 00:00:00	NA
2000-05-31 00:00:00	NA
2000-06-30 00:00:00	NA
2000-07-31 00:00:00	NA
2000-08-31 00:00:00	NA
2000-09-30 00:00:00	NA
2000-10-31 00:00:00	NA
2000-11-30 00:00:00	NA
2000-12-31 00:00:00	NA
2001-01-31 00:00:00	NA
2001-02-28 00:00:00	NA
2001-03-31 00:00:00	NA
2001-04-30 00:00:00	NA
2001-05-31 00:00:00	NA
2001-06-30 00:00:00	NA
2001-07-31 00:00:00	NA
2001-08-31 00:00:00	NA
2001-09-30 00:00:00	NA
2001-10-31 00:00:00	NA
2001-11-30 00:00:00	NA
2001-12-31 00:00:00	NA
2002-01-31 00:00:00	NA
2002-02-28 00:00:00	NA
2002-03-31 00:00:00	NA
2002-04-30 00:00:00	NA
2002-05-31 00:00:00	NA
2002-06-30 00:00:00	NA
2002-07-31 00:00:00	NA
2002-08-31 00:00:00	NA
2002-09-30 00:00:00	NA
2002-10-31 00:00:00	NA
2002-11-30 00:00:00	NA
2002-12-31 00:00:00	NA
2003-01-31 00:00:00	158.028149843
2003-02-28 00:00:00	115.369647996
2003-03-31 00:00:00	112.834967815
2003-04-30 00:00:00	106.966310717
2003-05-31 00:00:00	106.364127046
2003-06-30 00:00:00	103.395950843
2003-07-31 00:00:00	106.843112722
2003-08-31 00:00:00	131.417978192
2003-09-30 00:00:00	NA
2003-10-31 00:00:00	NA
2003-11-30 00:00:00	NA
2003-12-31 00:00:00	NA
2004-01-31 00:00:00	NA
2004-02-29 00:00:00	NA
2004-03-31 00:00:00	NA
2004-04-30 00:00:00	NA
2004-05-31 00:00:00	NA
2004-06-30 00:00:00	NA
2004-07-31 00:00:00	NA
2004-08-31 00:00:00	NA
2004-09-30 00:00:00	NA
2004-10-31 00:00:00	NA
2004-11-30 00:00:00	NA
2004-12-31 00:00:00	NA
2005-01-31 00:00:00	NA
2005-02-28 00:00:00	NA
2005-03-31 00:00:00	NA
2005-04-30 00:00:00	NA
2005-05-31 00:00:00	NA
2005-06-30 00:00:00	NA
2005-07-31 00:00:00	NA
2005-08-31 00:00:00	NA
2005-09-30 00:00:00	NA
2005-10-31 00:00:00	NA
2005-11-30 00:00:00	NA
2005-12-31 00:00:00	NA
2006-01-31 00:00:00	NA
2006-02-28 00:00:00	NA
2006-03-31 00:00:00	NA
2006-04-30 00:00:00	NA
2006-05-31 00:00:00	NA
2006-06-30 00:00:00	94.591574972
2006-07-31 00:00:00	99.141950058
2006-08-31 00:00:00	117.881459399
2006-09-30 00:00:00	139.903700446
2006-10-31 00:00:00	168.80352512
2006-11-30 00:00:00	160.477747412
2006-12-31 00:00:00	179.251698903
2007-01-31 00:00:00	161.961355749
2007-02-28 00:00:00	103.527021362
2007-03-31 00:00:00	108.675813114
2007-04-30 00:00:00	110.211215018
2007-05-31 00:00:00	104.998094388
2007-06-30 00:00:00	99.460836599
2007-07-31 00:00:00	NA
2007-08-31 00:00:00	112.410648854
2007-09-30 00:00:00	130.644955445
2007-10-31 00:00:00	163.273546898
2007-11-30 00:00:00	172.077227976
2007-12-31 00:00:00	158.136401517
2008-01-31 00:00:00	139.873813281
2008-02-29 00:00:00	104.376387178
2008-03-31 00:00:00	98.871180004
2008-04-30 00:00:00	97.003410531
2008-05-31 00:00:00	94.073010199
2008-06-30 00:00:00	83.163626064
2008-07-31 00:00:00	NA
2008-08-31 00:00:00	110.588013008
2008-09-30 00:00:00	139.717344663
2008-10-31 00:00:00	166.069939312
2008-11-30 00:00:00	175.943273394
2008-12-31 00:00:00	162.793717987
2009-01-31 00:00:00	150.756998248
2009-02-28 00:00:00	96.353381149
2009-03-31 00:00:00	114.84348572
2009-04-30 00:00:00	98.681126553
2009-05-31 00:00:00	95.669111859
2009-06-30 00:00:00	84.692057376
2009-07-31 00:00:00	90.12985031
2009-08-31 00:00:00	103.569285173
2009-09-30 00:00:00	133.879518656
2009-10-31 00:00:00	154.276751199
2009-11-30 00:00:00	165.086216283
2009-12-31 00:00:00	153.680858441
2010-01-31 00:00:00	126.135538765
2010-02-28 00:00:00	134.361546065
2010-03-31 00:00:00	152.983714602
2010-04-30 00:00:00	114.242543332
2010-05-31 00:00:00	NA
2010-06-30 00:00:00	99.23730954
2010-07-31 00:00:00	107.400534878
2010-08-31 00:00:00	NA
2010-09-30 00:00:00	131.751626212
2010-10-31 00:00:00	158.772358948
2010-11-30 00:00:00	159.079832619
2010-12-31 00:00:00	125.269135678
2011-01-31 00:00:00	114.396657492
2011-02-28 00:00:00	92.696796079
2011-03-31 00:00:00	105.364609171
2011-04-30 00:00:00	100.38253255
2011-05-31 00:00:00	93.640653713
2011-06-30 00:00:00	90.064666604
2011-07-31 00:00:00	NA
2011-08-31 00:00:00	109.79806329
2011-09-30 00:00:00	121.099530248
2011-10-31 00:00:00	144.198657961
2011-11-30 00:00:00	127.072771711
2011-12-31 00:00:00	149.595150939
2012-01-31 00:00:00	143.522629079
2012-02-29 00:00:00	110.59537193
2012-03-31 00:00:00	114.585100643
2012-04-30 00:00:00	117.98627605
2012-05-31 00:00:00	128.041153199
2012-06-30 00:00:00	113.699454428
2012-07-31 00:00:00	NA
2012-08-31 00:00:00	115.752731912
2012-09-30 00:00:00	140.230287126
2012-10-31 00:00:00	164.3138096
2012-11-30 00:00:00	167.423977826
2012-12-31 00:00:00	171.109599091
2013-01-31 00:00:00	147.639727658
2013-02-28 00:00:00	136.138075597
2013-03-31 00:00:00	150.994814325
2013-04-30 00:00:00	114.419951739
2013-05-31 00:00:00	114.172850075
2013-06-30 00:00:00	111.32989
2013-07-31 00:00:00	NA
2013-08-31 00:00:00	129.044541592
2013-09-30 00:00:00	147.888229765
2013-10-31 00:00:00	163.813090632
2013-11-30 00:00:00	151.117145461
2013-12-31 00:00:00	152.771028817
