UTC	event
2016-11-28 18:49:41	Logging started.
2016-11-28 18:49:41	Range checks in data access functions: DISABLED
2016-11-28 18:49:41	Reading configuration data
2016-11-28 18:49:41	Querying frequently used control data
2016-11-28 18:49:41	Setting number of threads
2016-11-28 18:49:41	Number of threads (if >=1 parallel objects): 1
2016-11-28 18:49:41	Instantiating object groups
2016-11-28 18:49:41	Instantiating objects
2016-11-28 18:49:41	Initializing object outputs
2016-11-28 18:49:41	Switching on debug mode for selected objects
2016-11-28 18:49:41	Setting times of state output
2016-11-28 18:49:41	Assigning simulated inputs to objects (object linkage)
2016-11-28 18:49:41	Setting object levels
2016-11-28 18:49:41	Setting up processing tree for selected objects
2016-11-28 18:49:41	Levels for (optional) parallel processing: 2
2016-11-28 18:49:41	Reading tables of individual parameter functions
2016-11-28 18:49:41	Initializing individual parameter functions
2016-11-28 18:49:41	Clearing tables of individual parameter functions
2016-11-28 18:49:41	Reading tables of individual scalar parameters
2016-11-28 18:49:41	Initializing individual scalar parameters
2016-11-28 18:49:41	Clearing tables of individual scalar parameters
2016-11-28 18:49:41	Setting shared parameter functions
2016-11-28 18:49:41	Setting shared scalar parameters
2016-11-28 18:49:41	Initializing time series of external variables
2016-11-28 18:49:41	Assigning external time series to objects
2016-11-28 18:49:41	Setting initial values of scalar state variables
2016-11-28 18:49:41	Setting initial values of vector state variables
2016-11-28 18:49:41	Initializing simulation time
2016-11-28 18:49:41	Simulation started
2016-11-28 18:49:41	01% done.  Computing time remaining: 0h 00m 00s 
2016-11-28 18:49:41	02% done.  Computing time remaining: 0h 00m 00s 
2016-11-28 18:49:41	05% done.  Computing time remaining: 0h 00m 00s 
2016-11-28 18:49:41	10% done.  Computing time remaining: 0h 00m 00s 
2016-11-28 18:49:41	20% done.  Computing time remaining: 0h 00m 00s 
2016-11-28 18:49:41	50% done.  Computing time remaining: 0h 00m 00s 
2016-11-28 18:49:42	Simulation finished
2016-11-28 18:49:42	Closing output files
2016-11-28 18:49:42	Final clean-up
2016-11-28 18:49:42	Finished successfully after 00h 00m 01s (1s)
